Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-57.8,NaN,21.3,,
0.0005,1,-57.9,0.0005,21.3,,
0.0025,2,-57.9,0.0020,21.3,,
0.0050,3,-57.9,0.0025,21.3,,
0.0090,4,-57.7,0.0035,21.3,,
0.0150,5,-57.6,0.0055,21.3,,
0.0235,6,-57.1,0.0085,21.3,,
0.0310,7,-56.4,0.0075,21.3,,
0.0395,8,-55.2,0.0085,21.3,,
0.0480,9,-54.0,0.0075,21.3,,
0.0565,10,-52.8,0.0075,21.3,,
0.0650,11,-51.5,0.0075,21.3,,
0.0730,12,-50.2,0.0080,21.3,,
0.0810,13,-48.6,0.0080,21.3,,
0.0890,14,-47.0,0.0080,21.3,,
0.0975,15,-45.3,0.0075,21.3,,
0.1060,16,-43.4,0.0075,21.3,,
0.1145,17,-41.4,0.0075,21.3,,
0.1230,18,-39.3,0.0075,21.3,,
0.1305,19,-37.2,0.0075,21.3,,
0.1390,20,-35.0,0.0085,21.3,,
0.1475,21,-32.6,0.0075,21.3,,
0.1555,22,-29.9,0.0075,21.3,,
0.1640,23,-27.2,0.0075,21.3,,
0.1725,24,-24.4,0.0075,21.3,,
0.1800,25,-21.7,0.0075,21.3,,
0.1885,26,-18.4,0.0085,21.3,,
0.1970,27,-15.4,0.0075,21.3,,
0.2055,28,-12.8,0.0075,21.3,,
0.2135,29,-10.2,0.0075,21.3,,
0.2220,30,-8.0,0.0085,21.3,,
0.2295,31,-5.7,0.0075,21.3,,
0.2380,32,-3.7,0.0085,21.3,,
0.2465,33,-1.9,0.0075,21.3,,
0.2550,34,0.0,0.0075,21.3,,
0.2635,35,1.7,0.0075,21.3,,
0.2720,36,3.2,0.0075,21.3,,
0.2795,37,4.6,0.0075,21.3,,
0.2875,38,6.0,0.0080,21.3,,
0.2960,39,7.4,0.0085,21.3,,
0.3045,40,8.8,0.0075,21.3,,
0.3130,41,9.9,0.0075,21.3,,
0.3215,42,11.2,0.0075,21.3,,
0.3290,43,12.3,0.0075,21.3,,
0.3375,44,13.5,0.0085,21.3,,
0.3460,45,14.7,0.0075,21.3,,
0.3540,46,15.7,0.0075,21.3,,
0.3625,47,16.7,0.0075,21.3,,
0.3710,48,17.9,0.0075,21.3,,
0.3785,49,18.8,0.0075,21.3,,
0.3870,50,19.9,0.0085,21.3,,
0.3955,51,20.8,0.0085,21.3,,
0.4040,52,21.6,0.0075,21.3,,
0.4120,53,22.7,0.0075,21.3,,
0.4205,54,23.5,0.0075,21.3,,
0.4280,55,24.4,0.0075,21.3,,
0.4365,56,25.1,0.0085,21.3,,
0.4450,57,26.0,0.0075,21.3,,
0.4535,58,27.0,0.0075,21.3,,
0.4620,59,27.8,0.0075,21.3,,
0.4705,60,28.8,0.0075,21.3,,
0.4780,61,29.5,0.0075,21.3,,
0.4865,62,30.5,0.0085,21.3,,
0.4945,63,31.4,0.0075,21.3,,
0.5030,64,32.2,0.0075,21.3,,
0.5115,65,33.2,0.0075,21.3,,
0.5200,66,33.9,0.0085,21.3,,
0.5275,67,34.9,0.0075,21.3,,
0.5360,68,35.7,0.0085,21.3,,
0.5445,69,36.4,0.0075,21.3,,
0.5530,70,37.4,0.0075,21.3,,
0.5610,71,38.3,0.0075,21.3,,
0.5695,72,39.1,0.0075,21.3,,
0.5770,73,39.9,0.0075,21.3,,
0.5855,74,40.7,0.0085,21.3,,
0.5940,75,41.7,0.0075,21.3,,
0.6025,76,42.6,0.0075,21.3,,
0.6110,77,43.3,0.0075,21.3,,
0.6190,78,44.1,0.0075,21.3,,
0.6270,79,44.9,0.0080,21.3,,
0.6350,80,45.9,0.0080,21.3,,
0.6435,81,46.7,0.0085,21.3,,
0.6520,82,47.5,0.0075,21.3,,
0.6605,83,48.3,0.0075,21.3,,
0.6690,84,49.4,0.0075,21.3,,
0.6765,85,50.0,0.0075,21.3,,
0.6850,86,50.9,0.0085,21.3,,
0.6930,87,51.6,0.0080,21.3,,
0.7015,88,52.4,0.0075,21.3,,
0.7100,89,53.3,0.0075,21.3,,
0.7185,90,54.1,0.0075,21.3,,
0.7260,91,54.8,0.0075,21.3,,
0.7345,92,55.6,0.0085,21.3,,
0.7430,93,56.6,0.0085,21.3,,
0.7510,94,57.5,0.0075,21.3,,
0.7595,95,58.2,0.0075,21.3,,
0.7680,96,59.0,0.0075,21.3,,
0.7765,97,59.8,0.0085,21.3,,
0.7840,98,60.8,0.0075,21.3,,
0.7925,99,61.8,0.0085,21.3,,
0.8010,100,62.5,0.0075,21.3,,
0.8095,101,63.3,0.0075,21.3,,
0.8175,102,64.3,0.0075,21.3,,
0.8260,103,65.1,0.0075,21.3,,
0.8335,104,65.9,0.0075,21.3,,
0.8420,105,66.8,0.0085,21.3,,
0.8505,106,67.6,0.0075,21.3,,
0.8590,107,68.6,0.0075,21.3,,
0.8675,108,69.6,0.0075,21.3,,
0.8755,109,70.4,0.0080,21.3,,
0.8835,110,71.2,0.0080,21.3,,
0.8915,111,72.1,0.0080,21.3,,
0.9000,112,73.1,0.0075,21.3,,
0.9085,113,74.0,0.0075,21.3,,
0.9170,114,74.8,0.0075,21.3,,
0.9255,115,75.7,0.0085,21.3,,
0.9330,116,76.7,0.0075,21.3,,
0.9415,117,77.6,0.0085,21.3,,
0.9500,118,78.5,0.0075,21.3,,
0.9580,119,79.3,0.0075,21.3,,
0.9665,120,80.4,0.0075,21.3,,
0.9750,121,81.3,0.0085,21.3,,
0.9825,122,82.3,0.0075,21.3,,
0.9910,123,83.2,0.0085,21.3,,
0.9995,124,84.2,0.0075,21.3,,
1.0080,125,85.3,0.0075,21.3,,
1.0165,126,86.1,0.0075,21.3,,
1.0240,127,87.2,0.0075,21.3,,
1.0325,128,88.2,0.0085,21.3,,
1.0405,129,89.3,0.0080,21.3,,
1.0490,130,90.4,0.0075,21.3,,
1.0575,131,91.5,0.0075,21.3,,
1.0660,132,92.7,0.0075,21.3,,
1.0745,133,93.8,0.0085,21.3,,
1.0820,134,95.0,0.0075,21.3,,
1.0905,135,96.4,0.0085,21.3,,
1.0985,136,97.6,0.0075,21.3,,
1.1070,137,98.8,0.0075,21.3,,
1.1155,138,100.3,0.0075,21.3,,
1.1240,139,101.4,0.0085,21.3,,
1.1315,140,102.8,0.0075,21.3,,
1.1400,141,104.2,0.0085,21.3,,
1.1485,142,105.8,0.0075,21.3,,
1.1565,143,107.4,0.0075,21.3,,
1.1650,144,108.9,0.0075,21.3,,
1.1735,145,110.7,0.0085,21.3,,
1.1810,146,112.3,0.0075,21.3,,
1.1895,147,114.3,0.0085,21.3,,
1.1980,148,116.1,0.0075,21.3,,
1.2065,149,117.8,0.0075,21.3,,
1.2150,150,119.6,0.0075,21.3,,
1.2230,151,121.5,0.0080,21.3,,
1.2310,152,123.8,0.0080,21.3,,
1.2390,153,126.3,0.0080,21.3,,
1.2475,154,128.8,0.0075,21.3,,
1.2560,155,131.5,0.0075,21.3,,
1.2645,156,134.4,0.0075,21.3,,
1.2730,157,137.3,0.0075,21.3,,
1.2805,158,140.3,0.0075,21.3,,
1.2890,159,143.4,0.0085,21.3,,
1.2970,160,146.9,0.0075,21.3,,
1.3055,161,150.5,0.0075,21.3,,
1.3140,162,153.8,0.0075,21.3,,
1.3225,163,157.1,0.0085,21.3,,
1.3300,164,160.6,0.0075,21.3,,
1.3385,165,164.3,0.0085,21.3,,
1.3470,166,167.6,0.0075,21.3,,
1.3555,167,170.4,0.0075,21.3,,
1.3635,168,173.4,0.0075,21.3,,
1.3720,169,176.0,0.0085,21.3,,
1.3795,170,178.6,0.0075,21.3,,
1.3880,171,181.2,0.0085,21.3,,
1.3965,172,183.2,0.0075,21.3,,
1.4050,173,185.0,0.0075,21.3,,
1.4050,413,188.0,0.0000,21.4,,
1.4055,414,188.1,0.0005,21.4,,
1.4070,415,187.9,0.0010,21.4,,
1.4095,416,188.3,0.0020,21.4,,
1.4135,417,188.8,0.0030,21.4,,
1.4195,418,189.4,0.0045,21.4,,
1.4280,419,190.8,0.0065,21.4,,
1.4355,420,192.1,0.0060,21.4,,
1.4435,421,193.8,0.0065,21.4,,
1.4520,422,195.3,0.0070,21.4,,
1.4605,423,196.5,0.0065,21.4,,
1.4690,424,197.8,0.0065,21.4,,
1.4775,425,199.2,0.0065,21.4,,
1.4850,426,200.2,0.0060,21.4,,
1.4935,427,201.2,0.0070,21.4,,
1.5020,428,202.2,0.0065,21.4,,
1.5100,429,203.3,0.0060,21.4,,
1.5185,430,204.4,0.0065,21.4,,
1.5270,431,205.3,0.0070,21.4,,
