Task,T2059
Scope 1/1, Sample 1/19 (JUNK1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-65.2,21.0,NaN,,
0.0010,1,-65.2,21.0,0.0010,,
0.0025,2,-65.2,21.0,0.0015,,
0.0050,3,-65.1,21.0,0.0025,,
0.0090,4,-65.0,21.0,0.0035,,
0.0150,5,-64.9,21.0,0.0055,,
0.0235,6,-64.7,21.0,0.0075,,
0.0320,7,-64.3,21.0,0.0085,,
0.0395,8,-63.7,21.0,0.0075,,
0.0480,9,-62.7,21.0,0.0075,,
0.0565,10,-61.8,21.0,0.0075,,
0.0650,11,-60.7,21.0,0.0075,,
0.0735,12,-59.5,21.0,0.0075,,
0.0810,13,-58.5,21.0,0.0075,,
0.0895,14,-57.2,21.0,0.0085,,
0.0975,15,-56.0,21.0,0.0075,,
0.1060,16,-54.8,21.0,0.0075,,
0.1145,17,-53.3,21.0,0.0075,,
0.1230,18,-51.9,21.0,0.0075,,
0.1305,19,-50.4,21.0,0.0075,,
0.1390,20,-48.8,21.0,0.0085,,
0.1475,21,-47.2,21.0,0.0075,,
0.1560,22,-45.3,21.0,0.0075,,
0.1640,23,-43.4,21.0,0.0075,,
0.1725,24,-41.3,21.0,0.0075,,
0.1800,25,-39.5,21.0,0.0075,,
0.1885,26,-37.1,21.0,0.0085,,
0.1970,27,-34.7,21.0,0.0075,,
0.2055,28,-32.3,21.0,0.0075,,
0.2140,29,-29.6,21.0,0.0075,,
0.2225,30,-27.3,21.0,0.0085,,
0.2300,31,-24.4,21.0,0.0075,,
0.2385,32,-21.6,21.0,0.0075,,
0.2465,33,-18.8,21.0,0.0075,,
0.2550,34,-16.1,21.0,0.0075,,
0.2635,35,-13.5,21.0,0.0075,,
0.2720,36,-11.5,21.0,0.0085,,
0.2795,37,-9.4,21.0,0.0075,,
0.2880,38,-7.4,21.0,0.0075,,
0.2965,39,-5.6,21.0,0.0075,,
0.3050,40,-3.8,21.0,0.0075,,
0.3130,41,-2.4,21.0,0.0075,,
0.3210,42,-1.1,21.0,0.0080,,
0.3290,43,0.3,21.0,0.0080,,
0.3375,44,1.7,21.0,0.0075,,
0.3460,45,3.0,21.0,0.0075,,
0.3545,46,4.2,21.0,0.0075,,
0.3630,47,5.2,21.0,0.0085,,
0.3705,48,6.4,21.0,0.0075,,
0.3790,49,7.5,21.0,0.0085,,
0.3875,50,8.5,21.0,0.0075,,
0.3955,51,9.6,21.0,0.0075,,
0.4040,52,10.5,21.0,0.0075,,
0.4125,53,11.4,21.0,0.0085,,
0.4200,54,12.4,21.0,0.0075,,
0.4285,55,13.2,21.0,0.0075,,
0.4370,56,14.2,21.0,0.0075,,
0.4455,57,15.2,21.0,0.0075,,
0.4540,58,16.1,21.0,0.0075,,
0.4620,59,16.9,21.0,0.0080,,
0.4700,60,17.8,21.0,0.0080,,
0.4780,61,18.9,21.0,0.0075,,
0.4865,62,19.8,21.0,0.0075,,
0.4950,63,20.6,21.0,0.0075,,
0.5035,64,21.5,21.0,0.0075,,
0.5110,65,22.2,21.0,0.0075,,
0.5195,66,23.2,21.0,0.0085,,
0.5280,67,23.9,21.0,0.0075,,
0.5365,68,24.6,21.0,0.0075,,
0.5445,69,25.6,21.0,0.0075,,
0.5530,70,26.4,21.0,0.0075,,
0.5605,71,27.3,21.0,0.0075,,
0.5690,72,28.0,21.0,0.0075,,
0.5775,73,28.9,21.0,0.0075,,
0.5860,74,29.8,21.0,0.0075,,
0.5945,75,30.6,21.0,0.0075,,
0.6030,76,31.4,21.0,0.0085,,
0.6105,77,32.2,21.0,0.0075,,
0.6190,78,33.2,21.0,0.0075,,
0.6275,79,34.1,21.0,0.0075,,
0.6355,80,34.8,21.0,0.0075,,
0.6440,81,35.7,21.0,0.0075,,
0.6515,82,36.3,21.0,0.0075,,
0.6600,83,37.2,21.0,0.0085,,
0.6685,84,38.2,21.0,0.0075,,
0.6770,85,39.0,21.0,0.0075,,
0.6855,86,39.9,21.0,0.0075,,
0.6940,87,40.8,21.0,0.0075,,
0.7015,88,41.6,21.0,0.0075,,
0.7100,89,42.4,21.0,0.0085,,
0.7180,90,43.2,21.0,0.0075,,
0.7265,91,44.1,21.0,0.0075,,
0.7350,92,45.0,21.0,0.0075,,
0.7435,93,45.8,21.0,0.0075,,
0.7510,94,46.7,21.0,0.0075,,
0.7595,95,47.5,21.0,0.0075,,
0.7680,96,48.4,21.0,0.0075,,
0.7765,97,49.2,21.0,0.0075,,
0.7845,98,50.1,21.1,0.0075,,
0.7930,99,50.9,21.1,0.0085,,
0.8005,100,51.9,21.1,0.0075,,
0.8090,101,52.9,21.1,0.0075,,
0.8175,102,53.8,21.0,0.0075,,
0.8260,103,54.7,21.0,0.0075,,
0.8345,104,55.8,21.1,0.0075,,
0.8420,105,56.5,21.0,0.0075,,
0.8505,106,57.5,21.0,0.0085,,
0.8590,107,58.3,21.0,0.0075,,
0.8670,108,59.3,21.1,0.0075,,
0.8755,109,60.2,21.1,0.0075,,
0.8840,110,61.0,21.1,0.0075,,
0.8915,111,62.0,21.0,0.0075,,
0.9000,112,62.8,21.1,0.0085,,
0.9085,113,63.9,21.1,0.0075,,
0.9170,114,64.9,21.1,0.0075,,
0.9255,115,65.7,21.0,0.0075,,
0.9335,116,66.8,21.1,0.0075,,
0.9415,117,67.6,21.1,0.0080,,
0.9495,118,68.6,21.1,0.0075,,
0.9580,119,69.6,21.1,0.0075,,
0.9665,120,70.4,21.1,0.0075,,
0.9750,121,71.5,21.1,0.0075,,
0.9835,122,72.3,21.1,0.0085,,
0.9910,123,73.5,21.1,0.0075,,
0.9995,124,74.5,21.1,0.0075,,
1.0080,125,75.5,21.1,0.0075,,
1.0160,126,76.7,21.1,0.0075,,
1.0245,127,77.8,21.1,0.0075,,
1.0320,128,78.8,21.1,0.0075,,
1.0405,129,79.7,21.1,0.0085,,
1.0490,130,80.9,21.1,0.0075,,
1.0575,131,82.1,21.1,0.0075,,
1.0660,132,83.1,21.1,0.0075,,
1.0745,133,84.2,21.1,0.0075,,
1.0820,134,85.4,21.1,0.0075,,
1.0905,135,86.5,21.1,0.0085,,
1.0985,136,87.7,21.1,0.0075,,
1.1070,137,88.9,21.1,0.0075,,
1.1155,138,90.0,21.1,0.0075,,
1.1240,139,91.4,21.1,0.0075,,
1.1315,140,92.7,21.1,0.0075,,
1.1400,141,94.0,21.1,0.0085,,
1.1485,142,95.4,21.1,0.0075,,
1.1570,143,96.7,21.1,0.0075,,
1.1650,144,98.2,21.1,0.0075,,
1.1735,145,99.7,21.1,0.0075,,
1.1810,146,101.0,21.1,0.0075,,
1.1895,147,102.5,21.1,0.0085,,
1.1980,148,104.3,21.1,0.0075,,
1.2065,149,106.2,21.1,0.0075,,
1.2150,150,107.9,21.1,0.0075,,
1.2230,151,109.6,21.1,0.0075,,
1.2310,152,111.5,21.1,0.0080,,
1.2395,153,113.7,21.1,0.0075,,
1.2475,154,116.1,21.1,0.0075,,
1.2560,155,118.3,21.1,0.0075,,
1.2645,156,120.7,21.1,0.0075,,
1.2730,157,123.1,21.1,0.0085,,
1.2805,158,126.0,21.1,0.0075,,
1.2890,159,129.0,21.1,0.0075,,
1.2975,160,131.8,21.1,0.0075,,
1.3060,161,135.3,21.1,0.0075,,
1.3140,162,139.0,21.1,0.0075,,
1.3220,163,142.2,21.1,0.0080,,
1.3300,164,145.9,21.1,0.0080,,
1.3385,165,149.8,21.1,0.0075,,
1.3470,166,153.9,21.1,0.0075,,
1.3555,167,157.9,21.1,0.0075,,
1.3640,168,161.8,21.1,0.0075,,
1.3715,169,165.0,21.1,0.0075,,
1.3800,170,168.3,21.1,0.0085,,
1.3885,171,171.6,21.1,0.0075,,
1.3965,172,174.4,21.1,0.0075,,
1.4050,173,177.1,21.1,0.0075,,
1.4135,174,179.5,21.1,0.0085,,
