Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample index in scope,Sample ID1,Sample start time,Overall state,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],Density [g/m L],Unit of Density [g/m L],
1,junk1,8/27/2026 12:52,OK,Unchecked,0,,25,°C,,2.146,mL,,60.284,g,,60.2835,g,1,g/mL,
2,junk2,8/27/2026 13:03,OK,Unchecked,0,,25,°C,,2.14,mL,,60.094,g,,60.0942,g,1,g/mL,
3,S1,8/27/2026 13:13,OK,Unchecked,0,,25,°C,,2.108,mL,,59.998,g,,59.9978,g,1,g/mL,
4,S2,8/27/2026 13:23,OK,Unchecked,0,,25,°C,,2.13,mL,,60.27,g,,60.27,g,1,g/mL,
5,S3,8/27/2026 13:33,OK,Unchecked,0,,25,°C,,2.112,mL,,60.134,g,,60.1341,g,1,g/mL,
6,S4,8/27/2026 13:43,OK,Unchecked,0,,25,°C,,2.114,mL,,60.295,g,,60.2948,g,1,g/mL,
7,S5,8/27/2026 13:53,OK,Unchecked,0,,25,°C,,2.11,mL,,60.047,g,,60.0471,g,1,g/mL,
8,S6,8/27/2026 14:03,OK,Unchecked,0,,25,°C,,2.097,mL,,59.837,g,,59.8367,g,1,g/mL,
9,1,8/27/2026 14:13,OK,Unchecked,0,,25,°C,,2.096,mL,,60.17,g,,60.1697,g,1,g/mL,
10,2,8/27/2026 14:23,OK,Unchecked,0,,25,°C,,2.077,mL,,59.823,g,,59.823,g,1,g/mL,
11,3,8/27/2026 14:33,OK,Unchecked,0,,25,°C,,2.072,mL,,59.656,g,,59.6563,g,1,g/mL,
12,4,8/27/2026 14:43,OK,Unchecked,0,,25,°C,,2.09,mL,,60.032,g,,60.0317,g,1,g/mL,
13,5,8/27/2026 14:53,OK,Unchecked,0,,25,°C,,2.08,mL,,59.849,g,,59.8491,g,1,g/mL,
14,6,8/27/2026 15:03,OK,Unchecked,0,,25,°C,,2.077,mL,,59.72,g,,59.7203,g,1,g/mL,
15,7,8/27/2026 15:13,OK,Unchecked,0,,25,°C,,2.098,mL,,60.366,g,,60.3664,g,1,g/mL,
16,8,8/27/2026 15:23,OK,Unchecked,0,,25,°C,,2.095,mL,,60.194,g,,60.1938,g,1,g/mL,
17,9,8/27/2026 15:33,OK,Unchecked,0,,25,°C,,2.079,mL,,59.803,g,,59.8031,g,1,g/mL,
18,10,8/27/2026 15:43,OK,Unchecked,0,,25,°C,,2.075,mL,,59.831,g,,59.831,g,1,g/mL,
19,11,8/27/2026 15:53,OK,Unchecked,0,,25,°C,,2.076,mL,,59.732,g,,59.7322,g,1,g/mL,
20,12,8/27/2026 16:03,OK,Unchecked,0,,25,°C,,2.098,mL,,60.5,g,,60.5,g,1,g/mL,
21,13,8/27/2026 16:13,OK,Unchecked,0,,25,°C,,2.06,mL,,60.014,g,,60.0135,g,1,g/mL,
22,14,8/27/2026 16:23,OK,Unchecked,0,,25,°C,,2.09,mL,,60.134,g,,60.1338,g,1,g/mL,
23,15,8/27/2026 16:33,OK,Unchecked,0,,25,°C,,2.082,mL,,59.891,g,,59.8913,g,1,g/mL,
24,16,8/27/2026 16:43,OK,Unchecked,0,,25,°C,,2.069,mL,,59.547,g,,59.5472,g,1,g/mL,
25,17,8/27/2026 16:53,OK,Unchecked,0,,25,°C,,2.089,mL,,59.913,g,,59.9131,g,1,g/mL,
26,18,8/27/2026 17:03,OK,Unchecked,0,,25,°C,,2.08,mL,,60.087,g,,60.0867,g,1,g/mL,
27,19,8/27/2026 17:13,OK,Unchecked,0,,25,°C,,2.088,mL,,60.187,g,,60.187,g,1,g/mL,
28,20,8/27/2026 17:23,OK,Unchecked,0,,25,°C,,2.076,mL,,59.917,g,,59.9174,g,1,g/mL,
29,21,8/27/2026 17:33,OK,Unchecked,0,,25,°C,,2.078,mL,,59.862,g,,59.862,g,1,g/mL,
30,22,8/27/2026 17:43,OK,Unchecked,0,,25,°C,,2.096,mL,,60.069,g,,60.0693,g,1,g/mL,
31,23,8/27/2026 17:53,OK,Unchecked,0,,25,°C,,2.084,mL,,60.001,g,,60.0011,g,1,g/mL,
32,24,8/27/2026 18:03,OK,Unchecked,0,,25,°C,,1.515,mL,,60.398,g,,60.3983,g,1,g/mL,
SystemInternal8/27/2026 6:13:13 PM,,,,,,,,,,,,,,,,,,,,1-Jan
