Task,T2216
Scope 1/1, Sample 1/33 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-74.1,21.7,NaN,,
0.0010,1,-74.0,21.7,0.0010,,
0.0025,2,-74.1,21.7,0.0015,,
0.0050,3,-74.1,21.7,0.0025,,
0.0090,4,-74.1,21.7,0.0035,,
0.0150,5,-73.8,21.7,0.0055,,
0.0235,6,-73.0,21.7,0.0075,,
0.0320,7,-72.3,21.7,0.0075,,
0.0395,8,-71.4,21.7,0.0075,,
0.0480,9,-70.3,21.7,0.0075,,
0.0565,10,-69.0,21.7,0.0075,,
0.0650,11,-67.6,21.7,0.0075,,
0.0735,12,-66.5,21.7,0.0075,,
0.0815,13,-65.3,21.7,0.0075,,
0.0890,14,-64.0,21.7,0.0075,,
0.0975,15,-62.3,21.7,0.0075,,
0.1060,16,-60.5,21.7,0.0075,,
0.1145,17,-59.2,21.7,0.0075,,
0.1230,18,-57.4,21.7,0.0075,,
0.1315,19,-55.4,21.7,0.0075,,
0.1390,20,-53.7,21.7,0.0075,,
0.1475,21,-51.6,21.7,0.0075,,
0.1555,22,-49.5,21.7,0.0075,,
0.1640,23,-47.1,21.7,0.0075,,
0.1725,24,-44.5,21.7,0.0075,,
0.1810,25,-42.0,21.7,0.0075,,
0.1885,26,-39.4,21.7,0.0075,,
0.1970,27,-36.7,21.7,0.0085,,
0.2055,28,-33.7,21.7,0.0075,,
0.2135,29,-30.3,21.7,0.0075,,
0.2220,30,-27.0,21.7,0.0075,,
0.2305,31,-23.8,21.7,0.0075,,
0.2380,32,-20.9,21.7,0.0075,,
0.2465,33,-17.7,21.7,0.0085,,
0.2550,34,-14.6,21.7,0.0075,,
0.2635,35,-12.1,21.7,0.0075,,
0.2715,36,-9.8,21.7,0.0075,,
0.2800,37,-7.5,21.7,0.0075,,
0.2875,38,-5.9,21.7,0.0075,,
0.2960,39,-3.7,21.7,0.0085,,
0.3045,40,-2.0,21.7,0.0075,,
0.3130,41,-0.6,21.7,0.0075,,
0.3215,42,0.8,21.7,0.0075,,
0.3295,43,2.2,21.7,0.0075,,
0.3380,44,3.5,21.7,0.0075,,
0.3455,45,4.7,21.7,0.0075,,
0.3540,46,5.7,21.7,0.0085,,
0.3625,47,6.9,21.7,0.0075,,
0.3710,48,8.2,21.7,0.0075,,
0.3795,49,9.2,21.7,0.0075,,
0.3875,50,10.2,21.7,0.0075,,
0.3955,51,11.2,21.7,0.0080,,
0.4035,52,12.2,21.7,0.0080,,
0.4120,53,13.3,21.7,0.0075,,
0.4205,54,14.2,21.7,0.0075,,
0.4290,55,15.0,21.7,0.0075,,
0.4375,56,16.2,21.7,0.0075,,
0.4450,57,16.9,21.7,0.0075,,
0.4535,58,18.0,21.7,0.0085,,
0.4615,59,18.8,21.7,0.0075,,
0.4700,60,19.6,21.7,0.0075,,
0.4785,61,20.6,21.7,0.0075,,
0.4870,62,21.4,21.7,0.0075,,
0.4945,63,22.4,21.7,0.0075,,
0.5030,64,23.0,21.7,0.0085,,
0.5115,65,23.8,21.7,0.0075,,
0.5200,66,24.8,21.7,0.0075,,
0.5280,67,25.5,21.7,0.0075,,
0.5365,68,26.2,21.7,0.0075,,
0.5440,69,27.0,21.7,0.0075,,
0.5525,70,28.0,21.7,0.0075,,
0.5610,71,28.9,21.7,0.0075,,
0.5695,72,29.5,21.7,0.0075,,
0.5780,73,30.3,21.7,0.0075,,
0.5865,74,31.2,21.7,0.0075,,
0.5940,75,31.7,21.7,0.0075,,
0.6020,76,32.7,21.7,0.0080,,
0.6105,77,33.3,21.7,0.0075,,
0.6190,78,33.9,21.7,0.0075,,
0.6275,79,34.9,21.7,0.0075,,
0.6360,80,35.7,21.7,0.0075,,
0.6435,81,36.5,21.7,0.0075,,
0.6520,82,37.1,21.7,0.0085,,
0.6605,83,37.7,21.7,0.0075,,
0.6685,84,38.9,21.7,0.0075,,
0.6770,85,39.7,21.7,0.0075,,
0.6855,86,40.2,21.7,0.0075,,
0.6930,87,41.0,21.7,0.0075,,
0.7015,88,41.8,21.7,0.0075,,
0.7100,89,42.8,21.7,0.0075,,
0.7185,90,43.4,21.7,0.0075,,
0.7265,91,44.3,21.7,0.0075,,
0.7350,92,45.2,21.7,0.0075,,
0.7425,93,45.9,21.7,0.0075,,
0.7510,94,46.8,21.7,0.0085,,
0.7595,95,47.6,21.7,0.0075,,
0.7680,96,48.2,21.7,0.0075,,
0.7765,97,49.0,21.7,0.0075,,
0.7845,98,49.9,21.7,0.0075,,
0.7930,99,50.7,21.7,0.0085,,
0.8005,100,51.5,21.7,0.0075,,
0.8090,101,52.2,21.7,0.0075,,
0.8175,102,53.2,21.7,0.0075,,
0.8260,103,54.1,21.7,0.0075,,
0.8345,104,54.8,21.7,0.0075,,
0.8420,105,55.6,21.7,0.0075,,
0.8505,106,56.3,21.7,0.0085,,
0.8590,107,57.3,21.7,0.0075,,
0.8670,108,58.2,21.7,0.0075,,
0.8755,109,58.9,21.7,0.0075,,
0.8840,110,59.7,21.7,0.0075,,
0.8925,111,60.5,21.7,0.0085,,
0.9000,112,61.6,21.7,0.0075,,
0.9085,113,62.6,21.7,0.0075,,
0.9170,114,63.4,21.7,0.0075,,
0.9250,115,64.3,21.7,0.0075,,
0.9335,116,65.4,21.7,0.0075,,
0.9420,117,66.2,21.7,0.0085,,
0.9495,118,67.1,21.7,0.0075,,
0.9580,119,67.8,21.7,0.0075,,
0.9665,120,68.8,21.7,0.0075,,
0.9750,121,69.9,21.7,0.0075,,
0.9835,122,70.7,21.7,0.0075,,
0.9910,123,71.6,21.7,0.0075,,
0.9995,124,72.5,21.7,0.0085,,
1.0075,125,73.5,21.7,0.0075,,
1.0160,126,74.6,21.7,0.0075,,
1.0245,127,75.5,21.7,0.0075,,
1.0330,128,76.5,21.7,0.0075,,
1.0405,129,77.4,21.7,0.0075,,
1.0490,130,78.7,21.7,0.0085,,
1.0575,131,79.8,21.7,0.0075,,
1.0660,132,80.6,21.7,0.0075,,
1.0740,133,81.8,21.7,0.0075,,
1.0825,134,83.1,21.7,0.0075,,
1.0900,135,84.2,21.7,0.0075,,
1.0985,136,85.3,21.7,0.0085,,
1.1070,137,86.2,21.7,0.0075,,
1.1155,138,87.4,21.7,0.0075,,
1.1240,139,88.7,21.7,0.0075,,
1.1320,140,89.8,21.7,0.0075,,
1.1395,141,91.0,21.7,0.0075,,
1.1480,142,92.1,21.7,0.0085,,
1.1565,143,93.3,21.7,0.0075,,
1.1650,144,94.9,21.7,0.0075,,
1.1735,145,96.3,21.7,0.0075,,
1.1820,146,97.8,21.7,0.0075,,
1.1900,147,99.4,21.7,0.0080,,
1.1980,148,101.1,21.7,0.0080,,
1.2060,149,103.0,21.7,0.0075,,
1.2145,150,104.6,21.7,0.0075,,
1.2230,151,106.4,21.7,0.0075,,
1.2315,152,108.5,21.7,0.0075,,
1.2390,153,110.3,21.7,0.0075,,
1.2475,154,112.7,21.7,0.0085,,
1.2560,155,114.7,21.7,0.0075,,
1.2640,156,117.0,21.7,0.0075,,
1.2725,157,119.5,21.7,0.0075,,
1.2810,158,121.8,21.7,0.0075,,
1.2885,159,124.3,21.7,0.0075,,
1.2970,160,126.9,21.7,0.0085,,
1.3055,161,130.0,21.7,0.0075,,
1.3140,162,133.6,21.7,0.0075,,
1.3225,163,136.6,21.7,0.0075,,
1.3305,164,140.0,21.7,0.0075,,
1.3390,165,143.3,21.7,0.0085,,
1.3465,166,147.1,21.7,0.0075,,
1.3550,167,151.1,21.7,0.0075,,
1.3635,168,154.4,21.7,0.0075,,
1.3720,169,157.5,21.7,0.0075,,
1.3805,170,161.0,21.7,0.0075,,
1.3885,171,163.6,21.7,0.0080,,
1.3965,172,166.6,21.7,0.0080,,
1.4045,173,169.1,21.7,0.0075,,
1.4130,174,171.4,21.7,0.0075,,
1.4215,175,173.9,21.7,0.0075,,
1.4300,176,176.0,21.7,0.0075,,
1.4385,177,177.8,21.7,0.0085,,
1.4460,178,179.6,21.7,0.0075,,
1.4545,179,181.3,21.7,0.0075,,
1.4630,180,183.2,21.7,0.0075,,
1.4710,181,184.6,21.7,0.0075,,
1.4750,182,185.0,21.7,0.0065,,
1.4750,422,186.7,21.7,0.0000,,
1.4755,423,186.8,21.7,0.0005,,
1.4770,424,186.8,21.7,0.0020,,
1.4795,425,186.9,21.7,0.0035,,
1.4835,426,187.4,21.7,0.0050,,
1.4900,427,188.4,21.7,0.0080,,
1.4980,428,189.4,21.7,0.0100,,
1.5055,429,190.5,21.7,0.0105,,
1.5140,430,191.6,21.7,0.0120,,
1.5225,431,192.9,21.7,0.0120,,
1.5310,432,194.1,21.7,0.0105,,
1.5395,433,195.0,21.7,0.0105,,
1.5480,434,196.1,21.7,0.0105,,
1.5555,435,196.9,21.7,0.0105,,
1.5640,436,198.1,21.7,0.0120,,
1.5720,437,199.1,21.7,0.0115,,
1.5805,438,199.7,21.7,0.0105,,
1.5890,439,200.6,21.7,0.0105,,
1.5975,440,201.7,21.7,0.0105,,
1.6050,441,202.2,21.7,0.0105,,
1.6135,442,203.1,21.7,0.0120,,
1.6220,443,203.6,21.7,0.0120,,
1.6300,444,204.4,21.7,0.0100,,
1.6385,445,205.3,21.7,0.0105,,
1.6470,446,205.8,21.7,0.0105,,
1.6545,447,206.4,21.7,0.0105,,
1.6630,448,206.8,21.7,0.0120,,
1.6715,449,207.5,21.7,0.0120,,
1.6800,450,208.4,21.7,0.0105,,
1.6885,451,208.8,21.7,0.0105,,
1.6965,452,209.3,21.7,0.0100,,
1.7045,453,209.8,21.7,0.0115,,
