Task,T2213
Scope 1/1, Sample 1/2 (junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-74.7,20.9,NaN,,
0.0010,1,-74.7,20.9,0.0010,,
0.0025,2,-74.8,20.9,0.0015,,
0.0050,3,-74.6,20.9,0.0025,,
0.0090,4,-74.5,20.9,0.0035,,
0.0150,5,-74.5,20.9,0.0055,,
0.0235,6,-73.9,20.9,0.0075,,
0.0320,7,-73.4,20.9,0.0085,,
0.0395,8,-72.1,20.9,0.0075,,
0.0480,9,-71.2,20.9,0.0075,,
0.0565,10,-70.2,20.9,0.0075,,
0.0650,11,-68.8,20.9,0.0075,,
0.0735,12,-67.4,20.9,0.0075,,
0.0815,13,-66.2,20.9,0.0080,,
0.0895,14,-64.9,20.9,0.0080,,
0.0975,15,-63.4,20.9,0.0075,,
0.1060,16,-61.7,20.9,0.0075,,
0.1145,17,-60.3,20.9,0.0075,,
0.1230,18,-58.7,20.9,0.0075,,
0.1315,19,-57.1,20.9,0.0085,,
0.1390,20,-55.1,20.9,0.0075,,
0.1475,21,-53.0,20.9,0.0075,,
0.1560,22,-51.0,20.9,0.0075,,
0.1640,23,-49.0,21.0,0.0075,,
0.1725,24,-46.3,21.0,0.0075,,
0.1800,25,-44.2,21.0,0.0075,,
0.1885,26,-41.5,21.0,0.0075,,
0.1970,27,-38.9,21.0,0.0075,,
0.2055,28,-36.0,21.0,0.0075,,
0.2140,29,-32.5,21.0,0.0075,,
0.2225,30,-29.4,21.0,0.0075,,
0.2300,31,-26.2,21.0,0.0075,,
0.2385,32,-23.1,21.0,0.0075,,
0.2465,33,-19.7,21.0,0.0075,,
0.2550,34,-16.4,21.0,0.0075,,
0.2635,35,-13.7,21.0,0.0075,,
0.2720,36,-11.3,21.0,0.0085,,
0.2795,37,-9.2,21.0,0.0075,,
0.2880,38,-6.8,21.0,0.0075,,
0.2965,39,-4.7,21.0,0.0075,,
0.3050,40,-3.3,21.0,0.0075,,
0.3130,41,-1.5,21.0,0.0075,,
0.3210,42,-0.3,21.0,0.0080,,
0.3290,43,1.3,21.0,0.0080,,
0.3375,44,2.6,21.0,0.0075,,
0.3460,45,3.7,21.0,0.0075,,
0.3545,46,5.1,21.0,0.0075,,
0.3630,47,6.4,21.0,0.0075,,
0.3705,48,7.4,21.0,0.0075,,
0.3790,49,8.3,21.0,0.0075,,
0.3875,50,9.3,21.0,0.0075,,
0.3955,51,10.6,21.0,0.0075,,
0.4040,52,11.6,21.0,0.0075,,
0.4125,53,12.5,21.0,0.0075,,
0.4200,54,13.3,21.0,0.0075,,
0.4285,55,14.3,21.0,0.0075,,
0.4370,56,15.5,21.0,0.0075,,
0.4455,57,16.3,21.0,0.0075,,
0.4540,58,17.1,21.0,0.0075,,
0.4620,59,18.4,21.0,0.0075,,
0.4700,60,19.1,21.0,0.0080,,
0.4780,61,20.0,21.0,0.0075,,
0.4865,62,20.7,21.0,0.0075,,
0.4950,63,21.7,21.0,0.0075,,
0.5035,64,22.7,21.0,0.0075,,
0.5110,65,23.5,21.0,0.0075,,
0.5195,66,24.2,21.0,0.0085,,
0.5280,67,24.9,21.0,0.0075,,
0.5365,68,26.0,21.0,0.0075,,
0.5445,69,26.8,21.0,0.0075,,
0.5530,70,27.2,21.0,0.0075,,
0.5605,71,28.0,21.0,0.0075,,
0.5690,72,28.8,21.0,0.0075,,
0.5775,73,29.8,21.0,0.0075,,
0.5860,74,30.6,21.0,0.0075,,
0.5945,75,31.3,21.0,0.0075,,
0.6030,76,32.4,21.0,0.0075,,
0.6105,77,33.0,21.0,0.0075,,
0.6190,78,34.1,21.0,0.0075,,
0.6270,79,34.6,21.0,0.0075,,
