"SampleID","TA","Mass","Sample.Index"
"junk1",2273.47188261371,60.0318,1
"junk2",2264.48363444645,59.9535,2
"S1",2157.18373125587,59.8797,3
"S2",2145.69374523192,59.7022,4
"S3",2129.19921361047,59.8891,5
"S4",2131.94888146469,60.1574,6
"S5",2128.31692421347,60.1213,7
"S6",2135.25114150369,60.0007,8
"T1",2133.88614260856,60.0946,9
"T2",2130.83992786211,59.9283,10
"T3",2142.28849407174,60.0392,11
"T4",2143.46363783241,59.8117,12
"T5",2127.56485393647,59.7332,13
"T7A",2118.7171659286,60.3252,14
"T7B",2138.51074753333,60.1652,15
"T8",2141.28331621267,59.6208,16
"T9",2133.60969245799,59.7236,17
"T10",2125.25552533156,59.7528,18
"T11",2145.23552624085,60.3856,19
"T12",2137.89296214176,60.3427,20
"T13",2129.8611090576,59.7919,21
"T14",2139.0185361214,59.9344,22
"T15",2144.62400021085,59.9658,23
"T16",2139.83102021848,60.1412,24
"T17",2152.75208647454,60.2085,25
"T18",2127.58714798709,60.2013,26
"T19",2141.16648667055,60.2297,27
"T20",2130.14334385899,60.1292,28
"T21",2128.98759837069,60.4197,29
"T22",2147.71181643084,60.1932,30
"T23",2132.37972649386,60.4281,31
"T24",2122.50377868776,59.6044,32
