"SampleID","TA","Mass","Sample.Index"
"junk1",2203.37661169249,59.7837,1
"junk2",2298.70338392038,59.8439,2
"S1",2173.40065098262,60.2177,3
"S2",2171.08875424937,60.2747,4
"S3",2177.92035143646,60.0841,5
"S4",2170.22256116177,59.8985,6
"S5",2174.6701840655,60.0076,7
"S6",2169.71817088286,60.1548,8
"T1",2155.35451800596,60.1756,9
"T2",2149.67389239706,60.3026,10
"T3",2154.3683797672,60.1096,11
"T4",2168.52937077519,60.1684,12
"T5",2152.92828017465,60.2817,13
"T6",2146.69940446884,59.9526,14
"T7",2168.32665366946,60.0484,15
"T8",2170.72088524595,60.1329,16
"T9",2149.91627952443,60.4027,17
"T10",2151.02013863933,59.6343,18
"T11",2169.34804611572,59.8005,19
"T12",2181.02229624387,60.1081,20
"T13",2143.23334042754,60.024,21
"T14",2169.33839670229,59.8142,22
"T15",2170.16176358957,60.3576,23
"T16",2162.43790684971,59.9834,24
"T17",2173.6855831925,60.1809,25
"T18",2151.77048748429,60.1563,26
"T19",2173.8488907541,60.0821,27
"T20",2156.02206696863,60.0349,28
"T21",2154.90336330415,60.4726,29
"T22",2173.09985870098,59.6943,30
"T23",2153.32609046989,60.266,31
"T24",2158.71883023502,59.7502,32
