Task,T1511
Scope 1/1, Sample 1/14 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-66.2,20.5,NaN,,
0.0005,1,-66.2,20.5,0.0005,,
0.0025,2,-66.2,20.5,0.0020,,
0.0050,3,-66.3,20.5,0.0025,,
0.0090,4,-66.2,20.5,0.0035,,
0.0150,5,-66.0,20.5,0.0055,,
0.0235,6,-65.7,20.5,0.0075,,
0.0310,7,-65.2,20.5,0.0075,,
0.0395,8,-64.4,20.5,0.0085,,
0.0480,9,-63.3,20.5,0.0075,,
0.0565,10,-62.3,20.5,0.0075,,
0.0650,11,-61.1,20.5,0.0075,,
0.0730,12,-59.7,20.5,0.0075,,
0.0810,13,-58.4,20.5,0.0080,,
0.0890,14,-57.1,20.5,0.0080,,
0.0975,15,-55.6,20.5,0.0085,,
0.1060,16,-53.9,20.5,0.0075,,
0.1145,17,-52.3,20.5,0.0075,,
0.1230,18,-50.5,20.5,0.0075,,
0.1305,19,-48.8,20.5,0.0075,,
0.1390,20,-46.8,20.5,0.0085,,
0.1470,21,-44.5,20.5,0.0080,,
0.1555,22,-42.1,20.5,0.0075,,
0.1640,23,-39.7,20.5,0.0075,,
0.1725,24,-37.3,20.5,0.0075,,
0.1810,25,-34.6,20.5,0.0075,,
0.1885,26,-32.2,20.5,0.0075,,
0.1970,27,-29.3,20.5,0.0085,,
0.2050,28,-26.3,20.5,0.0075,,
0.2135,29,-23.3,20.5,0.0075,,
0.2220,30,-20.4,20.5,0.0075,,
0.2305,31,-17.7,20.5,0.0075,,
0.2380,32,-15.5,20.5,0.0075,,
0.2465,33,-13.2,20.5,0.0085,,
0.2550,34,-11.1,20.5,0.0085,,
0.2630,35,-9.2,20.5,0.0075,,
0.2715,36,-7.3,20.5,0.0075,,
0.2800,37,-5.7,20.5,0.0075,,
0.2875,38,-4.2,20.5,0.0075,,
0.2960,39,-2.7,20.5,0.0085,,
0.3045,40,-1.3,20.5,0.0085,,
0.3130,41,-0.1,20.5,0.0075,,
0.3210,42,1.1,20.5,0.0075,,
0.3295,43,2.4,20.5,0.0075,,
0.3370,44,3.5,20.5,0.0075,,
0.3455,45,4.7,20.5,0.0085,,
0.3540,46,5.9,20.5,0.0085,,
0.3625,47,6.9,20.5,0.0075,,
0.3710,48,8.0,20.5,0.0075,,
0.3795,49,8.9,20.5,0.0075,,
0.3870,50,9.7,20.5,0.0075,,
0.3955,51,10.8,20.5,0.0085,,
0.4035,52,11.7,20.5,0.0080,,
0.4120,53,12.7,20.5,0.0075,,
0.4205,54,13.7,20.5,0.0075,,
0.4290,55,14.6,20.5,0.0075,,
0.4365,56,15.4,20.5,0.0075,,
0.4450,57,16.2,20.5,0.0085,,
0.4535,58,17.1,20.5,0.0085,,
0.4615,59,18.0,20.5,0.0075,,
0.4700,60,18.9,20.5,0.0075,,
0.4785,61,19.9,20.5,0.0075,,
0.4870,62,20.6,20.5,0.0085,,
0.4945,63,21.5,20.5,0.0075,,
0.5030,64,22.4,20.5,0.0085,,
0.5115,65,23.1,20.5,0.0075,,
0.5200,66,23.9,20.5,0.0075,,
0.5280,67,24.8,20.5,0.0075,,
0.5365,68,25.6,20.5,0.0085,,
0.5440,69,26.4,20.5,0.0075,,
0.5525,70,27.2,20.5,0.0085,,
0.5610,71,28.0,20.5,0.0075,,
0.5695,72,28.8,20.5,0.0075,,
0.5780,73,29.7,20.5,0.0075,,
0.5860,74,30.4,20.5,0.0080,,
0.5940,75,31.3,20.5,0.0080,,
0.6020,76,32.1,20.5,0.0080,,
0.6105,77,32.9,20.5,0.0075,,
0.6190,78,33.7,20.5,0.0075,,
0.6275,79,34.5,20.5,0.0075,,
0.6360,80,35.3,20.5,0.0085,,
0.6435,81,36.1,20.5,0.0075,,
0.6520,82,37.0,20.5,0.0085,,
0.6605,83,37.9,20.5,0.0075,,
0.6685,84,38.8,20.5,0.0075,,
0.6770,85,39.6,20.5,0.0075,,
0.6855,86,40.4,20.5,0.0085,,
0.6930,87,41.3,20.5,0.0075,,
0.7015,88,42.1,20.5,0.0075,,
0.7100,89,43.1,20.5,0.0075,,
0.7185,90,43.9,20.5,0.0075,,
0.7265,91,44.8,20.5,0.0075,,
0.7345,92,45.5,20.5,0.0080,,
0.7425,93,46.3,20.5,0.0080,,
0.7510,94,47.1,20.5,0.0085,,
0.7595,95,48.1,20.5,0.0075,,
0.7680,96,49.0,20.5,0.0075,,
0.7765,97,49.9,20.5,0.0075,,
0.7850,98,50.7,20.5,0.0085,,
0.7925,99,51.5,20.5,0.0075,,
0.8010,100,52.4,20.5,0.0085,,
0.8090,101,53.3,20.5,0.0075,,
0.8175,102,54.2,20.5,0.0075,,
0.8260,103,55.1,20.5,0.0075,,
0.8345,104,55.9,20.5,0.0085,,
0.8420,105,56.8,20.5,0.0075,,
0.8505,106,57.7,20.5,0.0085,,
0.8590,107,58.5,20.5,0.0075,,
0.8670,108,59.4,20.5,0.0075,,
0.8755,109,60.3,20.5,0.0075,,
0.8840,110,60.9,20.5,0.0085,,
0.8915,111,61.9,20.5,0.0075,,
0.9000,112,62.7,20.5,0.0085,,
0.9085,113,63.6,20.5,0.0075,,
0.9170,114,64.6,20.5,0.0075,,
0.9255,115,65.5,20.5,0.0075,,
0.9330,116,66.4,20.5,0.0075,,
0.9415,117,67.2,20.5,0.0085,,
