Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample index in scope,Sample ID1,Sample start time,Overall state,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],Density [g/m L],Unit of Density [g/m L],
1,junk1,3/27/2026 11:19:21 AM,OK,Unchecked,0,,25.0,°C,,2.280,mL,,60.192,g,,60.1916,g,1.0,g/mL,
2,junk2,3/27/2026 11:29:49 AM,OK,Unchecked,0,,25.0,°C,,2.285,mL,,60.305,g,,60.3047,g,1.0,g/mL,
3,junk3,3/27/2026 11:40:13 AM,OK,Unchecked,0,,25.0,°C,,2.282,mL,,60.151,g,,60.1512,g,1.0,g/mL,
4,b1r15,3/27/2026 11:50:33 AM,OK,Unchecked,0,,25.0,°C,,2.199,mL,,60.147,g,,60.1468,g,1.0,g/mL,
5,b2r15,3/27/2026 12:00:44 PM,OK,Unchecked,0,,25.0,°C,,2.202,mL,,60.140,g,,60.1398,g,1.0,g/mL,
6,b3r15,3/27/2026 12:10:56 PM,OK,Unchecked,0,,25.0,°C,,2.208,mL,,60.327,g,,60.3272,g,1.0,g/mL,
7,01r15,3/27/2026 12:21:08 PM,OK,Unchecked,0,,25.0,°C,,2.180,mL,,60.266,g,,60.2662,g,1.0,g/mL,
8,02r15,3/27/2026 12:31:20 PM,OK,Unchecked,0,,25.0,°C,,2.196,mL,,60.120,g,,60.1205,g,1.0,g/mL,
9,03r15,3/27/2026 12:41:32 PM,OK,Unchecked,0,,25.0,°C,,2.181,mL,,60.035,g,,60.0346,g,1.0,g/mL,
10,04r15,3/27/2026 12:51:40 PM,OK,Unchecked,0,,25.0,°C,,2.178,mL,,60.291,g,,60.2910,g,1.0,g/mL,
11,05r15,3/27/2026 1:01:48 PM,OK,Unchecked,0,,25.0,°C,,2.171,mL,,60.133,g,,60.1332,g,1.0,g/mL,
12,ch3b1r15,3/27/2026 1:11:58 PM,OK,Unchecked,0,,25.0,°C,,2.200,mL,,60.229,g,,60.2288,g,1.0,g/mL,
13,ch3b2r15,3/27/2026 1:22:11 PM,OK,Unchecked,0,,25.0,°C,,2.194,mL,,60.129,g,,60.1287,g,1.0,g/mL,
14,ch3b3r15,3/27/2026 1:32:23 PM,OK,Unchecked,0,,25.0,°C,,2.198,mL,,60.254,g,,60.2542,g,1.0,g/mL,
SystemInternal3/27/2026 1:54:54 PM,,,,,,,,,,,,,,,,,,,,1/1
