Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample index in scope,Sample ID1,Sample start time,Overall state,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],Density [g/m L],Unit of Density [g/m L],
1,junk,5/4/2026 1:14:45 PM,OK,Unchecked,0,,25.0,°C,,2.212,mL,,60.097,g,,60.0968,g,1.0,g/mL,
2,b1r16,5/4/2026 1:25:10 PM,OK,Unchecked,0,,25.0,°C,,2.145,mL,,59.880,g,,59.8795,g,1.0,g/mL,
3,b2r16,5/4/2026 1:35:17 PM,OK,Unchecked,0,,25.0,°C,,2.310,mL,,60.320,g,,60.3199,g,1.0,g/mL,
4,b3r16,5/4/2026 1:45:46 PM,OK,Unchecked,0,,25.0,°C,,2.170,mL,,60.229,g,,60.2292,g,1.0,g/mL,
5,01r16,5/4/2026 1:56:01 PM,OK,Unchecked,0,,25.0,°C,,2.127,mL,,59.787,g,,59.7869,g,1.0,g/mL,
6,02r16,5/4/2026 2:06:07 PM,OK,Unchecked,0,,25.0,°C,,2.140,mL,,59.827,g,,59.8274,g,1.0,g/mL,
7,03r16,5/4/2026 2:16:19 PM,OK,Unchecked,0,,25.0,°C,,2.114,mL,,59.703,g,,59.7029,g,1.0,g/mL,
8,04r16,5/4/2026 2:26:19 PM,OK,Unchecked,0,,25.0,°C,,2.120,mL,,60.230,g,,60.2298,g,1.0,g/mL,
9,05r16,5/4/2026 2:36:26 PM,OK,Unchecked,0,,25.0,°C,,2.159,mL,,59.946,g,,59.9461,g,1.0,g/mL,
10,06r16,5/4/2026 2:46:34 PM,OK,Unchecked,0,,25.0,°C,,2.152,mL,,59.881,g,,59.8807,g,1.0,g/mL,
11,07r16,5/4/2026 2:56:42 PM,OK,Unchecked,0,,25.0,°C,,2.094,mL,,60.230,g,,60.2303,g,1.0,g/mL,
12,08r16,5/4/2026 3:06:41 PM,OK,Unchecked,0,,25.0,°C,,2.054,mL,,59.844,g,,59.8441,g,1.0,g/mL,
13,09r16,5/4/2026 3:16:36 PM,OK,Unchecked,0,,25.0,°C,,2.139,mL,,59.704,g,,59.7044,g,1.0,g/mL,
14,10r16,5/4/2026 3:26:38 PM,OK,Unchecked,0,,25.0,°C,,2.060,mL,,60.297,g,,60.2969,g,1.0,g/mL,
15,11r16,5/4/2026 3:36:34 PM,OK,Unchecked,0,,25.0,°C,,2.088,mL,,59.612,g,,59.6124,g,1.0,g/mL,
16,12r16,5/4/2026 3:46:33 PM,OK,Unchecked,0,,25.0,°C,,2.146,mL,,59.741,g,,59.7407,g,1.0,g/mL,
17,b1r17,5/4/2026 3:56:41 PM,OK,Unchecked,0,,25.0,°C,,2.156,mL,,60.063,g,,60.0634,g,1.0,g/mL,
18,b2r17,5/4/2026 4:06:49 PM,OK,Unchecked,0,,25.0,°C,,2.136,mL,,59.893,g,,59.8932,g,1.0,g/mL,
19,b3r17,5/4/2026 4:16:55 PM,OK,Unchecked,0,,25.0,°C,,2.144,mL,,59.862,g,,59.8621,g,1.0,g/mL,
20,01r17,5/4/2026 4:27:00 PM,OK,Unchecked,0,,25.0,°C,,2.066,mL,,59.902,g,,59.9024,g,1.0,g/mL,
21,02r17,5/4/2026 4:36:56 PM,OK,Unchecked,0,,25.0,°C,,2.076,mL,,60.297,g,,60.2974,g,1.0,g/mL,
22,03r17,5/4/2026 4:46:57 PM,OK,Unchecked,0,,25.0,°C,,2.150,mL,,60.004,g,,60.0035,g,1.0,g/mL,
23,04r17,5/4/2026 4:57:03 PM,OK,Unchecked,0,,25.0,°C,,2.160,mL,,60.205,g,,60.2054,g,1.0,g/mL,
24,05r17,5/4/2026 5:07:11 PM,OK,Unchecked,0,,25.0,°C,,2.094,mL,,60.137,g,,60.1370,g,1.0,g/mL,
25,06r17,5/4/2026 5:17:10 PM,OK,Unchecked,0,,25.0,°C,,2.100,mL,,59.600,g,,59.6003,g,1.0,g/mL,
26,07r17,5/4/2026 5:27:09 PM,OK,Unchecked,0,,25.0,°C,,2.092,mL,,59.720,g,,59.7205,g,1.0,g/mL,
27,08r17,5/4/2026 5:37:07 PM,OK,Unchecked,0,,25.0,°C,,2.127,mL,,60.440,g,,60.4399,g,1.0,g/mL,
28,09r17,5/4/2026 5:47:09 PM,OK,Unchecked,0,,25.0,°C,,2.160,mL,,60.134,g,,60.1337,g,1.0,g/mL,
29,10r17,5/4/2026 5:57:19 PM,OK,Unchecked,0,,25.0,°C,,2.130,mL,,60.362,g,,60.3624,g,1.0,g/mL,
30,11r17,5/4/2026 6:07:30 PM,OK,Unchecked,0,,25.0,°C,,2.197,mL,,60.433,g,,60.4328,g,1.0,g/mL,
31,12r17,5/4/2026 6:17:48 PM,OK,Unchecked,0,,25.0,°C,,2.050,mL,,59.843,g,,59.8432,g,1.0,g/mL,
32,b1r18,5/4/2026 6:27:43 PM,OK,Unchecked,0,,25.0,°C,,2.176,mL,,60.484,g,,60.4843,g,1.0,g/mL,
33,b2r18,5/4/2026 6:37:53 PM,OK,Unchecked,0,,25.0,°C,,2.164,mL,,60.374,g,,60.3745,g,1.0,g/mL,
34,b3r18,5/4/2026 6:48:03 PM,OK,Unchecked,0,,25.0,°C,,2.152,mL,,59.806,g,,59.8062,g,1.0,g/mL,
35,01r18,5/4/2026 6:58:11 PM,OK,Unchecked,0,,25.0,°C,,2.080,mL,,60.197,g,,60.1968,g,1.0,g/mL,
36,02r18,5/4/2026 7:08:10 PM,OK,Unchecked,0,,25.0,°C,,2.074,mL,,59.732,g,,59.7323,g,1.0,g/mL,
37,03r18,5/4/2026 7:18:05 PM,OK,Unchecked,0,,25.0,°C,,2.142,mL,,60.020,g,,60.0203,g,1.0,g/mL,
38,04r18,5/4/2026 7:28:09 PM,OK,Unchecked,0,,25.0,°C,,2.121,mL,,59.928,g,,59.9285,g,1.0,g/mL,
39,05r18,5/4/2026 7:38:11 PM,OK,Unchecked,0,,25.0,°C,,2.154,mL,,59.706,g,,59.7056,g,1.0,g/mL,
40,06r18,5/4/2026 7:48:19 PM,OK,Unchecked,0,,25.0,°C,,2.113,mL,,59.658,g,,59.6583,g,1.0,g/mL,
41,07r18,5/4/2026 7:58:25 PM,OK,Unchecked,0,,25.0,°C,,2.098,mL,,59.829,g,,59.8291,g,1.0,g/mL,
42,08r18,5/4/2026 8:08:26 PM,OK,Unchecked,0,,25.0,°C,,2.160,mL,,59.945,g,,59.9446,g,1.0,g/mL,
43,09r18,5/4/2026 8:18:37 PM,OK,Unchecked,0,,25.0,°C,,2.112,mL,,59.929,g,,59.9290,g,1.0,g/mL,
44,10r18,5/4/2026 8:28:39 PM,OK,Unchecked,0,,25.0,°C,,2.140,mL,,60.300,g,,60.2995,g,1.0,g/mL,
45,11r18,5/4/2026 8:38:43 PM,OK,Unchecked,0,,25.0,°C,,2.135,mL,,59.596,g,,59.5958,g,1.0,g/mL,
46,12r18,5/4/2026 8:48:47 PM,OK,Unchecked,0,,25.0,°C,,2.143,mL,,59.866,g,,59.8665,g,1.0,g/mL,
5/4/2026 8:59:27 PMSystemInternal,,,,,,,,,,,,,,,,,,,,1/1
