Task,T1605
Scope 1/1, Sample 1/47 (junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-62.7,21.5,NaN,,
0.0010,1,-62.6,21.5,0.0010,,
0.0025,2,-62.6,21.5,0.0015,,
0.0050,3,-62.6,21.5,0.0025,,
0.0085,4,-62.6,21.5,0.0030,,
0.0150,5,-62.5,21.5,0.0060,,
0.0230,6,-61.9,21.5,0.0075,,
0.0315,7,-61.0,21.5,0.0075,,
0.0400,8,-60.1,21.5,0.0075,,
0.0485,9,-59.1,21.5,0.0085,,
0.0560,10,-57.9,21.5,0.0070,,
0.0640,11,-56.7,21.5,0.0075,,
0.0725,12,-55.1,21.5,0.0075,,
0.0810,13,-53.6,21.5,0.0075,,
0.0895,14,-52.0,21.5,0.0075,,
0.0980,15,-50.3,21.5,0.0075,,
0.1055,16,-48.6,21.5,0.0070,,
0.1140,17,-46.8,21.5,0.0075,,
0.1225,18,-44.8,21.5,0.0075,,
0.1305,19,-42.8,21.5,0.0075,,
0.1390,20,-40.8,21.5,0.0075,,
0.1475,21,-38.4,21.5,0.0075,,
0.1550,22,-36.4,21.5,0.0070,,
0.1635,23,-34.0,21.5,0.0075,,
0.1720,24,-31.2,21.5,0.0075,,
0.1805,25,-28.4,21.5,0.0075,,
0.1885,26,-25.5,21.5,0.0075,,
0.1970,27,-22.3,21.5,0.0075,,
0.2045,28,-19.8,21.5,0.0070,,
0.2130,29,-16.6,21.5,0.0075,,
0.2215,30,-13.9,21.5,0.0075,,
0.2300,31,-11.4,21.5,0.0075,,
0.2385,32,-9.0,21.5,0.0075,,
0.2470,33,-6.7,21.5,0.0075,,
0.2545,34,-4.8,21.5,0.0070,,
0.2630,35,-3.0,21.5,0.0075,,
0.2710,36,-1.6,21.5,0.0075,,
0.2795,37,0.0,21.5,0.0075,,
0.2880,38,1.6,21.5,0.0075,,
0.2965,39,3.0,21.5,0.0075,,
0.3040,40,4.0,21.5,0.0070,,
0.3125,41,5.2,21.5,0.0075,,
0.3210,42,6.5,21.5,0.0075,,
0.3290,43,7.8,21.5,0.0075,,
0.3375,44,9.0,21.5,0.0075,,
0.3460,45,10.1,21.5,0.0075,,
0.3535,46,11.3,21.5,0.0070,,
0.3620,47,12.1,21.5,0.0075,,
0.3705,48,13.2,21.5,0.0075,,
0.3790,49,14.4,21.5,0.0075,,
0.3870,50,15.3,21.5,0.0075,,
0.3955,51,16.3,21.5,0.0075,,
0.4030,52,17.3,21.5,0.0075,,
0.4115,53,18.1,21.5,0.0075,,
0.4200,54,19.1,21.5,0.0075,,
0.4285,55,20.0,21.5,0.0075,,
0.4370,56,20.9,21.5,0.0075,,
0.4450,57,21.8,21.5,0.0075,,
0.4535,58,22.8,21.5,0.0075,,
0.4610,59,23.5,21.5,0.0070,,
0.4695,60,24.3,21.5,0.0075,,
0.4780,61,25.1,21.5,0.0075,,
0.4865,62,26.0,21.5,0.0075,,
0.4950,63,26.9,21.5,0.0075,,
0.5030,64,27.7,21.5,0.0075,,
0.5110,65,28.4,21.5,0.0075,,
0.5190,66,29.4,21.5,0.0075,,
0.5275,67,30.1,21.5,0.0075,,
0.5360,68,31.0,21.5,0.0075,,
0.5445,69,31.9,21.5,0.0075,,
0.5530,70,32.7,21.5,0.0075,,
0.5605,71,33.5,21.5,0.0070,,
0.5690,72,34.4,21.5,0.0075,,
0.5775,73,35.1,21.5,0.0075,,
0.5855,74,36.1,21.5,0.0075,,
0.5940,75,37.0,21.5,0.0075,,
0.6025,76,37.9,21.5,0.0075,,
0.6110,77,38.5,21.5,0.0085,,
0.6185,78,39.4,21.5,0.0070,,
0.6270,79,40.0,21.5,0.0075,,
0.6355,80,40.9,21.5,0.0075,,
0.6435,81,41.8,21.5,0.0075,,
0.6520,82,42.6,21.5,0.0075,,
0.6595,83,43.3,21.5,0.0075,,
0.6680,84,44.1,21.5,0.0075,,
0.6765,85,44.9,21.5,0.0075,,
0.6850,86,45.8,21.5,0.0075,,
0.6935,87,46.7,21.5,0.0075,,
0.7020,88,47.3,21.5,0.0075,,
0.7095,89,48.1,21.5,0.0070,,
0.7180,90,48.9,21.5,0.0075,,
0.7260,91,49.8,21.5,0.0075,,
0.7345,92,50.6,21.5,0.0075,,
0.7430,93,51.3,21.5,0.0075,,
0.7515,94,52.3,21.5,0.0075,,
0.7590,95,53.0,21.5,0.0070,,
0.7675,96,53.9,21.5,0.0075,,
0.7760,97,54.8,21.5,0.0075,,
0.7845,98,55.6,21.5,0.0075,,
0.7925,99,56.5,21.5,0.0075,,
0.8010,100,57.1,21.5,0.0085,,
0.8085,101,57.9,21.5,0.0070,,
0.8170,102,58.8,21.5,0.0075,,
0.8255,103,59.7,21.5,0.0075,,
0.8340,104,60.6,21.5,0.0075,,
0.8425,105,61.6,21.5,0.0075,,
0.8510,106,62.3,21.5,0.0085,,
0.8585,107,63.2,21.5,0.0070,,
0.8670,108,64.2,21.5,0.0075,,
0.8750,109,64.8,21.5,0.0075,,
0.8835,110,65.7,21.5,0.0075,,
0.8920,111,66.6,21.5,0.0075,,
0.8995,112,67.3,21.5,0.0075,,
0.9080,113,68.3,21.5,0.0075,,
0.9165,114,69.0,21.5,0.0075,,
0.9250,115,69.9,21.5,0.0075,,
0.9330,116,70.9,21.5,0.0075,,
0.9415,117,71.5,21.5,0.0075,,
0.9500,118,72.4,21.5,0.0085,,
0.9575,119,73.2,21.5,0.0070,,
0.9660,120,74.1,21.5,0.0075,,
0.9745,121,75.1,21.5,0.0075,,
0.9830,122,76.0,21.5,0.0075,,
0.9915,123,76.9,21.5,0.0075,,
0.9995,124,77.8,21.5,0.0075,,
1.0070,125,78.6,21.5,0.0070,,
1.0155,126,79.6,21.5,0.0075,,
1.0240,127,80.7,21.5,0.0075,,
1.0325,128,81.5,21.5,0.0075,,
1.0410,129,82.3,21.5,0.0075,,
1.0495,130,83.3,21.5,0.0075,,
1.0570,131,84.0,21.5,0.0070,,
1.0650,132,85.3,21.5,0.0075,,
1.0735,133,86.3,21.5,0.0075,,
1.0820,134,87.3,21.5,0.0075,,
1.0905,135,88.2,21.5,0.0075,,
1.0990,136,89.3,21.5,0.0075,,
1.1065,137,90.0,21.5,0.0075,,
