Task,T1265
Scope 1/1, Sample 2/33 (junk2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-67.2,20.8,NaN,,
0.0005,1,-67.2,20.8,0.0005,,
0.0025,2,-67.3,20.8,0.0020,,
0.0050,3,-67.1,20.8,0.0025,,
0.0085,4,-67.2,20.8,0.0030,,
0.0150,5,-67.0,20.8,0.0060,,
0.0230,6,-66.5,20.8,0.0075,,
0.0305,7,-65.8,20.8,0.0075,,
0.0390,8,-64.8,20.8,0.0085,,
0.0475,9,-63.8,20.8,0.0085,,
0.0560,10,-62.5,20.8,0.0075,,
0.0645,11,-61.2,20.8,0.0075,,
0.0725,12,-59.7,20.8,0.0075,,
0.0800,13,-58.4,20.8,0.0075,,
0.0885,14,-56.8,20.8,0.0085,,
0.0970,15,-55.3,20.8,0.0085,,
0.1055,16,-53.4,20.8,0.0075,,
0.1140,17,-51.7,20.8,0.0075,,
0.1225,18,-49.8,20.8,0.0075,,
0.1305,19,-48.1,20.8,0.0080,,
0.1380,20,-45.8,20.8,0.0075,,
0.1465,21,-43.4,20.8,0.0075,,
0.1550,22,-41.0,20.8,0.0075,,
0.1635,23,-38.5,20.8,0.0075,,
0.1720,24,-35.8,20.8,0.0075,,
0.1805,25,-33.3,20.8,0.0085,,
0.1880,26,-30.4,20.8,0.0075,,
0.1965,27,-27.5,20.8,0.0085,,
0.2045,28,-24.6,20.8,0.0075,,
0.2130,29,-21.6,20.8,0.0075,,
0.2215,30,-18.9,20.8,0.0075,,
0.2300,31,-16.5,20.8,0.0075,,
0.2375,32,-14.3,20.8,0.0075,,
0.2460,33,-12.2,20.8,0.0085,,
0.2545,34,-10.1,20.8,0.0085,,
0.2625,35,-8.2,20.8,0.0075,,
0.2710,36,-6.5,20.8,0.0075,,
0.2795,37,-4.8,20.8,0.0075,,
0.2870,38,-3.4,20.8,0.0075,,
0.2955,39,-2.0,20.8,0.0085,,
0.3040,40,-0.7,20.8,0.0075,,
0.3125,41,0.7,20.8,0.0075,,
0.3210,42,1.7,20.8,0.0075,,
0.3290,43,3.2,20.8,0.0075,,
0.3370,44,4.3,20.8,0.0080,,
0.3450,45,5.5,20.8,0.0080,,
0.3535,46,6.6,20.8,0.0085,,
