Task,T1312
Scope 1/1, Sample 1/2 (junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-66.6,22.5,NaN,,
0.0005,1,-66.6,22.5,0.0005,,
0.0025,2,-66.6,22.5,0.0020,,
0.0050,3,-66.5,22.5,0.0025,,
0.0085,4,-66.5,22.5,0.0030,,
0.0150,5,-66.2,22.5,0.0060,,
0.0230,6,-65.8,22.5,0.0075,,
0.0305,7,-65.2,22.5,0.0075,,
0.0390,8,-64.3,22.5,0.0085,,
0.0475,9,-63.2,22.5,0.0075,,
0.0560,10,-62.1,22.5,0.0075,,
0.0645,11,-60.8,22.5,0.0075,,
0.0730,12,-59.6,22.5,0.0085,,
0.0805,13,-58.1,22.5,0.0075,,
0.0890,14,-56.6,22.5,0.0085,,
0.0970,15,-55.0,22.5,0.0075,,
0.1055,16,-53.3,22.5,0.0075,,
0.1140,17,-51.6,22.5,0.0075,,
0.1215,18,-49.9,22.5,0.0075,,
0.1300,19,-48.0,22.5,0.0085,,
0.1385,20,-45.9,22.5,0.0085,,
0.1470,21,-43.7,22.5,0.0075,,
0.1555,22,-41.5,22.5,0.0075,,
0.1635,23,-39.1,22.5,0.0075,,
0.1715,24,-36.7,22.5,0.0080,,
0.1795,25,-34.0,22.5,0.0080,,
0.1880,26,-31.2,22.5,0.0085,,
0.1965,27,-28.3,22.5,0.0075,,
0.2050,28,-25.4,22.5,0.0075,,
0.2135,29,-22.4,22.5,0.0075,,
0.2210,30,-19.7,22.5,0.0075,,
0.2295,31,-16.8,22.5,0.0085,,
0.2380,32,-14.1,22.5,0.0075,,
0.2460,33,-11.6,22.5,0.0075,,
0.2545,34,-9.3,22.5,0.0075,,
0.2620,35,-7.4,22.5,0.0075,,
0.2705,36,-5.3,22.5,0.0085,,
0.2790,37,-3.5,22.5,0.0085,,
0.2875,38,-1.9,22.5,0.0075,,
0.2960,39,-0.3,22.5,0.0075,,
0.3045,40,1.1,22.5,0.0075,,
0.3120,41,2.4,22.5,0.0075,,
0.3205,42,3.8,22.5,0.0085,,
0.3285,43,5.1,22.5,0.0080,,
0.3370,44,6.4,22.5,0.0075,,
0.3455,45,7.5,22.5,0.0075,,
0.3540,46,8.7,22.5,0.0075,,
0.3615,47,9.7,22.5,0.0075,,
0.3700,48,10.9,22.5,0.0085,,
0.3785,49,11.9,22.5,0.0075,,
0.3870,50,13.0,22.5,0.0075,,
0.3950,51,14.0,22.5,0.0075,,
0.4035,52,15.1,22.5,0.0075,,
0.4110,53,16.1,22.5,0.0075,,
0.4195,54,17.1,22.5,0.0085,,
0.4280,55,18.1,22.5,0.0085,,
0.4365,56,19.0,22.5,0.0075,,
0.4450,57,19.9,22.5,0.0075,,
0.4535,58,20.7,22.5,0.0075,,
0.4610,59,21.6,22.5,0.0075,,
0.4690,60,22.6,22.5,0.0080,,
0.4775,61,23.4,22.5,0.0075,,
0.4860,62,24.3,22.5,0.0075,,
0.4945,63,25.2,22.5,0.0075,,
0.5030,64,25.9,22.5,0.0085,,
0.5105,65,26.8,22.5,0.0075,,
0.5190,66,27.7,22.5,0.0085,,
0.5275,67,28.6,22.5,0.0075,,
0.5360,68,29.5,22.5,0.0075,,
0.5440,69,30.3,22.5,0.0075,,
0.5525,70,31.2,22.5,0.0075,,
0.5600,71,32.0,22.5,0.0075,,
0.5685,72,32.8,22.5,0.0085,,
0.5770,73,33.8,22.5,0.0075,,
0.5855,74,34.6,22.5,0.0075,,
0.5940,75,35.4,22.5,0.0075,,
0.6015,76,36.2,22.5,0.0075,,
0.6100,77,37.0,22.5,0.0085,,
0.6185,78,37.8,22.5,0.0085,,
0.6265,79,38.6,22.5,0.0075,,
0.6350,80,39.4,22.5,0.0075,,
0.6435,81,40.2,22.5,0.0075,,
0.6510,82,40.9,22.5,0.0075,,
0.6595,83,41.7,22.5,0.0085,,
0.6680,84,42.6,22.5,0.0085,,
0.6765,85,43.6,22.5,0.0075,,
0.6850,86,44.3,22.5,0.0075,,
0.6930,87,45.1,22.5,0.0075,,
0.7010,88,46.0,22.5,0.0080,,
0.7090,89,46.8,22.5,0.0080,,
0.7175,90,47.5,22.5,0.0075,,
0.7260,91,48.3,22.5,0.0075,,
0.7345,92,49.2,22.5,0.0075,,
0.7430,93,49.8,22.5,0.0085,,
0.7505,94,50.7,22.5,0.0075,,
0.7590,95,51.6,22.5,0.0085,,
0.7675,96,52.4,22.5,0.0075,,
0.7755,97,53.2,22.5,0.0075,,
0.7840,98,54.2,22.5,0.0075,,
0.7915,99,54.9,22.5,0.0075,,
0.8000,100,55.8,22.5,0.0085,,
0.8085,101,56.6,22.5,0.0085,,
0.8170,102,57.4,22.5,0.0075,,
0.8255,103,58.1,22.5,0.0075,,
0.8340,104,59.0,22.5,0.0075,,
0.8415,105,59.7,22.5,0.0075,,
0.8500,106,60.5,22.5,0.0085,,
0.8585,107,61.3,22.5,0.0075,,
0.8665,108,62.1,22.5,0.0075,,
0.8750,109,63.0,22.5,0.0075,,
0.8835,110,63.8,22.5,0.0085,,
0.8910,111,64.6,22.5,0.0075,,
0.8995,112,65.5,22.5,0.0085,,
0.9080,113,66.4,22.5,0.0075,,
0.9165,114,67.2,22.5,0.0075,,
0.9250,115,68.1,22.5,0.0075,,
0.9330,116,68.9,22.5,0.0080,,
0.9410,117,69.7,22.5,0.0080,,
0.9490,118,70.6,22.5,0.0080,,
0.9575,119,71.5,22.5,0.0075,,
0.9660,120,72.4,22.5,0.0075,,
0.9745,121,73.2,22.5,0.0075,,
0.9820,122,74.0,22.5,0.0075,,
0.9905,123,74.8,22.5,0.0085,,
0.9990,124,75.7,22.5,0.0085,,
1.0075,125,76.6,22.5,0.0075,,
1.0155,126,77.6,22.5,0.0075,,
1.0240,127,78.5,22.5,0.0075,,
1.0315,128,79.2,22.5,0.0075,,
1.0400,129,80.1,22.5,0.0085,,
1.0485,130,81.1,22.5,0.0075,,
1.0570,131,82.1,22.5,0.0075,,
1.0655,132,83.1,22.5,0.0075,,
1.0740,133,84.2,22.5,0.0085,,
1.0815,134,85.2,22.5,0.0075,,
1.0900,135,86.3,22.5,0.0085,,
1.0980,136,87.3,22.5,0.0075,,
1.1065,137,88.4,22.5,0.0075,,
1.1150,138,89.6,22.5,0.0075,,
1.1235,139,90.6,22.5,0.0085,,
1.1310,140,91.7,22.5,0.0075,,
1.1395,141,92.8,22.5,0.0085,,
1.1480,142,93.8,22.5,0.0075,,
1.1565,143,95.1,22.5,0.0075,,
1.1645,144,96.4,22.5,0.0075,,
1.1725,145,97.7,22.5,0.0080,,
1.1805,146,99.0,22.5,0.0080,,
