Task,T1668
Scope 1/1, Sample 1/2 (junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-64.0,21.4,NaN,,
0.0005,1,-64.1,21.4,0.0005,,
0.0025,2,-64.0,21.4,0.0020,,
0.0050,3,-64.1,21.4,0.0025,,
0.0090,4,-64.2,21.4,0.0035,,
0.0150,5,-64.0,21.4,0.0055,,
0.0235,6,-63.6,21.4,0.0075,,
0.0320,7,-63.1,21.4,0.0085,,
0.0395,8,-62.3,21.4,0.0075,,
0.0480,9,-61.4,21.4,0.0085,,
0.0565,10,-60.3,21.4,0.0075,,
0.0645,11,-58.9,21.4,0.0075,,
0.0730,12,-57.7,21.4,0.0075,,
0.0815,13,-56.3,21.4,0.0085,,
0.0890,14,-55.0,21.4,0.0075,,
0.0975,15,-53.5,21.4,0.0085,,
0.1060,16,-51.7,21.4,0.0075,,
0.1145,17,-50.0,21.4,0.0075,,
0.1230,18,-48.4,21.4,0.0075,,
0.1305,19,-46.5,21.4,0.0075,,
0.1390,20,-44.6,21.4,0.0085,,
0.1470,21,-42.4,21.4,0.0080,,
0.1555,22,-39.9,21.4,0.0075,,
0.1640,23,-37.8,21.4,0.0075,,
0.1725,24,-35.4,21.4,0.0075,,
0.1810,25,-32.9,21.4,0.0085,,
0.1885,26,-30.3,21.4,0.0075,,
0.1970,27,-27.3,21.4,0.0085,,
0.2050,28,-24.5,21.4,0.0075,,
0.2135,29,-21.8,21.4,0.0075,,
0.2220,30,-19.0,21.4,0.0075,,
0.2305,31,-16.7,21.4,0.0085,,
0.2380,32,-14.1,21.4,0.0075,,
0.2465,33,-11.8,21.4,0.0085,,
0.2550,34,-9.9,21.4,0.0075,,
0.2635,35,-8.0,21.4,0.0075,,
0.2715,36,-6.1,21.4,0.0075,,
0.2800,37,-4.7,21.4,0.0085,,
0.2875,38,-2.9,21.4,0.0075,,
0.2960,39,-1.6,21.4,0.0085,,
0.3045,40,-0.4,21.4,0.0075,,
0.3130,41,0.9,21.4,0.0075,,
0.3215,42,2.3,21.4,0.0075,,
0.3290,43,3.4,21.4,0.0075,,
0.3375,44,4.8,21.4,0.0085,,
0.3460,45,5.7,21.4,0.0085,,
0.3540,46,6.8,21.4,0.0075,,
0.3625,47,8.1,21.4,0.0075,,
0.3710,48,9.2,21.4,0.0075,,
0.3785,49,10.2,21.4,0.0075,,
0.3870,50,11.1,21.4,0.0085,,
0.3955,51,11.9,21.4,0.0075,,
0.4040,52,13.0,21.4,0.0075,,
0.4120,53,14.1,21.4,0.0075,,
0.4205,54,15.0,21.4,0.0075,,
0.4290,55,16.0,21.4,0.0085,,
0.4365,56,16.7,21.4,0.0075,,
0.4450,57,17.5,21.4,0.0085,,
0.4535,58,18.5,21.4,0.0075,,
0.4620,59,19.4,21.4,0.0075,,
0.4700,60,20.1,21.4,0.0075,,
0.4785,61,21.0,21.4,0.0085,,
0.4860,62,21.7,21.4,0.0075,,
0.4945,63,22.7,21.4,0.0075,,
0.5030,64,23.6,21.4,0.0075,,
0.5115,65,24.4,21.4,0.0075,,
0.5200,66,25.1,21.4,0.0075,,
0.5285,67,26.0,21.4,0.0085,,
0.5360,68,26.8,21.4,0.0075,,
0.5445,69,27.8,21.4,0.0085,,
0.5525,70,28.7,21.4,0.0075,,
0.5610,71,29.4,21.4,0.0075,,
0.5695,72,30.1,21.4,0.0075,,
0.5780,73,31.2,21.4,0.0075,,
0.5855,74,31.9,21.4,0.0075,,
