"SampleID","TA","Mass","Sample.Index"
"junk",2311.03758311713,59.9859,1
"b1r6",2232.44581700462,60.4458,2
"b2r6",2220.31900399434,59.6901,3
"b3r6",2211.44532068835,60.2837,4
"01r6",2211.87780053027,60.064,5
"02r6",2160.90378890206,60.0136,6
"03r6",2189.72835059333,59.894,7
"04r6",2180.9864306136,60.0098,8
"05r6",2150.75918603408,59.7982,9
"06r6",2194.99086885895,60.371,10
"07r6",2186.15593718607,60.0656,11
"08r6",2209.88322645494,60.3413,12
"09r6",2215.59952210837,60.3758,13
"10r6",2188.14542137328,60.0404,14
"11r6",2178.58567126787,60.2063,15
"12r6",2163.58237343156,59.926,16
"b1r7",2209.55135606579,60.1239,17
"b2r7",2210.18512284953,60.0652,18
"b3r7",2218.31319883561,59.6787,19
"01r7",2204.50387293298,60.2569,20
"02r7",2143.56559187494,60.3358,21
"03r7",2227.47465507122,59.6594,22
"04r7",2215.58896358722,59.6878,23
"05r7",2180.99394543234,59.5717,24
"06r7",2084.10055940292,60.0463,25
"07r7",2193.43936440796,60.3329,26
"08r7",2185.37491645845,59.7618,27
"09r7",2215.3729157443,59.8474,28
"10r7",2146.32458804567,59.6909,29
"11r7",2176.74763754657,59.7255,30
"12r7",2221.2331615674,59.6669,31
"b1r8",2215.11562389151,60.0609,32
"b2r8",2211.78025896789,60.4423,33
"b3r8",2203.00147427158,60.0947,34
"01r8",2170.31030827814,60.4175,35
"02r8",2191.85348008901,60.1256,36
"03r8",2209.4798192712,60.397,37
"04r8",2120.30544564801,60.1479,38
"05r8",2170.88771199531,59.9116,39
"06r8",2152.84565158065,59.7923,40
"07r8",2189.63988530338,60.3857,41
"08r8",2163.35044613418,60.391,42
"09r8",2170.31243621993,60.0661,43
"10r8",2218.11795249166,60.3322,44
"11r8",2161.95516052319,60.2282,45
"12r8",2182.35092278919,60.0793,46
