Task,T1385
Scope 1/1, Sample 1/2 (junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-81.2,20.1,NaN,,
0.0010,1,-81.2,20.2,0.0010,,
0.0025,2,-81.3,20.2,0.0015,,
0.0050,3,-81.3,20.1,0.0025,,
0.0090,4,-81.3,20.2,0.0035,,
0.0150,5,-81.1,20.2,0.0055,,
0.0235,6,-80.8,20.2,0.0075,,
0.0320,7,-80.3,20.2,0.0075,,
0.0405,8,-79.6,20.2,0.0075,,
0.0480,9,-79.0,20.2,0.0070,,
0.0565,10,-78.2,20.2,0.0075,,
0.0650,11,-77.5,20.2,0.0075,,
0.0735,12,-76.7,20.2,0.0075,,
0.0815,13,-75.7,20.2,0.0075,,
0.0900,14,-74.8,20.2,0.0075,,
0.0975,15,-74.1,20.2,0.0070,,
0.1060,16,-73.1,20.2,0.0075,,
0.1145,17,-72.0,20.2,0.0075,,
0.1230,18,-71.0,20.2,0.0075,,
0.1315,19,-69.9,20.2,0.0075,,
0.1400,20,-69.0,20.2,0.0085,,
0.1475,21,-67.9,20.2,0.0070,,
0.1560,22,-66.7,20.2,0.0075,,
0.1640,23,-65.6,20.2,0.0075,,
0.1725,24,-64.4,20.2,0.0075,,
0.1810,25,-63.1,20.2,0.0075,,
0.1885,26,-61.9,20.2,0.0075,,
0.1970,27,-60.6,20.2,0.0075,,
0.2055,28,-59.2,20.2,0.0075,,
0.2140,29,-57.6,20.2,0.0075,,
0.2225,30,-56.0,20.2,0.0075,,
0.2305,31,-54.4,20.2,0.0075,,
0.2385,32,-52.9,20.2,0.0075,,
0.2465,33,-51.1,20.2,0.0075,,
0.2550,34,-49.1,20.2,0.0075,,
0.2635,35,-47.1,20.2,0.0075,,
0.2720,36,-45.0,20.2,0.0075,,
0.2805,37,-42.9,20.2,0.0075,,
0.2880,38,-40.7,20.2,0.0070,,
0.2965,39,-38.2,20.2,0.0075,,
0.3050,40,-35.6,20.2,0.0075,,
0.3130,41,-33.0,20.2,0.0075,,
0.3215,42,-30.2,20.2,0.0075,,
0.3300,43,-27.6,20.2,0.0085,,
0.3375,44,-24.7,20.2,0.0070,,
0.3460,45,-21.8,20.2,0.0075,,
0.3545,46,-19.1,20.2,0.0075,,
0.3630,47,-16.4,20.2,0.0075,,
0.3715,48,-13.9,20.2,0.0075,,
0.3790,49,-11.8,20.2,0.0075,,
0.3875,50,-9.8,20.2,0.0075,,
0.3955,51,-7.8,20.2,0.0075,,
0.4040,52,-5.9,20.2,0.0075,,
0.4125,53,-4.2,20.2,0.0075,,
0.4210,54,-2.6,20.2,0.0075,,
0.4285,55,-1.3,20.2,0.0070,,
0.4370,56,0.1,20.2,0.0075,,
0.4455,57,1.4,20.2,0.0075,,
0.4540,58,2.9,20.2,0.0075,,
0.4620,59,4.3,20.2,0.0075,,
0.4705,60,5.5,20.2,0.0075,,
0.4780,61,6.4,20.2,0.0070,,
0.4865,62,7.4,20.2,0.0075,,
0.4950,63,8.5,20.2,0.0075,,
0.5035,64,9.5,20.2,0.0075,,
0.5120,65,10.6,20.2,0.0075,,
0.5205,66,11.5,20.2,0.0085,,
0.5280,67,12.4,20.2,0.0070,,
0.5365,68,13.4,20.2,0.0075,,
0.5445,69,14.4,20.2,0.0075,,
0.5530,70,15.3,20.2,0.0075,,
0.5615,71,16.2,20.2,0.0075,,
0.5690,72,16.9,20.2,0.0075,,
0.5775,73,17.7,20.2,0.0075,,
0.5860,74,18.5,20.2,0.0075,,
0.5945,75,19.3,20.2,0.0075,,
0.6030,76,20.1,20.2,0.0075,,
0.6110,77,20.8,20.2,0.0075,,
0.6190,78,21.5,20.2,0.0080,,
0.6270,79,22.3,20.2,0.0075,,
0.6355,80,23.1,20.2,0.0075,,
0.6440,81,23.8,20.2,0.0075,,
0.6525,82,24.6,20.2,0.0075,,
0.6610,83,25.3,20.2,0.0075,,
0.6685,84,25.9,20.2,0.0070,,
0.6770,85,26.7,20.2,0.0075,,
0.6855,86,27.3,20.2,0.0075,,
0.6935,87,28.2,20.2,0.0075,,
0.7020,88,28.9,20.2,0.0075,,
0.7105,89,29.6,20.2,0.0075,,
0.7180,90,30.2,20.2,0.0070,,
0.7265,91,31.0,20.2,0.0075,,
0.7350,92,31.7,20.2,0.0075,,
0.7435,93,32.4,20.2,0.0075,,
0.7515,94,33.1,20.2,0.0075,,
0.7600,95,33.8,20.2,0.0075,,
0.7675,96,34.4,20.2,0.0070,,
0.7760,97,35.2,20.2,0.0075,,
0.7845,98,36.0,20.2,0.0075,,
0.7930,99,36.6,20.2,0.0075,,
0.8015,100,37.3,20.2,0.0075,,
0.8100,101,38.0,20.2,0.0075,,
0.8175,102,38.7,20.2,0.0070,,
0.8260,103,39.3,20.2,0.0075,,
0.8340,104,40.0,20.2,0.0075,,
0.8425,105,40.6,20.2,0.0075,,
0.8510,106,41.3,20.2,0.0075,,
0.8585,107,41.9,20.2,0.0075,,
0.8670,108,42.5,20.2,0.0075,,
