Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,Junk,8/17/2022 6:18:31 PM,OK,Unchecked,0,,25.0,°C,,2.564,mL,,59.951,g,,59.9508,g,,1.0,g/mL
2,TNK-2,8/17/2022 6:29:34 PM,OK,Unchecked,0,,25.0,°C,,2.477,mL,,59.923,g,,59.9232,g,,1.0,g/mL
3,TNK-3,8/17/2022 6:40:14 PM,OK,Unchecked,0,,25.0,°C,,2.435,mL,,60.112,g,,60.1115,g,,1.0,g/mL
4,TNK-4,8/17/2022 6:50:53 PM,OK,Unchecked,0,,25.0,°C,,2.490,mL,,59.926,g,,59.9255,g,,1.0,g/mL
5,TNK-5,8/17/2022 7:01:36 PM,OK,Unchecked,0,,25.0,°C,,2.446,mL,,59.928,g,,59.9281,g,,1.0,g/mL
6,TNK-6,8/17/2022 7:12:14 PM,OK,Unchecked,0,,25.0,°C,,2.448,mL,,60.378,g,,60.3778,g,,1.0,g/mL
7,TNK-7,8/17/2022 7:22:53 PM,OK,Unchecked,0,,25.0,°C,,2.444,mL,,60.418,g,,60.4182,g,,1.0,g/mL
8,TNK-8,8/17/2022 7:33:32 PM,OK,Unchecked,0,,25.0,°C,,2.416,mL,,60.244,g,,60.2438,g,,1.0,g/mL
9,TNK-9,8/17/2022 7:44:09 PM,OK,Unchecked,0,,25.0,°C,,2.440,mL,,60.417,g,,60.4172,g,,1.0,g/mL
10,TNK-10,8/17/2022 7:54:47 PM,OK,Unchecked,0,,25.0,°C,,2.420,mL,,59.997,g,,59.9971,g,,1.0,g/mL
11,TNK-11,8/17/2022 8:05:22 PM,OK,Unchecked,0,,25.0,°C,,2.411,mL,,60.236,g,,60.2361,g,,1.0,g/mL
12,TNK-12,8/17/2022 8:15:56 PM,OK,Unchecked,0,,25.0,°C,,2.420,mL,,60.210,g,,60.2103,g,,1.0,g/mL
13,TNK-13,8/17/2022 8:26:32 PM,OK,Unchecked,0,,25.0,°C,,2.390,mL,,59.999,g,,59.9986,g,,1.0,g/mL
14,TNK-14,8/17/2022 8:37:04 PM,OK,Unchecked,0,,25.0,°C,,2.432,mL,,60.112,g,,60.1120,g,,1.0,g/mL
15,TNK-15,8/17/2022 8:47:41 PM,OK,Unchecked,0,,25.0,°C,,2.392,mL,,59.690,g,,59.6902,g,,1.0,g/mL
16,TNK-16,8/17/2022 8:58:13 PM,OK,Unchecked,0,,25.0,°C,,2.425,mL,,60.416,g,,60.4163,g,,1.0,g/mL
17,TNK-18,8/17/2022 9:08:49 PM,OK,Unchecked,0,,25.0,°C,,2.408,mL,,60.087,g,,60.0874,g,,1.0,g/mL
18,TNK-SUMP,8/17/2022 9:19:25 PM,OK,Unchecked,0,,25.0,°C,,2.394,mL,,60.637,g,,60.6368,g,,1.0,g/mL
19,CRM,8/17/2022 9:29:57 PM,OK,Unchecked,0,,25.0,°C,,2.366,mL,,60.072,g,,60.0724,g,,1.0,g/mL
SystemInternal8/17/2022 9:56:11 PM,,,,,,,,,,,,,,,,,,1/1,,
