"SampleID","TA","Mass","Sample.Index","TA_evap"
"Junk",2380.19383669593,59.9508,1,2380.19383669593
"TNK-2",2295.85838883838,59.9232,2,2294.54721899895
"TNK-3",2257.31550880304,60.1115,3,2254.73866461491
"TNK-4",2365.70703174326,59.9255,4,2361.65847435864
"TNK-5",2303.44318752073,59.9281,5,2298.19018139184
"TNK-6",2292.59194101709,60.3778,6,2286.06034004553
"TNK-7",2296.17185028237,60.4182,7,2288.32616058892
"TNK-8",2254.77409228404,60.2438,8,2245.79092856977
"TNK-9",2280.98087955248,60.4172,9,2270.60098931561
"TNK-10",2284.82225005071,59.9971,10,2273.13185763999
"TNK-11",2271.72047974074,60.2361,11,2258.81297701494
"TNK-12",2284.84505247732,60.2103,12,2270.5728800882
"TNK-13",2248.39354727234,59.9986,13,2233.08099189932
"TNK-14",2294.0192836439,60.112,14,2277.10365648146
"TNK-15",2257.36331189182,59.6902,15,2239.44773005141
"TNK-16",2280.20319399051,60.4163,16,2260.82469659116
"TNK-18",2272.10671598968,60.0874,17,2251.52137767947
"TNK-SUMP",2214.98437571314,60.6368,18,2193.67439586757
"CRM",2200.83556986791,60.0724,19,2178.42887288961
