Task,T3929
Scope 1/1, Sample 1/4 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-60.9,22.2,NaN,,
0.0010,1,-62.0,22.2,0.0010,,
0.0025,2,-62.1,22.2,0.0015,,
0.0050,3,-62.3,22.2,0.0025,,
0.0090,4,-62.4,22.2,0.0035,,
0.0150,5,-62.6,22.2,0.0055,,
0.0235,6,-62.6,22.2,0.0075,,
0.0320,7,-62.7,22.2,0.0075,,
0.0405,8,-62.7,22.2,0.0075,,
0.0480,9,-62.6,22.2,0.0075,,
0.0565,10,-62.5,22.2,0.0075,,
0.0650,11,-62.3,22.2,0.0075,,
0.0730,12,-62.0,22.2,0.0075,,
0.0815,13,-61.7,22.2,0.0075,,
0.0900,14,-61.3,22.2,0.0075,,
0.0985,15,-60.9,22.2,0.0085,,
0.1060,16,-60.4,22.2,0.0070,,
0.1145,17,-59.9,22.2,0.0075,,
0.1230,18,-59.2,22.2,0.0075,,
0.1315,19,-58.6,22.2,0.0075,,
0.1400,20,-57.9,22.2,0.0075,,
0.1480,21,-57.2,22.2,0.0075,,
0.1560,22,-56.6,22.2,0.0075,,
0.1640,23,-55.9,22.2,0.0075,,
0.1725,24,-55.1,22.2,0.0075,,
0.1810,25,-54.3,22.2,0.0075,,
0.1895,26,-53.4,22.2,0.0075,,
0.1980,27,-52.5,22.2,0.0075,,
0.2055,28,-51.7,22.2,0.0075,,
0.2140,29,-50.8,22.2,0.0075,,
0.2225,30,-49.9,22.2,0.0075,,
0.2305,31,-49.0,22.2,0.0075,,
0.2390,32,-48.1,22.2,0.0075,,
0.2475,33,-47.2,22.2,0.0075,,
0.2550,34,-46.3,22.2,0.0075,,
0.2635,35,-45.4,22.2,0.0075,,
0.2720,36,-44.6,22.2,0.0075,,
0.2805,37,-43.7,22.2,0.0075,,
0.2890,38,-42.9,22.2,0.0075,,
0.2975,39,-42.1,22.2,0.0075,,
0.3050,40,-41.4,22.2,0.0075,,
0.3135,41,-40.7,22.2,0.0075,,
0.3220,42,-39.9,22.2,0.0075,,
0.3300,43,-39.2,22.2,0.0075,,
0.3385,44,-38.5,22.2,0.0075,,
0.3470,45,-37.8,22.2,0.0075,,
0.3545,46,-37.2,22.2,0.0075,,
0.3630,47,-36.5,22.2,0.0075,,
0.3715,48,-35.8,22.2,0.0075,,
0.3800,49,-35.1,22.2,0.0075,,
0.3885,50,-34.5,22.2,0.0075,,
0.3970,51,-33.9,22.2,0.0075,,
0.4045,52,-33.3,22.2,0.0075,,
0.4130,53,-32.7,22.2,0.0075,,
0.4210,54,-32.1,22.2,0.0075,,
0.4295,55,-31.4,22.2,0.0075,,
0.4380,56,-30.8,22.2,0.0075,,
0.4465,57,-30.2,22.2,0.0070,,
0.4540,58,-29.7,22.2,0.0075,,
0.4625,59,-29.1,22.2,0.0075,,
0.4710,60,-28.5,22.2,0.0075,,
0.4795,61,-27.9,22.2,0.0075,,
0.4880,62,-27.3,22.2,0.0075,,
0.4960,63,-26.8,22.2,0.0075,,
0.5040,64,-26.3,22.2,0.0080,,
0.5120,65,-25.7,22.2,0.0075,,
