Task,T4023
Scope 1/1, Sample 1/19 (Junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-66.6,22.9,NaN,,
0.0010,1,-66.9,22.9,0.0010,,
0.0025,2,-67.0,22.9,0.0015,,
0.0050,3,-67.1,22.9,0.0020,,
0.0090,4,-67.2,22.9,0.0035,,
0.0150,5,-67.3,22.9,0.0055,,
0.0235,6,-67.3,22.9,0.0075,,
0.0320,7,-67.3,22.9,0.0075,,
0.0405,8,-67.2,22.9,0.0075,,
0.0490,9,-67.0,22.9,0.0075,,
0.0565,10,-66.8,22.9,0.0070,,
0.0650,11,-66.5,22.9,0.0075,,
0.0735,12,-66.1,22.9,0.0075,,
0.0820,13,-65.7,22.9,0.0075,,
0.0905,14,-65.2,22.9,0.0075,,
0.0980,15,-64.8,22.9,0.0070,,
0.1065,16,-64.2,22.9,0.0075,,
0.1150,17,-63.6,22.9,0.0075,,
0.1230,18,-62.9,22.9,0.0075,,
0.1315,19,-62.2,22.9,0.0075,,
0.1400,20,-61.5,22.9,0.0070,,
0.1475,21,-60.8,22.9,0.0070,,
0.1560,22,-60.0,22.9,0.0075,,
0.1645,23,-59.1,22.9,0.0075,,
0.1730,24,-58.2,22.9,0.0075,,
0.1815,25,-57.3,22.9,0.0075,,
0.1900,26,-56.5,22.9,0.0075,,
0.1975,27,-55.6,22.9,0.0070,,
0.2060,28,-54.6,22.9,0.0075,,
0.2145,29,-53.6,22.9,0.0075,,
0.2225,30,-52.7,22.9,0.0075,,
0.2310,31,-51.6,22.9,0.0075,,
0.2395,32,-50.8,22.9,0.0075,,
0.2470,33,-49.7,22.9,0.0070,,
0.2555,34,-48.7,22.9,0.0075,,
0.2640,35,-47.7,22.9,0.0075,,
0.2725,36,-46.8,22.9,0.0075,,
0.2810,37,-45.8,22.9,0.0075,,
0.2885,38,-45.0,22.9,0.0070,,
0.2970,39,-44.1,22.9,0.0075,,
0.3055,40,-43.2,22.9,0.0075,,
0.3140,41,-42.4,22.9,0.0075,,
0.3220,42,-41.6,22.9,0.0075,,
0.3305,43,-40.8,22.9,0.0075,,
0.3380,44,-40.1,22.9,0.0070,,
0.3465,45,-39.3,22.9,0.0075,,
0.3550,46,-38.6,22.9,0.0075,,
0.3635,47,-37.8,22.9,0.0075,,
0.3720,48,-37.1,22.9,0.0075,,
0.3805,49,-36.4,22.9,0.0070,,
0.3880,50,-35.8,22.9,0.0070,,
0.3965,51,-35.1,22.9,0.0075,,
0.4050,52,-34.5,22.9,0.0075,,
0.4135,53,-33.8,22.9,0.0075,,
0.4215,54,-33.2,22.9,0.0075,,
0.4300,55,-32.5,22.9,0.0070,,
0.4380,56,-31.9,22.9,0.0075,,
0.4460,57,-31.3,22.9,0.0075,,
0.4545,58,-30.7,22.9,0.0075,,
0.4630,59,-30.0,22.9,0.0075,,
0.4715,60,-29.5,22.9,0.0075,,
0.4800,61,-29.0,22.9,0.0075,,
0.4875,62,-28.3,22.9,0.0070,,
0.4960,63,-27.8,22.9,0.0075,,
0.5045,64,-27.2,22.9,0.0075,,
0.5130,65,-26.6,22.9,0.0075,,
0.5215,66,-26.1,22.9,0.0075,,
0.5290,67,-25.6,22.9,0.0070,,
0.5375,68,-25.0,22.9,0.0075,,
0.5455,69,-24.5,22.9,0.0075,,
0.5540,70,-23.9,22.9,0.0075,,
0.5625,71,-23.4,22.9,0.0075,,
0.5710,72,-22.9,22.9,0.0070,,
0.5785,73,-22.4,22.9,0.0070,,
0.5870,74,-21.9,22.9,0.0075,,
0.5955,75,-21.3,22.9,0.0075,,
0.6040,76,-20.9,22.9,0.0075,,
0.6125,77,-20.3,22.9,0.0075,,
0.6200,78,-19.9,22.9,0.0070,,
0.6285,79,-19.4,22.9,0.0075,,
0.6370,80,-18.8,22.9,0.0075,,
0.6455,81,-18.3,22.9,0.0075,,
0.6535,82,-17.8,22.9,0.0075,,
0.6620,83,-17.3,22.9,0.0075,,
0.6695,84,-16.8,22.9,0.0070,,
0.6780,85,-16.3,22.9,0.0075,,
0.6865,86,-15.8,22.9,0.0075,,
0.6950,87,-15.3,22.9,0.0075,,
0.7035,88,-14.8,22.9,0.0075,,
0.7120,89,-14.3,22.9,0.0075,,
0.7195,90,-13.9,22.9,0.0070,,
0.7280,91,-13.3,22.9,0.0075,,
0.7365,92,-12.8,22.9,0.0075,,
0.7450,93,-12.4,22.9,0.0075,,
0.7530,94,-11.8,22.9,0.0075,,
0.7615,95,-11.4,22.9,0.0075,,
0.7690,96,-10.9,22.9,0.0070,,
0.7775,97,-10.4,22.9,0.0075,,
0.7860,98,-9.9,22.9,0.0075,,
0.7945,99,-9.4,22.9,0.0075,,
0.8030,100,-8.9,22.9,0.0075,,
0.8105,101,-8.5,22.9,0.0070,,
0.8190,102,-8.1,23.0,0.0075,,
0.8275,103,-7.6,23.0,0.0075,,
0.8360,104,-7.1,23.0,0.0075,,
0.8445,105,-6.6,22.9,0.0075,,
0.8525,106,-6.1,23.0,0.0075,,
0.8605,107,-5.7,23.0,0.0075,,
0.8690,108,-5.1,22.9,0.0075,,
0.8770,109,-4.6,23.0,0.0075,,
0.8855,110,-3.9,23.0,0.0075,,
0.8940,111,-3.4,23.0,0.0075,,
0.9025,112,-2.8,23.0,0.0075,,
0.9100,113,-2.2,23.0,0.0070,,
0.9185,114,-1.6,23.0,0.0075,,
0.9270,115,-1.0,23.0,0.0075,,
0.9355,116,-0.4,23.0,0.0075,,
0.9440,117,0.2,23.0,0.0075,,
0.9520,118,0.3,23.0,0.0075,,
0.9600,119,0.4,23.0,0.0075,,
0.9680,120,0.9,23.0,0.0075,,
0.9765,121,1.5,23.0,0.0075,,
0.9850,122,2.2,23.0,0.0075,,
0.9935,123,3.1,23.0,0.0075,,
1.0020,124,3.7,23.0,0.0075,,
1.0095,125,3.9,23.0,0.0070,,
1.0180,126,4.6,23.0,0.0075,,
1.0265,127,5.2,23.0,0.0075,,
1.0350,128,5.6,23.0,0.0075,,
1.0435,129,6.2,23.0,0.0075,,
1.0515,130,6.6,23.0,0.0075,,
1.0595,131,7.2,23.0,0.0075,,
1.0675,132,7.7,23.0,0.0075,,
1.0760,133,8.4,23.0,0.0075,,
1.0845,134,9.1,23.0,0.0075,,
1.0930,135,9.9,23.0,0.0075,,
1.1005,136,10.6,23.0,0.0070,,
1.1090,137,11.4,23.0,0.0075,,
1.1175,138,12.2,23.0,0.0075,,
1.1260,139,12.9,23.0,0.0075,,
1.1345,140,13.7,23.0,0.0075,,
1.1430,141,14.4,23.0,0.0075,,
1.1505,142,15.2,23.0,0.0070,,
1.1590,143,16.0,23.0,0.0075,,
1.1670,144,16.8,23.0,0.0075,,
1.1755,145,17.6,23.0,0.0075,,
1.1840,146,18.5,23.0,0.0075,,
1.1925,147,19.3,23.0,0.0070,,
1.2000,148,20.1,23.0,0.0070,,
1.2085,149,21.1,23.0,0.0075,,
1.2170,150,22.0,23.0,0.0075,,
1.2255,151,23.0,23.0,0.0075,,
1.2340,152,24.0,23.0,0.0075,,
1.2425,153,25.0,23.0,0.0075,,
1.2500,154,26.1,23.0,0.0070,,
1.2585,155,27.3,23.0,0.0075,,
1.2670,156,28.5,23.0,0.0075,,
1.2750,157,29.8,23.0,0.0075,,
1.2835,158,31.2,23.0,0.0075,,
1.2910,159,32.7,23.0,0.0070,,
1.2995,160,34.2,23.0,0.0075,,
1.3080,161,35.9,23.0,0.0075,,
1.3165,162,37.7,23.0,0.0075,,
1.3250,163,39.7,23.0,0.0075,,
1.3335,164,41.8,23.0,0.0070,,
1.3410,165,43.9,23.0,0.0070,,
1.3495,166,46.4,23.0,0.0075,,
1.3580,167,49.1,23.0,0.0075,,
1.3665,168,52.1,23.0,0.0075,,
1.3745,169,55.6,23.0,0.0075,,
1.3830,170,59.5,23.0,0.0070,,
1.3905,171,63.5,23.0,0.0070,,
1.3990,172,68.2,23.0,0.0075,,
1.4075,173,73.2,23.0,0.0075,,
1.4160,174,78.7,23.0,0.0075,,
1.4245,175,84.8,23.0,0.0075,,
1.4330,176,91.8,23.0,0.0070,,
1.4405,177,98.4,23.0,0.0070,,
1.4490,178,106.0,23.0,0.0075,,
1.4575,179,113.5,23.0,0.0075,,
1.4660,180,120.9,23.0,0.0075,,
1.4740,181,129.2,23.0,0.0075,,
1.4820,182,136.3,23.0,0.0075,,
1.4905,183,144.0,23.0,0.0075,,
1.4985,184,151.1,23.0,0.0075,,
1.5070,185,157.9,23.0,0.0075,,
1.5155,186,163.7,23.0,0.0075,,
1.5240,187,169.0,23.0,0.0070,,
1.5315,188,173.3,23.0,0.0070,,
1.5400,189,177.6,23.0,0.0075,,
1.5485,190,181.1,23.0,0.0075,,
1.5570,191,184.1,23.0,0.0075,,
1.5625,192,185.1,23.0,0.0070,,
1.5625,432,192.2,23.1,0.0000,,
1.5630,433,192.2,23.1,0.0005,,
1.5645,434,192.2,23.1,0.0015,,
1.5670,435,192.2,23.1,0.0030,,
1.5710,436,192.3,23.1,0.0040,,
1.5770,437,192.5,23.1,0.0060,,
1.5855,438,192.9,23.1,0.0085,,
1.5930,439,193.5,23.1,0.0085,,
1.6015,440,194.4,23.1,0.0095,,
1.6100,441,195.2,23.1,0.0085,,
1.6185,442,196.1,23.1,0.0085,,
1.6270,443,197.1,23.1,0.0085,,
1.6350,444,197.9,23.1,0.0080,,
1.6430,445,198.6,23.1,0.0090,,
1.6510,446,199.4,23.1,0.0090,,
1.6595,447,200.1,23.1,0.0085,,
1.6680,448,201.0,23.1,0.0085,,
1.6765,449,201.7,23.1,0.0085,,
1.6840,450,202.3,23.1,0.0085,,
1.6925,451,203.0,23.1,0.0095,,
1.7010,452,203.8,23.1,0.0095,,
1.7095,453,204.4,23.1,0.0085,,
1.7180,454,205.0,23.1,0.0085,,
1.7265,455,205.7,23.1,0.0085,,
