Task,T5952
Scope 1/1, Sample 1/31 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-51.9,20.6,NaN,,
0.0005,1,-52.1,20.6,0.0005,,
0.0025,2,-52.2,20.6,0.0020,,
0.0050,3,-52.2,20.6,0.0025,,
0.0090,4,-52.2,20.6,0.0035,,
0.0150,5,-52.2,20.6,0.0055,,
0.0235,6,-52.1,20.6,0.0075,,
0.0315,7,-51.9,20.6,0.0080,,
0.0395,8,-51.4,20.6,0.0080,,
0.0480,9,-50.8,20.6,0.0075,,
0.0565,10,-50.1,20.6,0.0075,,
0.0650,11,-49.1,20.6,0.0075,,
0.0735,12,-48.4,20.6,0.0085,,
0.0810,13,-47.3,20.6,0.0075,,
0.0895,14,-46.2,20.6,0.0085,,
0.0980,15,-45.0,20.6,0.0075,,
0.1065,16,-43.8,20.6,0.0075,,
0.1150,17,-42.6,20.6,0.0075,,
0.1225,18,-41.4,20.6,0.0075,,
0.1310,19,-40.1,20.6,0.0085,,
0.1390,20,-38.8,20.6,0.0080,,
0.1475,21,-37.3,20.6,0.0075,,
0.1560,22,-35.9,20.6,0.0075,,
0.1645,23,-34.5,20.6,0.0075,,
0.1720,24,-33.1,20.6,0.0075,,
0.1805,25,-31.7,20.6,0.0085,,
0.1890,26,-30.4,20.6,0.0075,,
0.1975,27,-28.9,20.6,0.0075,,
0.2060,28,-27.5,20.6,0.0075,,
0.2145,29,-26.3,20.6,0.0075,,
0.2220,30,-25.0,20.6,0.0075,,
0.2305,31,-23.7,20.6,0.0085,,
0.2385,32,-22.4,20.6,0.0075,,
0.2470,33,-21.3,20.6,0.0075,,
0.2555,34,-19.9,20.6,0.0075,,
0.2640,35,-18.8,20.6,0.0075,,
0.2715,36,-17.7,20.6,0.0075,,
0.2800,37,-16.6,20.6,0.0085,,
0.2885,38,-15.4,20.6,0.0075,,
0.2970,39,-14.2,20.6,0.0075,,
0.3055,40,-13.2,20.6,0.0075,,
0.3135,41,-12.1,20.6,0.0075,,
0.3215,42,-11.2,20.6,0.0080,,
0.3295,43,-10.1,20.6,0.0080,,
0.3380,44,-8.9,20.6,0.0075,,
0.3465,45,-7.9,20.6,0.0075,,
0.3550,46,-6.9,20.6,0.0075,,
0.3635,47,-6.1,20.6,0.0085,,
0.3710,48,-4.9,20.6,0.0075,,
0.3795,49,-3.8,20.6,0.0075,,
0.3880,50,-2.8,20.6,0.0075,,
0.3965,51,-1.8,20.6,0.0075,,
0.4050,52,-0.7,20.6,0.0075,,
0.4125,53,0.5,20.6,0.0075,,
0.4210,54,0.6,20.6,0.0085,,
0.4295,55,1.5,20.6,0.0085,,
0.4375,56,2.8,20.6,0.0075,,
0.4460,57,4.2,20.6,0.0075,,
0.4545,58,4.7,20.6,0.0075,,
0.4620,59,5.5,20.6,0.0075,,
0.4705,60,6.1,20.6,0.0085,,
0.4790,61,6.9,20.6,0.0075,,
0.4875,62,7.7,20.6,0.0075,,
0.4960,63,8.6,20.6,0.0075,,
0.5045,64,9.7,20.6,0.0075,,
0.5120,65,10.5,20.6,0.0075,,
0.5205,66,11.6,20.6,0.0085,,
0.5290,67,12.6,20.6,0.0075,,
0.5370,68,13.6,20.6,0.0075,,
0.5455,69,14.5,20.6,0.0075,,
0.5540,70,15.4,20.6,0.0075,,
0.5615,71,16.2,20.6,0.0075,,
0.5700,72,17.0,20.6,0.0085,,
0.5785,73,17.9,20.6,0.0075,,
0.5870,74,18.8,20.6,0.0075,,
0.5955,75,19.7,20.6,0.0075,,
0.6040,76,20.6,20.6,0.0085,,
0.6115,77,21.5,20.6,0.0075,,
0.6200,78,22.3,20.6,0.0085,,
0.6285,79,23.2,20.6,0.0075,,
0.6365,80,24.3,20.6,0.0075,,
0.6450,81,25.1,20.6,0.0075,,
0.6535,82,25.9,20.6,0.0085,,
0.6610,83,26.7,20.6,0.0075,,
0.6695,84,27.4,20.6,0.0075,,
0.6780,85,28.3,20.6,0.0075,,
0.6865,86,29.1,20.6,0.0075,,
0.6950,87,30.0,20.6,0.0075,,
0.7025,88,30.8,20.6,0.0075,,
0.7110,89,31.7,20.6,0.0085,,
0.7195,90,32.6,20.6,0.0075,,
0.7280,91,33.5,20.6,0.0075,,
0.7360,92,34.4,20.6,0.0075,,
0.7445,93,35.4,20.6,0.0075,,
0.7525,94,36.1,20.6,0.0080,,
0.7605,95,37.2,20.6,0.0080,,
0.7690,96,38.0,20.6,0.0075,,
0.7775,97,39.0,20.6,0.0075,,
0.7860,98,39.8,20.6,0.0075,,
0.7945,99,40.7,20.6,0.0075,,
0.8020,100,41.4,20.6,0.0075,,
0.8105,101,42.4,20.6,0.0085,,
0.8190,102,43.4,20.6,0.0075,,
