Task,T5997
Scope 1/1, Sample 1/26 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-60.0,20.2,NaN,,
0.0005,1,-60.1,20.2,0.0005,,
0.0025,2,-60.1,20.2,0.0020,,
0.0050,3,-60.2,20.2,0.0025,,
0.0085,4,-60.3,20.2,0.0030,,
0.0150,5,-60.4,20.2,0.0060,,
0.0230,6,-60.4,20.2,0.0075,,
0.0305,7,-60.2,20.2,0.0075,,
0.0390,8,-59.9,20.2,0.0085,,
0.0475,9,-59.4,20.2,0.0075,,
0.0560,10,-58.8,20.2,0.0075,,
0.0645,11,-58.2,20.2,0.0075,,
0.0730,12,-57.4,20.2,0.0075,,
0.0805,13,-56.7,20.2,0.0075,,
0.0890,14,-55.8,20.2,0.0085,,
0.0975,15,-54.9,20.2,0.0075,,
0.1055,16,-54.0,20.2,0.0075,,
0.1140,17,-52.9,20.2,0.0075,,
0.1225,18,-51.8,20.2,0.0075,,
0.1300,19,-50.9,20.2,0.0075,,
0.1385,20,-49.8,20.2,0.0085,,
0.1470,21,-48.5,20.2,0.0075,,
0.1555,22,-47.3,20.2,0.0075,,
0.1640,23,-46.0,20.2,0.0075,,
0.1725,24,-45.0,20.2,0.0085,,
0.1800,25,-43.7,20.2,0.0075,,
0.1885,26,-42.4,20.2,0.0085,,
0.1970,27,-41.1,20.2,0.0075,,
0.2055,28,-39.8,20.2,0.0075,,
0.2135,29,-38.5,20.2,0.0075,,
0.2220,30,-37.3,20.2,0.0085,,
0.2295,31,-36.1,20.2,0.0075,,
0.2380,32,-34.9,20.2,0.0085,,
0.2465,33,-33.8,20.2,0.0075,,
0.2550,34,-32.6,20.2,0.0075,,
0.2635,35,-31.5,20.2,0.0075,,
0.2710,36,-30.5,20.2,0.0075,,
0.2795,37,-29.3,20.2,0.0085,,
0.2880,38,-28.2,20.2,0.0075,,
0.2965,39,-27.1,20.2,0.0075,,
0.3050,40,-25.9,20.2,0.0075,,
0.3130,41,-24.7,20.2,0.0075,,
0.3210,42,-23.7,20.2,0.0080,,
0.3295,43,-22.4,20.2,0.0085,,
0.3375,44,-21.3,20.2,0.0075,,
0.3460,45,-20.3,20.2,0.0075,,
0.3545,46,-19.3,20.2,0.0075,,
0.3620,47,-18.3,20.2,0.0075,,
0.3705,48,-17.3,20.2,0.0085,,
0.3790,49,-16.3,20.2,0.0075,,
0.3875,50,-15.2,20.2,0.0075,,
0.3960,51,-14.1,20.2,0.0075,,
0.4045,52,-13.1,20.2,0.0075,,
0.4120,53,-12.1,20.2,0.0075,,
0.4205,54,-11.1,20.2,0.0085,,
0.4290,55,-10.1,20.2,0.0075,,
0.4370,56,-9.0,20.2,0.0075,,
0.4455,57,-7.9,20.2,0.0075,,
0.4540,58,-6.9,20.2,0.0075,,
0.4615,59,-6.0,20.2,0.0075,,
0.4700,60,-5.0,20.2,0.0085,,
0.4785,61,-3.9,20.2,0.0075,,
0.4870,62,-2.9,20.2,0.0075,,
0.4955,63,-1.9,20.2,0.0075,,
0.5040,64,-0.9,20.2,0.0085,,
0.5115,65,0.2,20.2,0.0075,,
0.5200,66,0.7,20.2,0.0085,,
0.5285,67,1.1,20.2,0.0075,,
0.5370,68,2.1,20.2,0.0075,,
0.5450,69,3.7,20.2,0.0075,,
0.5530,70,4.1,20.2,0.0080,,
0.5610,71,5.1,20.2,0.0080,,
0.5695,72,5.9,20.2,0.0075,,
0.5780,73,6.7,20.2,0.0075,,
0.5865,74,7.6,20.2,0.0075,,
0.5950,75,8.7,20.2,0.0075,,
0.6025,76,9.6,20.2,0.0075,,
0.6110,77,10.7,20.2,0.0085,,
0.6195,78,11.6,20.2,0.0075,,
0.6280,79,12.5,20.2,0.0075,,
0.6365,80,13.6,20.2,0.0075,,
0.6445,81,14.6,20.2,0.0075,,
0.6520,82,15.5,20.2,0.0075,,
0.6605,83,16.5,20.2,0.0085,,
0.6690,84,17.4,20.2,0.0085,,
0.6775,85,18.3,20.2,0.0075,,
0.6860,86,19.1,20.2,0.0075,,
0.6945,87,20.0,20.2,0.0075,,
0.7020,88,20.8,20.2,0.0075,,
0.7105,89,21.9,20.2,0.0085,,
0.7190,90,22.8,20.2,0.0075,,
0.7275,91,23.6,20.2,0.0075,,
0.7355,92,24.7,20.2,0.0075,,
0.7440,93,25.7,20.2,0.0075,,
0.7515,94,26.5,20.2,0.0075,,
0.7600,95,27.5,20.2,0.0085,,
0.7685,96,28.4,20.2,0.0075,,
0.7770,97,29.2,20.2,0.0075,,
0.7855,98,30.1,20.2,0.0075,,
0.7940,99,31.1,20.2,0.0075,,
