"SampleID","TA","Mass","Sample.Index"
"junk1",2439.5550657731,59.6904,1
"junk2",2434.19761240895,59.5418,2
"13_dawn",2321.98156712149,60.0872,3
"14_dawn",2387.74311622074,60.3283,4
"15_dawn",2390.82493648072,59.6979,5
"16_dawn",2374.76709285735,59.6963,6
"17_dawn",2384.59830888633,60.1484,7
"18_dawn",2376.94444359663,60.2728,8
"19_dawn",2375.88173484892,60.1644,9
"20_dawn",2369.75317043779,59.7748,10
"21_dawn",2369.3334701091,60.482,11
"22_dawn",2367.99335631849,60.4776,12
"23_dawn",2361.94569815723,60.3019,13
"24_dawn",2360.86417634106,59.9521,14
