Task,T6748
Scope 1/1, Sample 1/4 (JUNK1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-46.7,19.3,NaN,,
0.0010,1,-46.7,19.3,0.0010,,
0.0025,2,-46.8,19.3,0.0015,,
0.0050,3,-46.7,19.3,0.0020,,
0.0085,4,-46.8,19.3,0.0030,,
0.0150,5,-46.7,19.3,0.0060,,
0.0230,6,-46.5,19.3,0.0075,,
0.0315,7,-46.2,19.3,0.0075,,
0.0400,8,-45.9,19.3,0.0075,,
0.0485,9,-45.4,19.3,0.0075,,
0.0560,10,-44.7,19.3,0.0070,,
0.0645,11,-44.1,19.3,0.0075,,
0.0730,12,-43.3,19.3,0.0075,,
0.0815,13,-42.2,19.3,0.0075,,
0.0900,14,-40.9,19.3,0.0075,,
0.0975,15,-39.8,19.3,0.0070,,
0.1060,16,-38.2,19.3,0.0075,,
0.1145,17,-36.8,19.3,0.0075,,
0.1225,18,-35.4,19.3,0.0075,,
0.1310,19,-33.8,19.3,0.0075,,
0.1395,20,-32.3,19.3,0.0075,,
0.1470,21,-30.8,19.3,0.0070,,
0.1555,22,-28.9,19.3,0.0075,,
0.1640,23,-27.2,19.3,0.0075,,
0.1725,24,-25.6,19.3,0.0075,,
0.1810,25,-23.9,19.3,0.0075,,
0.1895,26,-22.6,19.3,0.0075,,
0.1970,27,-21.1,19.3,0.0070,,
0.2055,28,-19.8,19.3,0.0075,,
0.2135,29,-18.4,19.3,0.0075,,
0.2220,30,-17.2,19.3,0.0075,,
0.2305,31,-16.1,19.3,0.0075,,
0.2390,32,-14.9,19.3,0.0075,,
0.2465,33,-13.9,19.3,0.0070,,
0.2550,34,-12.8,19.3,0.0075,,
0.2635,35,-11.6,19.3,0.0075,,
0.2720,36,-10.6,19.3,0.0075,,
0.2805,37,-9.6,19.3,0.0075,,
0.2885,38,-8.6,19.3,0.0065,,
0.2965,39,-7.8,19.3,0.0075,,
0.3045,40,-6.9,19.3,0.0075,,
0.3130,41,-6.2,19.3,0.0075,,
0.3215,42,-5.5,19.3,0.0075,,
0.3300,43,-4.6,19.3,0.0075,,
0.3385,44,-3.5,19.3,0.0075,,
0.3460,45,-2.4,19.3,0.0070,,
0.3545,46,-1.6,19.3,0.0075,,
0.3630,47,-0.6,19.3,0.0075,,
0.3715,48,0.3,19.3,0.0075,,
