Task,T6787
Scope 1/1, Sample 1/31 (JUNK1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-45.3,20.3,NaN,,
0.0010,1,-45.2,20.3,0.0010,,
0.0025,2,-45.2,20.4,0.0015,,
0.0050,3,-45.2,20.4,0.0020,,
0.0095,4,-45.2,20.4,0.0040,,
0.0155,5,-45.3,20.4,0.0055,,
0.0235,6,-45.1,20.4,0.0075,,
0.0320,7,-45.0,20.4,0.0075,,
0.0405,8,-44.7,20.4,0.0075,,
0.0490,9,-44.2,20.4,0.0070,,
0.0565,10,-43.6,20.4,0.0070,,
0.0650,11,-42.8,20.4,0.0075,,
0.0735,12,-41.8,20.4,0.0075,,
0.0820,13,-40.6,20.4,0.0075,,
0.0905,14,-39.5,20.4,0.0075,,
0.0990,15,-38.2,20.4,0.0070,,
0.1065,16,-37.1,20.4,0.0070,,
0.1150,17,-35.7,20.4,0.0075,,
0.1230,18,-34.1,20.4,0.0075,,
0.1315,19,-32.5,20.4,0.0075,,
0.1400,20,-30.9,20.4,0.0070,,
0.1485,21,-29.4,20.4,0.0075,,
0.1560,22,-27.8,20.4,0.0070,,
0.1645,23,-26.2,20.4,0.0075,,
0.1730,24,-24.6,20.4,0.0075,,
0.1815,25,-23.1,20.4,0.0075,,
0.1900,26,-21.6,20.4,0.0070,,
0.1985,27,-20.3,20.4,0.0075,,
0.2060,28,-19.1,20.4,0.0070,,
0.2145,29,-17.9,20.4,0.0075,,
0.2230,30,-16.6,20.4,0.0075,,
0.2310,31,-15.4,20.4,0.0075,,
0.2395,32,-14.2,20.4,0.0070,,
0.2470,33,-13.2,20.4,0.0070,,
0.2555,34,-12.1,20.4,0.0075,,
0.2640,35,-11.1,20.4,0.0075,,
0.2725,36,-10.1,20.4,0.0075,,
0.2810,37,-9.1,20.4,0.0075,,
0.2895,38,-8.1,20.4,0.0070,,
0.2975,39,-7.3,20.4,0.0075,,
0.3055,40,-6.4,20.4,0.0075,,
0.3140,41,-5.3,20.4,0.0075,,
0.3220,42,-4.3,20.4,0.0075,,
0.3305,43,-3.4,20.4,0.0075,,
0.3390,44,-2.4,20.4,0.0070,,
0.3475,45,-1.5,20.4,0.0075,,
0.3550,46,-0.5,20.4,0.0070,,
0.3635,47,-0.1,20.4,0.0075,,
0.3720,48,0.5,20.4,0.0075,,
0.3805,49,1.3,20.4,0.0075,,
0.3890,50,2.2,20.4,0.0070,,
0.3965,51,3.3,20.4,0.0070,,
0.4050,52,3.5,20.4,0.0075,,
0.4130,53,4.6,20.4,0.0075,,
0.4215,54,5.2,20.4,0.0075,,
0.4300,55,5.9,20.4,0.0075,,
0.4385,56,6.5,20.4,0.0070,,
0.4460,57,7.0,20.4,0.0070,,
0.4545,58,7.7,20.4,0.0075,,
0.4630,59,8.5,20.4,0.0075,,
0.4715,60,9.3,20.4,0.0075,,
0.4800,61,10.1,20.4,0.0070,,
0.4885,62,10.8,20.4,0.0070,,
0.4960,63,11.5,20.4,0.0070,,
0.5045,64,12.3,20.4,0.0075,,
0.5130,65,13.1,20.4,0.0075,,
0.5210,66,13.8,20.4,0.0075,,
0.5295,67,14.6,20.4,0.0070,,
0.5380,68,15.2,20.4,0.0075,,
0.5455,69,15.9,20.4,0.0070,,
0.5540,70,16.7,20.4,0.0075,,
0.5625,71,17.4,20.4,0.0075,,
0.5710,72,18.1,20.4,0.0075,,
0.5795,73,18.8,20.4,0.0070,,
0.5880,74,19.5,20.4,0.0075,,
0.5955,75,20.1,20.4,0.0070,,
0.6040,76,21.0,20.4,0.0075,,
0.6120,77,21.7,20.4,0.0075,,
0.6205,78,22.4,20.4,0.0075,,
0.6290,79,23.1,20.4,0.0070,,
0.6375,80,23.7,20.4,0.0075,,
0.6450,81,24.4,20.4,0.0070,,
0.6535,82,25.2,20.4,0.0075,,
0.6620,83,26.0,20.4,0.0075,,
0.6705,84,26.8,20.4,0.0075,,
0.6790,85,27.5,20.4,0.0070,,
0.6865,86,28.2,20.4,0.0070,,
0.6950,87,29.1,20.4,0.0075,,
0.7035,88,29.9,20.4,0.0075,,
0.7115,89,30.6,20.4,0.0075,,
0.7200,90,31.3,20.4,0.0075,,
0.7285,91,32.1,20.4,0.0070,,
0.7360,92,32.6,20.4,0.0070,,
0.7445,93,33.5,20.4,0.0075,,
0.7530,94,34.3,20.4,0.0075,,
0.7615,95,35.2,20.4,0.0075,,
0.7700,96,36.0,20.4,0.0075,,
0.7785,97,36.8,20.4,0.0070,,
0.7860,98,37.4,20.4,0.0070,,
0.7945,99,38.1,20.4,0.0075,,
0.8025,100,39.0,20.4,0.0075,,
0.8110,101,39.8,20.4,0.0075,,
0.8195,102,40.6,20.4,0.0075,,
0.8280,103,41.4,20.4,0.0070,,
0.8355,104,42.1,20.4,0.0070,,
0.8440,105,43.0,20.4,0.0075,,
0.8525,106,43.8,20.4,0.0075,,
0.8610,107,44.7,20.4,0.0075,,
0.8695,108,45.5,20.4,0.0075,,
0.8780,109,46.3,20.4,0.0070,,
0.8855,110,47.1,20.4,0.0070,,
0.8940,111,47.9,20.4,0.0075,,
0.9025,112,48.7,20.4,0.0075,,
0.9105,113,49.5,20.4,0.0075,,
0.9190,114,50.3,20.4,0.0070,,
0.9275,115,51.3,20.4,0.0070,,
0.9350,116,52.2,20.4,0.0070,,
0.9435,117,52.9,20.4,0.0075,,
0.9520,118,53.7,20.4,0.0075,,
0.9605,119,54.5,20.4,0.0075,,
0.9690,120,55.5,20.4,0.0070,,
0.9765,121,56.3,20.4,0.0070,,
0.9850,122,57.2,20.4,0.0075,,
0.9935,123,58.1,20.4,0.0075,,
1.0020,124,59.0,20.4,0.0075,,
1.0100,125,60.0,20.4,0.0075,,
1.0185,126,61.1,20.4,0.0070,,
1.0260,127,61.9,20.4,0.0070,,
