Task,T6831
Scope 1/1, Sample 1/31 (JUNK1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-49.0,19.2,NaN,,
0.0010,1,-49.1,19.2,0.0010,,
0.0025,2,-49.1,19.2,0.0015,,
0.0050,3,-49.1,19.2,0.0025,,
0.0090,4,-49.0,19.2,0.0035,,
0.0150,5,-49.0,19.2,0.0055,,
0.0235,6,-48.9,19.2,0.0075,,
0.0320,7,-48.7,19.2,0.0075,,
0.0405,8,-48.3,19.2,0.0075,,
0.0490,9,-47.7,19.2,0.0075,,
0.0565,10,-47.1,19.2,0.0070,,
0.0650,11,-46.2,19.2,0.0075,,
0.0735,12,-45.2,19.2,0.0075,,
0.0815,13,-44.3,19.2,0.0075,,
0.0900,14,-43.1,19.2,0.0075,,
0.0985,15,-41.8,19.2,0.0070,,
0.1060,16,-40.7,19.2,0.0070,,
0.1145,17,-39.3,19.2,0.0075,,
0.1230,18,-37.6,19.2,0.0075,,
0.1315,19,-36.2,19.2,0.0075,,
0.1400,20,-34.6,19.2,0.0075,,
0.1485,21,-33.2,19.2,0.0075,,
0.1560,22,-31.5,19.2,0.0070,,
0.1645,23,-29.9,19.2,0.0075,,
0.1730,24,-28.2,19.2,0.0075,,
0.1810,25,-26.5,19.2,0.0075,,
0.1895,26,-24.8,19.2,0.0075,,
0.1975,27,-23.5,19.2,0.0075,,
0.2055,28,-22.0,19.2,0.0075,,
0.2140,29,-20.6,19.2,0.0075,,
0.2225,30,-19.1,19.2,0.0075,,
0.2310,31,-17.7,19.2,0.0075,,
0.2395,32,-16.4,19.2,0.0075,,
0.2470,33,-15.2,19.2,0.0070,,
0.2555,34,-14.0,19.2,0.0075,,
0.2640,35,-12.8,19.2,0.0075,,
0.2725,36,-11.8,19.2,0.0075,,
0.2810,37,-10.6,19.2,0.0075,,
0.2890,38,-9.5,19.2,0.0065,,
0.2970,39,-8.6,19.2,0.0075,,
0.3050,40,-7.6,19.2,0.0075,,
0.3135,41,-6.9,19.2,0.0075,,
0.3220,42,-6.1,19.2,0.0075,,
0.3305,43,-5.3,19.2,0.0075,,
0.3380,44,-4.4,19.2,0.0070,,
0.3465,45,-3.4,19.2,0.0075,,
0.3550,46,-2.5,19.2,0.0075,,
0.3635,47,-1.5,19.2,0.0075,,
0.3720,48,-0.5,19.3,0.0075,,
0.3805,49,0.3,19.2,0.0070,,
0.3880,50,0.3,19.3,0.0070,,
0.3965,51,1.1,19.3,0.0075,,
0.4050,52,2.0,19.3,0.0075,,
0.4130,53,3.3,19.3,0.0075,,
0.4215,54,3.6,19.3,0.0075,,
0.4300,55,4.5,19.3,0.0075,,
0.4375,56,5.2,19.3,0.0070,,
0.4460,57,5.8,19.3,0.0075,,
0.4545,58,6.5,19.3,0.0075,,
0.4630,59,7.1,19.3,0.0075,,
0.4715,60,7.7,19.3,0.0075,,
0.4790,61,8.3,19.3,0.0070,,
0.4875,62,9.0,19.3,0.0075,,
0.4960,63,9.8,19.3,0.0075,,
0.5045,64,10.6,19.3,0.0075,,
0.5130,65,11.4,19.3,0.0075,,
0.5215,66,12.3,19.3,0.0070,,
0.5290,67,13.0,19.3,0.0070,,
0.5375,68,13.7,19.3,0.0075,,
0.5455,69,14.5,19.3,0.0075,,
0.5540,70,15.2,19.3,0.0075,,
0.5625,71,16.0,19.3,0.0075,,
0.5710,72,16.8,19.3,0.0075,,
0.5785,73,17.5,19.3,0.0070,,
0.5870,74,18.1,19.3,0.0075,,
0.5955,75,18.8,19.3,0.0075,,
0.6040,76,19.5,19.3,0.0075,,
0.6125,77,20.2,19.3,0.0075,,
0.6205,78,20.7,19.3,0.0075,,
0.6285,79,21.4,19.3,0.0075,,
0.6365,80,22.2,19.3,0.0075,,
0.6450,81,22.9,19.3,0.0075,,
0.6535,82,23.6,19.3,0.0075,,
0.6620,83,24.3,19.3,0.0075,,
0.6705,84,25.0,19.3,0.0075,,
0.6780,85,25.7,19.3,0.0070,,
0.6865,86,26.4,19.3,0.0075,,
0.6950,87,27.2,19.3,0.0075,,
0.7035,88,28.0,19.3,0.0075,,
0.7120,89,28.9,19.3,0.0075,,
0.7195,90,29.5,19.3,0.0070,,
0.7280,91,30.2,19.3,0.0075,,
0.7365,92,31.0,19.3,0.0075,,
0.7445,93,31.8,19.3,0.0075,,
0.7530,94,32.5,19.3,0.0075,,
