Task,T6817
Scope 1/1, Sample 1/31 (JUNK1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-50.6,19.8,NaN,,
0.0010,1,-50.6,19.8,0.0010,,
0.0025,2,-50.7,19.8,0.0015,,
0.0050,3,-50.7,19.8,0.0025,,
0.0085,4,-50.7,19.8,0.0030,,
0.0150,5,-50.7,19.8,0.0060,,
0.0230,6,-50.6,19.8,0.0075,,
0.0315,7,-50.4,19.8,0.0085,,
0.0390,8,-50.0,19.8,0.0075,,
0.0475,9,-49.4,19.8,0.0075,,
0.0560,10,-48.7,19.8,0.0075,,
0.0645,11,-47.9,19.8,0.0075,,
0.0730,12,-46.9,19.8,0.0075,,
0.0815,13,-46.0,19.8,0.0085,,
0.0890,14,-44.9,19.8,0.0075,,
0.0975,15,-43.6,19.8,0.0075,,
0.1060,16,-42.2,19.8,0.0075,,
0.1140,17,-40.8,19.8,0.0075,,
0.1225,18,-39.2,19.8,0.0075,,
0.1300,19,-37.7,19.8,0.0075,,
0.1385,20,-36.0,19.8,0.0085,,
0.1470,21,-34.3,19.8,0.0075,,
0.1555,22,-32.5,19.8,0.0075,,
0.1640,23,-30.7,19.8,0.0075,,
0.1725,24,-28.8,19.8,0.0075,,
0.1800,25,-27.2,19.8,0.0075,,
0.1885,26,-25.4,19.8,0.0085,,
0.1970,27,-23.7,19.8,0.0075,,
0.2055,28,-22.0,19.8,0.0075,,
0.2135,29,-20.4,19.8,0.0075,,
0.2220,30,-19.0,19.8,0.0085,,
0.2300,31,-17.6,19.8,0.0080,,
0.2380,32,-16.2,19.8,0.0075,,
0.2465,33,-14.9,19.8,0.0075,,
0.2550,34,-13.7,19.8,0.0075,,
0.2635,35,-12.5,19.8,0.0075,,
0.2720,36,-11.5,19.8,0.0085,,
0.2795,37,-10.4,19.8,0.0075,,
0.2880,38,-9.3,19.8,0.0075,,
0.2965,39,-8.2,19.8,0.0075,,
0.3050,40,-7.3,19.8,0.0075,,
0.3135,41,-6.3,19.8,0.0075,,
0.3210,42,-5.4,19.8,0.0075,,
0.3295,43,-4.4,19.8,0.0085,,
0.3375,44,-3.3,19.8,0.0075,,
0.3460,45,-2.3,19.8,0.0075,,
0.3545,46,-1.2,19.8,0.0075,,
0.3630,47,-0.2,19.8,0.0075,,
0.3705,48,0.4,19.8,0.0075,,
0.3790,49,0.6,19.8,0.0075,,
0.3875,50,1.5,19.8,0.0075,,
0.3960,51,2.5,19.8,0.0075,,
0.4045,52,3.8,19.8,0.0075,,
0.4125,53,4.2,19.8,0.0075,,
0.4205,54,4.9,19.8,0.0080,,
0.4290,55,5.5,19.8,0.0075,,
0.4370,56,6.2,19.8,0.0075,,
0.4455,57,6.9,19.8,0.0075,,
0.4540,58,7.5,19.8,0.0075,,
0.4625,59,8.3,19.8,0.0085,,
0.4700,60,9.1,19.8,0.0075,,
0.4785,61,10.0,19.8,0.0075,,
0.4870,62,10.8,19.8,0.0075,,
0.4955,63,11.7,19.8,0.0075,,
0.5040,64,12.5,19.8,0.0075,,
0.5115,65,13.2,19.9,0.0075,,
0.5200,66,14.0,19.8,0.0085,,
0.5285,67,14.8,19.9,0.0075,,
0.5365,68,15.5,19.9,0.0075,,
0.5450,69,16.3,19.9,0.0075,,
0.5535,70,17.0,19.9,0.0075,,
0.5610,71,17.7,19.9,0.0075,,
0.5695,72,18.4,19.9,0.0085,,
0.5780,73,19.1,19.9,0.0075,,
0.5865,74,19.8,19.9,0.0075,,
0.5950,75,20.6,19.9,0.0075,,
0.6035,76,21.3,19.9,0.0075,,
0.6110,77,21.9,19.9,0.0075,,
0.6195,78,22.7,19.9,0.0075,,
0.6280,79,23.4,19.9,0.0075,,
0.6365,80,24.2,19.9,0.0075,,
0.6445,81,24.9,19.9,0.0075,,
0.6530,82,25.6,19.9,0.0085,,
0.6605,83,26.4,19.9,0.0075,,
0.6690,84,27.1,19.9,0.0085,,
0.6775,85,27.9,19.9,0.0075,,
0.6860,86,28.7,19.9,0.0075,,
0.6945,87,29.4,19.9,0.0075,,
0.7030,88,30.1,19.9,0.0085,,
0.7105,89,30.8,19.9,0.0075,,
0.7190,90,31.6,19.9,0.0075,,
0.7275,91,32.4,19.9,0.0075,,
0.7355,92,33.2,19.9,0.0075,,
0.7440,93,33.9,19.9,0.0075,,
0.7525,94,34.6,19.9,0.0085,,
0.7600,95,35.4,19.9,0.0075,,
0.7685,96,36.2,19.9,0.0075,,
0.7770,97,37.0,19.9,0.0075,,
0.7855,98,37.8,19.9,0.0075,,
0.7940,99,38.6,19.9,0.0075,,
0.8015,100,39.3,19.9,0.0075,,
0.8100,101,40.1,19.9,0.0085,,
0.8185,102,40.9,19.9,0.0075,,
0.8270,103,41.7,19.9,0.0075,,
0.8350,104,42.5,19.9,0.0075,,
0.8435,105,43.3,19.9,0.0075,,
0.8510,106,44.1,19.9,0.0075,,
0.8595,107,44.9,19.9,0.0085,,
0.8680,108,45.8,19.9,0.0075,,
0.8765,109,46.6,19.9,0.0075,,
0.8850,110,47.4,19.9,0.0075,,
0.8935,111,48.3,19.9,0.0075,,
0.9010,112,49.0,19.9,0.0075,,
0.9095,113,49.9,19.9,0.0085,,
0.9180,114,50.7,19.9,0.0075,,
0.9265,115,51.6,19.9,0.0075,,
0.9345,116,52.5,19.9,0.0075,,
0.9430,117,53.3,19.9,0.0075,,
0.9505,118,54.1,19.9,0.0075,,
0.9590,119,55.0,19.9,0.0085,,
0.9675,120,55.9,19.9,0.0075,,
0.9760,121,56.8,19.9,0.0075,,
0.9845,122,57.6,19.9,0.0075,,
0.9930,123,58.4,19.9,0.0085,,
1.0005,124,59.4,19.9,0.0075,,
