Task,T6994
Scope 1/1, Sample 1/3 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-50.4,23.0,NaN,,
0.0010,1,-50.3,23.0,0.0010,,
0.0025,2,-50.4,23.0,0.0015,,
0.0050,3,-50.5,23.0,0.0020,,
0.0090,4,-50.6,23.0,0.0035,,
0.0150,5,-50.5,23.0,0.0055,,
0.0235,6,-50.5,23.0,0.0075,,
0.0320,7,-50.1,23.0,0.0075,,
0.0405,8,-49.7,23.0,0.0075,,
0.0490,9,-49.1,23.0,0.0070,,
0.0565,10,-48.4,23.0,0.0070,,
0.0650,11,-47.5,23.0,0.0075,,
0.0735,12,-46.4,23.0,0.0075,,
0.0820,13,-45.1,23.0,0.0075,,
0.0905,14,-43.9,23.0,0.0075,,
0.0985,15,-42.5,23.0,0.0065,,
0.1065,16,-41.2,23.0,0.0075,,
0.1145,17,-39.7,23.0,0.0075,,
0.1230,18,-38.0,23.0,0.0075,,
0.1315,19,-36.3,23.0,0.0075,,
0.1400,20,-34.6,23.0,0.0070,,
0.1485,21,-32.9,23.0,0.0075,,
0.1560,22,-31.2,23.0,0.0070,,
0.1645,23,-29.4,23.0,0.0075,,
0.1730,24,-27.5,23.0,0.0075,,
0.1815,25,-25.5,23.0,0.0075,,
0.1900,26,-23.3,23.0,0.0070,,
0.1975,27,-21.8,23.0,0.0070,,
0.2060,28,-20.0,23.0,0.0075,,
0.2145,29,-18.3,23.0,0.0075,,
0.2225,30,-16.4,23.0,0.0075,,
0.2310,31,-14.7,23.0,0.0075,,
0.2395,32,-13.4,23.0,0.0070,,
0.2470,33,-12.1,23.0,0.0070,,
0.2555,34,-10.7,23.0,0.0075,,
0.2640,35,-9.5,23.0,0.0075,,
0.2725,36,-8.2,23.0,0.0075,,
0.2810,37,-6.9,23.0,0.0075,,
0.2895,38,-5.5,23.0,0.0070,,
0.2970,39,-4.5,23.0,0.0070,,
0.3055,40,-3.2,23.0,0.0075,,
0.3135,41,-1.9,23.0,0.0075,,
0.3220,42,-0.7,23.0,0.0075,,
0.3305,43,-0.1,23.0,0.0075,,
0.3390,44,0.9,23.0,0.0070,,
0.3465,45,2.0,23.0,0.0070,,
0.3550,46,3.7,23.0,0.0075,,
0.3635,47,4.2,23.0,0.0075,,
0.3720,48,5.1,23.0,0.0075,,
0.3805,49,6.0,23.0,0.0075,,
0.3890,50,6.7,23.0,0.0075,,
0.3965,51,7.5,23.0,0.0070,,
0.4050,52,8.5,23.0,0.0075,,
0.4130,53,9.4,23.0,0.0075,,
0.4215,54,10.4,23.0,0.0075,,
0.4300,55,11.3,23.0,0.0070,,
0.4375,56,12.3,23.0,0.0070,,
0.4460,57,13.3,23.0,0.0075,,
0.4545,58,14.2,23.0,0.0075,,
0.4630,59,15.1,23.0,0.0075,,
0.4715,60,16.1,23.0,0.0075,,
0.4800,61,17.1,23.0,0.0070,,
0.4875,62,17.8,23.0,0.0070,,
0.4960,63,18.8,23.0,0.0075,,
0.5045,64,19.7,23.0,0.0075,,
0.5130,65,20.6,23.0,0.0075,,
0.5210,66,21.4,23.0,0.0075,,
0.5295,67,22.3,23.0,0.0070,,
0.5370,68,23.1,23.0,0.0070,,
0.5455,69,24.0,23.0,0.0075,,
0.5540,70,24.8,23.0,0.0075,,
0.5625,71,25.7,23.0,0.0075,,
0.5710,72,26.4,23.0,0.0075,,
0.5795,73,27.3,23.0,0.0070,,
0.5870,74,28.2,23.0,0.0070,,
0.5955,75,29.1,23.0,0.0075,,
0.6040,76,29.8,23.0,0.0075,,
0.6120,77,30.5,23.0,0.0075,,
0.6205,78,31.3,23.0,0.0075,,
0.6290,79,32.1,23.0,0.0075,,
0.6365,80,33.0,23.0,0.0070,,
0.6450,81,33.8,23.0,0.0075,,
0.6535,82,34.7,23.0,0.0075,,
0.6620,83,35.6,23.0,0.0075,,
0.6705,84,36.5,23.0,0.0070,,
0.6790,85,37.2,23.0,0.0075,,
0.6865,86,38.2,23.0,0.0070,,
0.6950,87,39.2,23.0,0.0075,,
0.7035,88,40.1,23.0,0.0075,,
0.7120,89,40.8,23.0,0.0075,,
0.7200,90,41.7,23.0,0.0065,,
0.7280,91,42.5,23.0,0.0075,,
0.7360,92,43.2,23.0,0.0075,,
0.7445,93,44.0,23.0,0.0075,,
0.7530,94,44.9,23.0,0.0075,,
0.7615,95,45.8,23.0,0.0075,,
0.7700,96,46.5,23.0,0.0075,,
0.7775,97,47.4,23.0,0.0070,,
0.7860,98,48.3,23.0,0.0075,,
0.7945,99,49.3,23.0,0.0075,,
0.8030,100,50.2,23.0,0.0075,,
0.8115,101,51.1,23.0,0.0070,,
0.8195,102,51.9,23.0,0.0075,,
0.8275,103,52.8,23.0,0.0075,,
0.8360,104,53.7,23.0,0.0075,,
0.8440,105,54.5,23.0,0.0075,,
0.8525,106,55.5,23.0,0.0075,,
0.8610,107,56.2,23.0,0.0070,,
0.8685,108,57.1,23.0,0.0070,,
0.8770,109,58.0,23.0,0.0075,,
0.8855,110,58.9,23.0,0.0075,,
0.8940,111,59.6,23.0,0.0075,,
0.9025,112,60.5,23.0,0.0075,,
0.9110,113,61.4,23.0,0.0070,,
0.9185,114,62.2,23.0,0.0070,,
0.9270,115,63.2,23.0,0.0075,,
0.9355,116,64.1,23.0,0.0075,,
0.9435,117,65.1,23.0,0.0075,,
0.9520,118,66.0,23.0,0.0075,,
0.9605,119,66.9,23.0,0.0075,,
0.9680,120,67.9,23.0,0.0070,,
0.9765,121,68.8,23.0,0.0075,,
0.9850,122,69.8,23.0,0.0075,,
0.9935,123,70.8,23.0,0.0075,,
1.0020,124,71.8,23.0,0.0070,,
1.0105,125,72.7,23.0,0.0075,,
1.0180,126,73.7,23.0,0.0070,,
1.0265,127,74.8,23.0,0.0075,,
1.0350,128,75.9,23.0,0.0075,,
1.0430,129,77.0,23.0,0.0075,,
1.0515,130,78.1,23.0,0.0070,,
1.0590,131,79.1,23.0,0.0070,,
1.0675,132,80.4,23.0,0.0075,,
1.0760,133,81.5,23.0,0.0075,,
1.0845,134,82.6,23.0,0.0075,,
1.0930,135,83.7,23.0,0.0075,,
1.1015,136,84.7,23.0,0.0070,,
1.1090,137,85.8,23.0,0.0070,,
1.1175,138,87.1,23.0,0.0075,,
1.1260,139,88.4,23.0,0.0075,,
1.1345,140,89.7,23.0,0.0075,,
1.1425,141,91.1,23.0,0.0075,,
1.1510,142,92.4,23.0,0.0075,,
1.1590,143,94.0,23.0,0.0075,,
1.1670,144,95.7,23.0,0.0075,,
1.1755,145,97.3,23.0,0.0075,,
1.1840,146,99.1,23.0,0.0075,,
1.1925,147,101.1,23.0,0.0070,,
1.2000,148,102.9,23.0,0.0070,,
1.2085,149,104.8,23.0,0.0075,,
1.2170,150,106.5,23.0,0.0075,,
1.2255,151,108.5,23.0,0.0075,,
1.2340,152,110.6,23.0,0.0075,,
1.2425,153,112.9,23.0,0.0070,,
1.2500,154,115.2,23.0,0.0070,,
1.2585,155,117.9,23.0,0.0075,,
1.2665,156,121.0,23.0,0.0075,,
1.2750,157,124.2,23.0,0.0075,,
1.2835,158,127.5,23.0,0.0075,,
1.2920,159,130.9,23.0,0.0070,,
1.2995,160,134.4,23.0,0.0070,,
1.3080,161,138.4,23.0,0.0075,,
1.3165,162,142.3,23.0,0.0075,,
1.3250,163,146.4,23.0,0.0075,,
1.3335,164,150.4,23.0,0.0075,,
1.3420,165,154.4,23.0,0.0070,,
1.3495,166,157.9,23.0,0.0070,,
1.3580,167,161.7,23.0,0.0075,,
1.3660,168,165.3,23.0,0.0075,,
1.3745,169,168.0,23.0,0.0075,,
1.3830,170,170.8,23.0,0.0075,,
1.3915,171,173.7,23.0,0.0070,,
1.3990,172,175.9,23.0,0.0070,,
1.4075,173,178.2,23.0,0.0075,,
1.4160,174,180.3,23.0,0.0075,,
1.4245,175,182.0,23.0,0.0075,,
1.4330,176,183.7,23.0,0.0070,,
1.4405,177,185.0,23.0,0.0070,,
1.4405,417,189.6,23.1,0.0000,,
1.4410,418,189.8,23.0,0.0005,,
1.4425,419,189.9,23.1,0.0010,,
1.4450,420,189.9,23.1,0.0020,,
1.4495,421,189.9,23.0,0.0035,,
1.4555,422,190.2,23.0,0.0045,,
1.4640,423,191.0,23.1,0.0070,,
1.4715,424,191.9,23.1,0.0060,,
1.4800,425,193.1,23.0,0.0070,,
1.4885,426,194.2,23.0,0.0065,,
1.4970,427,195.4,23.1,0.0065,,
1.5055,428,196.3,23.1,0.0065,,
1.5140,429,197.4,23.0,0.0070,,
1.5215,430,198.3,23.1,0.0060,,
1.5300,431,199.4,23.1,0.0070,,
1.5380,432,200.4,23.1,0.0060,,
1.5465,433,201.2,23.1,0.0065,,
1.5550,434,202.1,23.1,0.0065,,
1.5625,435,202.8,23.1,0.0060,,
1.5710,436,203.6,23.1,0.0070,,
1.5795,437,204.5,23.1,0.0070,,
1.5880,438,205.4,23.1,0.0065,,
1.5965,439,206.2,23.1,0.0065,,
1.6050,440,207.0,23.1,0.0065,,
1.6125,441,207.6,23.1,0.0060,,
1.6210,442,208.4,23.1,0.0070,,
1.6295,443,209.2,23.1,0.0065,,
1.6380,444,209.9,23.1,0.0065,,
1.6460,445,210.4,23.1,0.0060,,
1.6540,446,211.0,23.1,0.0065,,
1.6625,447,211.8,23.1,0.0070,,
1.6705,448,212.4,23.1,0.0065,,
1.6790,449,213.0,23.1,0.0065,,
1.6875,450,213.4,23.1,0.0065,,
1.6960,451,214.1,23.1,0.0065,,
1.7035,452,214.6,23.1,0.0060,,
1.7120,453,215.1,23.1,0.0070,,
1.7205,454,215.7,23.1,0.0070,,
1.7290,455,216.2,23.1,0.0065,,
1.7375,456,216.7,23.1,0.0065,,
1.7455,457,217.2,23.1,0.0060,,
1.7535,458,217.6,23.1,0.0065,,
1.7615,459,218.1,23.1,0.0065,,
1.7700,460,218.6,23.1,0.0070,,
1.7785,461,219.0,23.1,0.0065,,
1.7870,462,219.4,23.1,0.0065,,
1.7955,463,219.7,23.1,0.0065,,
1.8030,464,220.3,23.1,0.0060,,
1.8115,465,220.6,23.1,0.0070,,
1.8200,466,220.9,23.1,0.0070,,
1.8285,467,221.4,23.1,0.0065,,
1.8370,468,221.9,23.1,0.0065,,
1.8450,469,222.2,23.1,0.0060,,
1.8530,470,222.6,23.1,0.0065,,
1.8610,471,223.0,23.1,0.0065,,
1.8695,472,223.3,23.1,0.0065,,
1.8780,473,223.7,23.1,0.0065,,
1.8865,474,224.1,23.1,0.0065,,
1.8940,475,224.4,23.1,0.0060,,
1.9025,476,224.7,23.1,0.0070,,
1.9110,477,225.3,23.1,0.0070,,
1.9195,478,225.7,23.1,0.0065,,
1.9280,479,226.2,23.1,0.0065,,
1.9365,480,226.5,23.1,0.0065,,
1.9440,481,226.8,23.1,0.0065,,
1.9525,482,227.1,23.1,0.0070,,
1.9610,483,227.5,23.1,0.0065,,
1.9690,484,227.8,23.1,0.0060,,
1.9775,485,228.1,23.1,0.0065,,
1.9860,486,228.4,23.1,0.0065,,
1.9935,487,228.7,23.1,0.0060,,
2.0020,488,229.0,23.1,0.0070,,
2.0105,489,229.4,23.1,0.0065,,
2.0190,490,229.7,23.1,0.0065,,
2.0275,491,230.0,23.1,0.0065,,
2.0360,492,230.3,23.1,0.0070,,
2.0435,493,230.6,23.1,0.0060,,
2.0520,494,230.8,23.1,0.0070,,
2.0605,495,231.0,23.1,0.0065,,
2.0685,496,231.4,23.1,0.0060,,
2.0770,497,231.7,23.1,0.0065,,
2.0855,498,231.9,23.1,0.0070,,
2.0930,499,232.2,23.1,0.0060,,
2.1015,500,232.5,23.1,0.0070,,
2.1100,501,232.8,23.1,0.0065,,
2.1185,502,233.0,23.1,0.0065,,
2.1270,503,233.1,23.1,0.0065,,
2.1345,504,233.5,23.1,0.0060,,
2.1425,505,233.8,23.1,0.0065,,
2.1510,506,234.0,23.1,0.0070,,
2.1580,507,234.2,23.1,0.0055,,
2.1630,508,234.5,23.1,0.0040,,
2.1640,509,234.6,23.1,0.0010,,
2.1645,510,234.7,23.1,0.0005,,
2.1655,511,234.7,23.1,0.0010,,
2.1665,512,234.7,23.1,0.0010,,
2.1685,513,234.8,23.1,0.0015,,
2.1700,514,234.8,23.1,0.0010,,
2.1715,515,234.9,23.1,0.0010,,
2.1725,516,234.9,23.1,0.0010,,
2.1740,518,235.0,23.1,0.0010,,
Scope 1/1, Sample 2/3 (junk2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-58.7,23.0,NaN,,
0.0010,1,-58.9,23.0,0.0010,,
