"SampleID","TA","Mass","Sample.Index"
"junk1",2274.97284483076,59.8262,1
"junk2",2242.42923714627,59.8283,2
"junk3",2248.59391333123,59.8004,3
"tank1",1840.2053137485,60.1909,4
"tank2",1838.80008185458,60.0326,5
"tank3",1844.99006710364,59.8505,6
"tank4",1852.68263186441,59.732,7
"tank5",1830.12954145846,59.6967,8
"tank6",1833.46876395601,59.921,9
"tank7",1840.86407080568,59.8789,10
"tank8",1802.0469283165,59.753,11
"tank9",1850.75888117103,60.175,12
"tank10",1824.40940478218,60.3676,13
"tank11",1841.21263915852,60.014,14
"tank12",1844.01781524553,60.1162,15
"tank13",1828.67792327984,59.8652,16
"tank14",1846.58618464587,60.228,17
"tank15",1841.56694536146,59.6441,18
"tank17",1833.85787165641,59.7089,19
"tank18",1846.23096229929,60.1861,20
"tank19",1833.35274227669,59.864,21
