"SampleID","TA","Mass","Sample.Index"
"JUNK1",2206.12158834451,59.5448,1
"JUNK2",2160.23265361183,60.4742,2
"JUNK3",2216.91945529987,59.5047,3
"T7_initial_7_18",1996.5618971593,60.4683,4
"T7_initial_8_18",1979.2886312938,59.9577,5
"T7_initial_9_18",2101.13931587833,59.6541,6
"T7_shell_M_18",1993.85215423849,60.0232,7
"T7_shell_N_18",2002.2089744397,60.1765,8
"T8_initial_7_18",1977.78605545022,60.0268,9
"T8_initial_8_18",1965.85404143083,60.4532,10
"T8_initial_9_18",1968.09254841037,59.6165,11
"T8_shell_M_18",1966.70066032703,60.4201,12
"T8_shell_N_18",1996.22093191767,60.4417,13
"T9_initial_7_18",2016.22091202242,60.0976,14
"T9_initial_8_18",2008.17775159293,60.037,15
"T9_initial_9_18",2027.11119093126,60.3769,16
"T9_shell_M_18",1987.4431580701,60.4991,17
"T9_shell_N_18",1982.33729036122,60.2413,18
"T10_initial_7_18",1980.24344784951,60.454,19
"T10_initial_8_18",1966.46101662775,60.441,20
"T10_initial_9_18",1971.31247434212,60.4297,21
"T10_shell_M_18",1989.79197611367,60.0549,22
"T10_shell_N_18",2011.74526225793,59.9175,23
"T13_initial_7_18",1967.75694232693,60.4018,24
"T13_initial_8_18",1985.26177119786,60.2254,25
"T13_initial_9_18",1973.85503462635,59.9994,26
"T13_shell_M_18",2003.82264081471,60.3646,27
"T13_shell_N_18",1979.27656922097,60.4941,28
"CRM",2005.27249411866,60.1113,29
