Task,T7098
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-63.5,22.6,NaN,,
0.0005,1,-63.7,22.6,0.0005,,
0.0025,2,-63.7,22.6,0.0020,,
0.0050,3,-63.8,22.6,0.0025,,
0.0090,4,-63.7,22.6,0.0035,,
0.0155,5,-63.6,22.6,0.0060,,
0.0235,6,-63.6,22.6,0.0075,,
0.0315,7,-63.4,22.6,0.0080,,
0.0395,8,-63.0,22.6,0.0080,,
0.0480,9,-62.4,22.6,0.0075,,
0.0565,10,-61.8,22.6,0.0075,,
0.0650,11,-61.0,22.6,0.0075,,
0.0735,12,-60.2,22.6,0.0085,,
0.0810,13,-59.3,22.6,0.0075,,
0.0895,14,-58.4,22.6,0.0085,,
0.0980,15,-57.2,22.6,0.0075,,
0.1065,16,-56.1,22.6,0.0075,,
0.1150,17,-54.9,22.6,0.0075,,
0.1225,18,-53.7,22.6,0.0075,,
0.1310,19,-52.3,22.6,0.0085,,
0.1395,20,-51.2,22.6,0.0075,,
0.1475,21,-49.8,22.6,0.0075,,
0.1560,22,-48.1,22.6,0.0075,,
0.1645,23,-46.5,22.6,0.0075,,
0.1720,24,-44.9,22.6,0.0075,,
0.1805,25,-43.1,22.6,0.0085,,
0.1890,26,-41.2,22.6,0.0075,,
0.1975,27,-39.2,22.6,0.0075,,
0.2060,28,-37.3,22.6,0.0075,,
0.2135,29,-35.4,22.6,0.0075,,
0.2220,30,-33.4,22.6,0.0085,,
0.2305,31,-31.5,22.6,0.0075,,
0.2390,32,-29.3,22.6,0.0075,,
0.2470,33,-27.2,22.6,0.0075,,
0.2555,34,-25.1,22.6,0.0075,,
0.2635,35,-23.4,22.6,0.0080,,
0.2715,36,-21.5,22.6,0.0080,,
0.2800,37,-19.8,22.6,0.0075,,
0.2885,38,-18.1,22.6,0.0075,,
0.2970,39,-16.4,22.6,0.0075,,
0.3055,40,-14.8,22.6,0.0075,,
0.3130,41,-13.4,22.6,0.0075,,
0.3215,42,-12.0,22.6,0.0085,,
0.3300,43,-10.5,22.6,0.0075,,
0.3385,44,-9.1,22.6,0.0075,,
0.3470,45,-7.8,22.6,0.0075,,
0.3550,46,-6.7,22.6,0.0080,,
0.3630,47,-5.6,22.6,0.0080,,
0.3710,48,-4.3,22.6,0.0080,,
0.3795,49,-2.9,22.6,0.0075,,
0.3880,50,-1.8,22.6,0.0075,,
0.3965,51,-0.6,22.6,0.0075,,
0.4040,52,0.4,22.6,0.0075,,
0.4125,53,0.7,22.6,0.0085,,
0.4210,54,1.7,22.6,0.0075,,
0.4295,55,3.0,22.6,0.0075,,
0.4380,56,4.0,22.6,0.0075,,
0.4465,57,5.0,22.6,0.0085,,
0.4540,58,5.8,22.6,0.0075,,
0.4625,59,6.7,22.6,0.0085,,
0.4710,60,7.8,22.6,0.0075,,
0.4790,61,8.9,22.6,0.0075,,
0.4875,62,10.0,22.6,0.0075,,
0.4955,63,10.9,22.6,0.0080,,
0.5035,64,11.9,22.6,0.0080,,
0.5120,65,12.9,22.6,0.0075,,
0.5205,66,13.7,22.6,0.0075,,
0.5290,67,14.6,22.6,0.0075,,
0.5375,68,15.5,22.6,0.0085,,
0.5450,69,16.5,22.6,0.0075,,
0.5535,70,17.4,22.6,0.0085,,
0.5620,71,18.3,22.6,0.0075,,
0.5705,72,19.2,22.6,0.0075,,
0.5790,73,20.1,22.6,0.0075,,
0.5865,74,20.9,22.6,0.0075,,
0.5950,75,22.0,22.6,0.0085,,
0.6035,76,23.0,22.6,0.0075,,
0.6115,77,24.0,22.6,0.0075,,
0.6200,78,24.8,22.6,0.0075,,
0.6285,79,25.9,22.6,0.0075,,
0.6360,80,26.7,22.6,0.0075,,
0.6445,81,27.7,22.6,0.0085,,
0.6530,82,28.6,22.6,0.0075,,
0.6615,83,29.4,22.6,0.0075,,
0.6700,84,30.2,22.6,0.0075,,
0.6775,85,31.2,22.6,0.0075,,
0.6860,86,32.0,22.6,0.0085,,
0.6945,87,32.9,22.6,0.0075,,
0.7030,88,33.8,22.6,0.0075,,
0.7115,89,34.8,22.6,0.0075,,
0.7195,90,35.8,22.6,0.0075,,
0.7275,91,36.7,22.6,0.0080,,
0.7360,92,37.6,22.6,0.0085,,
0.7440,93,38.6,22.6,0.0075,,
0.7525,94,39.7,22.6,0.0075,,
0.7610,95,40.6,22.6,0.0075,,
0.7695,96,41.6,22.6,0.0075,,
0.7770,97,42.5,22.6,0.0075,,
0.7855,98,43.4,22.6,0.0085,,
