Task,T7271
Scope 1/1, Sample 1/29 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-24.8,22.6,NaN,,
0.0010,1,-24.7,22.6,0.0010,,
0.0025,2,-24.9,22.6,0.0015,,
0.0050,3,-24.9,22.6,0.0020,,
0.0090,4,-25.0,22.6,0.0035,,
0.0155,5,-24.8,22.6,0.0060,,
0.0235,6,-24.5,22.6,0.0075,,
0.0320,7,-24.1,22.6,0.0075,,
0.0405,8,-23.4,22.6,0.0075,,
0.0480,9,-22.5,22.6,0.0070,,
0.0565,10,-21.4,22.6,0.0075,,
0.0650,11,-20.1,22.6,0.0075,,
0.0735,12,-18.7,22.6,0.0075,,
0.0820,13,-17.3,22.6,0.0075,,
0.0905,14,-15.8,22.6,0.0075,,
0.0980,15,-14.3,22.6,0.0070,,
0.1065,16,-12.9,22.6,0.0075,,
0.1150,17,-11.6,22.6,0.0075,,
0.1230,18,-10.2,22.6,0.0075,,
0.1315,19,-8.7,22.6,0.0075,,
0.1400,20,-7.4,22.6,0.0070,,
0.1475,21,-6.3,22.6,0.0070,,
0.1560,22,-5.2,22.6,0.0075,,
0.1645,23,-3.9,22.6,0.0075,,
0.1730,24,-2.7,22.6,0.0075,,
0.1815,25,-1.5,22.6,0.0075,,
0.1900,26,-0.2,22.6,0.0070,,
0.1975,27,0.9,22.6,0.0070,,
0.2060,28,1.0,22.6,0.0075,,
0.2145,29,1.9,22.6,0.0075,,
0.2225,30,4.1,22.6,0.0075,,
0.2310,31,4.5,22.6,0.0075,,
0.2395,32,5.3,22.6,0.0070,,
0.2470,33,6.0,22.6,0.0070,,
0.2555,34,6.6,22.6,0.0075,,
0.2640,35,7.4,22.6,0.0075,,
0.2725,36,8.3,22.6,0.0075,,
0.2810,37,9.2,22.6,0.0075,,
0.2895,38,10.2,22.6,0.0075,,
0.2970,39,11.2,22.6,0.0070,,
0.3055,40,12.3,22.6,0.0075,,
0.3140,41,13.1,22.6,0.0075,,
0.3220,42,14.1,22.6,0.0075,,
0.3305,43,15.0,22.6,0.0075,,
0.3380,44,15.7,22.6,0.0070,,
0.3465,45,16.7,22.6,0.0075,,
0.3550,46,17.6,22.6,0.0075,,
0.3635,47,18.5,22.6,0.0075,,
0.3720,48,19.4,22.6,0.0075,,
0.3805,49,20.2,22.7,0.0070,,
0.3880,50,21.0,22.6,0.0070,,
0.3965,51,21.7,22.6,0.0075,,
0.4050,52,22.6,22.6,0.0075,,
0.4135,53,23.5,22.6,0.0075,,
0.4215,54,24.3,22.6,0.0075,,
0.4300,55,25.1,22.7,0.0070,,
0.4380,56,25.9,22.7,0.0075,,
0.4460,57,26.6,22.6,0.0075,,
0.4545,58,27.3,22.7,0.0075,,
0.4630,59,28.0,22.7,0.0075,,
0.4715,60,28.9,22.7,0.0075,,
0.4790,61,29.6,22.7,0.0070,,
0.4875,62,30.5,22.7,0.0075,,
0.4960,63,31.4,22.7,0.0075,,
0.5045,64,32.4,22.7,0.0075,,
0.5130,65,33.3,22.7,0.0075,,
0.5215,66,34.2,22.7,0.0070,,
0.5290,67,34.8,22.7,0.0070,,
0.5375,68,35.6,22.7,0.0075,,
0.5460,69,36.6,22.7,0.0075,,
0.5540,70,37.5,22.7,0.0075,,
0.5625,71,38.4,22.7,0.0075,,
0.5710,72,39.0,22.7,0.0075,,
0.5785,73,39.9,22.7,0.0070,,
0.5870,74,40.7,22.7,0.0075,,
0.5955,75,41.6,22.7,0.0075,,
0.6040,76,42.4,22.7,0.0075,,
0.6125,77,43.2,22.7,0.0075,,
0.6200,78,44.1,22.7,0.0070,,
0.6285,79,45.0,22.7,0.0075,,
0.6370,80,45.9,22.7,0.0075,,
0.6455,81,46.7,22.7,0.0075,,
0.6535,82,47.5,22.7,0.0075,,
0.6620,83,48.4,22.7,0.0075,,
0.6700,84,49.1,22.7,0.0075,,
0.6780,85,50.0,22.7,0.0075,,
0.6865,86,50.9,22.7,0.0075,,
0.6950,87,51.9,22.7,0.0075,,
0.7035,88,52.9,22.7,0.0075,,
0.7120,89,53.8,22.7,0.0075,,
0.7195,90,54.6,22.7,0.0070,,
0.7280,91,55.6,22.7,0.0075,,
0.7365,92,56.5,22.7,0.0075,,
0.7450,93,57.6,22.7,0.0075,,
0.7530,94,58.6,22.7,0.0075,,
0.7615,95,59.3,22.7,0.0075,,
0.7695,96,60.3,22.7,0.0075,,
0.7775,97,61.3,22.7,0.0075,,
0.7860,98,62.5,22.7,0.0075,,
0.7945,99,63.3,22.7,0.0075,,
0.8030,100,64.5,22.7,0.0075,,
0.8115,101,65.4,22.7,0.0075,,
0.8190,102,66.6,22.7,0.0070,,
0.8275,103,67.6,22.7,0.0075,,
0.8360,104,68.7,22.7,0.0075,,
0.8445,105,69.7,22.7,0.0075,,
0.8530,106,70.6,22.7,0.0075,,
0.8605,107,71.7,22.7,0.0070,,
0.8690,108,72.9,22.7,0.0075,,
0.8770,109,73.9,22.7,0.0075,,
0.8855,110,75.0,22.7,0.0075,,
0.8940,111,76.0,22.7,0.0075,,
0.9025,112,77.1,22.7,0.0070,,
0.9100,113,78.2,22.7,0.0070,,
0.9185,114,79.4,22.7,0.0075,,
0.9270,115,80.5,22.7,0.0075,,
0.9355,116,81.8,22.7,0.0075,,
0.9440,117,83.1,22.7,0.0075,,
0.9525,118,84.4,22.7,0.0075,,
0.9600,119,85.7,22.7,0.0070,,
0.9685,120,87.1,22.7,0.0075,,
0.9770,121,88.6,22.7,0.0075,,
0.9850,122,90.0,22.7,0.0075,,
0.9935,123,91.4,22.7,0.0075,,
1.0020,124,92.8,22.7,0.0075,,
1.0095,125,94.6,22.7,0.0070,,
1.0180,126,96.4,22.7,0.0075,,
1.0265,127,97.9,22.7,0.0075,,
1.0350,128,99.5,22.7,0.0075,,
1.0435,129,101.5,22.7,0.0075,,
1.0510,130,103.1,22.7,0.0070,,
1.0595,131,105.0,22.7,0.0075,,
1.0680,132,107.0,22.7,0.0075,,
1.0760,133,109.3,22.7,0.0075,,
1.0845,134,112.1,22.7,0.0075,,
1.0930,135,114.7,22.7,0.0075,,
1.1005,136,117.1,22.7,0.0070,,
1.1090,137,120.1,22.7,0.0075,,
1.1175,138,123.1,22.7,0.0075,,
1.1260,139,126.8,22.7,0.0075,,
1.1345,140,130.5,22.7,0.0075,,
1.1430,141,134.2,22.7,0.0070,,
1.1505,142,137.8,22.7,0.0070,,
1.1590,143,141.8,22.7,0.0075,,
1.1675,144,145.7,22.7,0.0075,,
1.1760,145,149.8,22.7,0.0075,,
1.1840,146,154.1,22.7,0.0075,,
