Task,T7405
Scope 1/1, Sample 1/29 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-36.2,21.0,NaN,,
0.0005,1,-36.2,21.0,0.0005,,
0.0025,2,-36.2,21.0,0.0020,,
0.0050,3,-36.2,21.0,0.0025,,
0.0085,4,-36.2,21.0,0.0030,,
0.0150,5,-36.3,21.0,0.0060,,
0.0230,6,-36.3,21.0,0.0075,,
0.0305,7,-36.0,21.0,0.0075,,
0.0390,8,-35.3,21.0,0.0085,,
0.0475,9,-34.3,21.0,0.0075,,
0.0560,10,-33.0,21.0,0.0075,,
0.0645,11,-31.5,21.0,0.0075,,
0.0730,12,-29.9,21.0,0.0085,,
0.0805,13,-28.2,21.0,0.0075,,
0.0890,14,-26.2,21.0,0.0085,,
0.0975,15,-24.1,21.0,0.0075,,
0.1060,16,-21.9,21.0,0.0075,,
0.1140,17,-19.7,21.0,0.0075,,
0.1220,18,-17.9,21.0,0.0080,,
0.1305,19,-15.9,21.0,0.0085,,
0.1385,20,-13.9,21.0,0.0080,,
0.1470,21,-12.2,21.0,0.0075,,
0.1555,22,-10.5,21.0,0.0075,,
0.1640,23,-8.9,21.0,0.0075,,
0.1715,24,-7.6,21.0,0.0075,,
0.1800,25,-6.4,21.0,0.0085,,
0.1885,26,-5.0,21.0,0.0085,,
0.1970,27,-3.4,21.0,0.0075,,
0.2055,28,-1.9,21.0,0.0075,,
0.2135,29,-0.5,21.0,0.0075,,
0.2215,30,0.0,21.0,0.0080,,
0.2295,31,0.9,21.0,0.0080,,
0.2380,32,2.2,21.0,0.0085,,
0.2465,33,3.8,21.0,0.0075,,
0.2550,34,4.4,21.0,0.0075,,
0.2635,35,5.3,21.0,0.0075,,
0.2710,36,6.0,21.0,0.0075,,
0.2795,37,6.8,21.0,0.0085,,
0.2880,38,7.7,21.0,0.0085,,
0.2965,39,8.6,21.0,0.0075,,
0.3045,40,9.6,21.0,0.0075,,
0.3130,41,10.6,21.0,0.0075,,
0.3205,42,11.7,21.0,0.0075,,
0.3290,43,12.7,21.0,0.0085,,
0.3375,44,13.7,21.0,0.0085,,
0.3460,45,14.6,21.0,0.0075,,
0.3545,46,15.4,21.0,0.0075,,
0.3630,47,16.4,21.0,0.0075,,
0.3705,48,17.2,21.0,0.0075,,
0.3790,49,18.1,21.0,0.0085,,
0.3875,50,19.0,21.0,0.0075,,
0.3960,51,20.1,21.0,0.0075,,
0.4040,52,21.0,21.0,0.0075,,
0.4125,53,21.8,21.0,0.0085,,
0.4205,54,22.7,21.0,0.0080,,
0.4285,55,23.6,21.0,0.0080,,
0.4370,56,24.2,21.0,0.0075,,
0.4455,57,25.0,21.0,0.0075,,
0.4540,58,25.9,21.0,0.0075,,
0.4615,59,26.7,21.0,0.0075,,
0.4700,60,27.6,21.0,0.0085,,
0.4785,61,28.6,21.0,0.0085,,
0.4870,62,29.5,21.0,0.0075,,
0.4955,63,30.4,21.0,0.0075,,
0.5035,64,31.1,21.0,0.0075,,
0.5115,65,31.9,21.0,0.0080,,
0.5200,66,32.8,21.0,0.0085,,
0.5280,67,33.8,21.0,0.0080,,
0.5365,68,34.6,21.0,0.0075,,
0.5450,69,35.5,21.0,0.0075,,
0.5535,70,36.5,21.0,0.0075,,
0.5620,71,37.2,21.0,0.0085,,
0.5695,72,38.1,21.0,0.0075,,
0.5780,73,39.0,21.0,0.0085,,
0.5865,74,39.9,21.0,0.0075,,
0.5945,75,40.8,21.0,0.0075,,
0.6030,76,41.7,21.0,0.0075,,
0.6115,77,42.5,21.0,0.0085,,
0.6190,78,43.4,21.0,0.0075,,
0.6275,79,44.4,21.0,0.0085,,
0.6360,80,45.2,21.0,0.0075,,
0.6445,81,46.2,21.0,0.0075,,
0.6530,82,47.2,21.0,0.0075,,
0.6605,83,48.2,21.0,0.0075,,
0.6690,84,49.2,21.0,0.0085,,
0.6775,85,50.1,21.0,0.0075,,
0.6860,86,51.0,21.0,0.0075,,
0.6945,87,52.0,21.0,0.0075,,
0.7025,88,52.8,21.0,0.0080,,
0.7105,89,53.6,21.0,0.0080,,
0.7190,90,54.5,21.0,0.0085,,
0.7270,91,55.4,21.0,0.0075,,
0.7355,92,56.4,21.0,0.0075,,
0.7440,93,57.4,21.0,0.0075,,
0.7525,94,58.3,21.0,0.0085,,
0.7600,95,59.2,21.0,0.0075,,
0.7685,96,60.3,21.0,0.0085,,
0.7770,97,61.2,21.0,0.0075,,
0.7855,98,62.1,21.0,0.0075,,
0.7940,99,63.1,21.0,0.0075,,
0.8020,100,64.0,21.0,0.0080,,
0.8100,101,65.0,21.0,0.0080,,
0.8180,102,66.0,21.0,0.0080,,
0.8265,103,67.1,21.0,0.0075,,
0.8350,104,68.2,21.0,0.0075,,
0.8435,105,69.2,21.0,0.0075,,
0.8510,106,70.2,21.0,0.0075,,
0.8595,107,71.3,21.0,0.0085,,
0.8680,108,72.5,21.0,0.0085,,
0.8765,109,73.6,21.0,0.0075,,
0.8850,110,74.7,21.0,0.0075,,
0.8935,111,76.0,21.0,0.0075,,
0.9010,112,77.0,21.0,0.0075,,
0.9095,113,78.0,21.0,0.0085,,
0.9175,114,79.2,21.0,0.0080,,
0.9260,115,80.5,21.0,0.0075,,
0.9345,116,81.6,21.1,0.0075,,
0.9430,117,82.9,21.0,0.0075,,
0.9505,118,84.0,21.1,0.0075,,
0.9590,119,85.3,21.0,0.0085,,
0.9675,120,86.6,21.1,0.0085,,
0.9760,121,87.9,21.1,0.0075,,
0.9845,122,89.2,21.0,0.0075,,
0.9925,123,90.5,21.1,0.0075,,
1.0005,124,91.8,21.1,0.0080,,
1.0090,125,93.2,21.1,0.0085,,
1.0170,126,94.8,21.1,0.0075,,
1.0255,127,96.4,21.1,0.0075,,
1.0340,128,98.1,21.1,0.0075,,
1.0425,129,99.8,21.1,0.0075,,
1.0500,130,101.5,21.1,0.0075,,
1.0585,131,103.4,21.1,0.0085,,
1.0670,132,105.5,21.1,0.0075,,
1.0755,133,107.6,21.1,0.0075,,
1.0840,134,110.0,21.1,0.0075,,
1.0920,135,112.0,21.1,0.0080,,
1.1000,136,114.7,21.1,0.0080,,
1.1080,137,117.5,21.1,0.0080,,
1.1165,138,120.4,21.1,0.0075,,
1.1250,139,123.5,21.1,0.0075,,
1.1335,140,126.7,21.1,0.0075,,
1.1410,141,129.6,21.1,0.0075,,
1.1495,142,133.2,21.1,0.0085,,
1.1580,143,137.3,21.1,0.0085,,
1.1665,144,141.2,21.1,0.0075,,
1.1750,145,145.5,21.1,0.0075,,
1.1835,146,149.9,21.1,0.0075,,
1.1915,147,153.8,21.1,0.0080,,
1.1995,148,157.9,21.1,0.0080,,
1.2075,149,161.7,21.1,0.0080,,
1.2160,150,164.9,21.1,0.0075,,
1.2245,151,168.3,21.1,0.0075,,
1.2330,152,171.2,21.1,0.0075,,
1.2415,153,173.7,21.1,0.0085,,
1.2490,154,176.2,21.1,0.0075,,
1.2575,155,178.5,21.1,0.0085,,
1.2660,156,180.5,21.1,0.0075,,
1.2745,157,182.8,21.1,0.0075,,
1.2830,158,184.8,21.1,0.0075,,
1.2855,158,185.1,21.1,0.0060,,
1.2855,398,190.2,21.1,0.0000,,
1.2860,400,190.2,21.1,0.0005,,
1.2875,400,190.2,21.1,0.0030,,
1.2900,402,190.0,21.1,0.0015,,
1.2945,403,190.0,21.1,0.0075,,
1.3005,404,190.1,21.1,0.0100,,
1.3090,404,190.5,21.1,0.0170,,
1.3165,406,191.4,21.1,0.0050,,
1.3250,406,192.5,21.1,0.0170,,
1.3335,408,193.8,21.1,0.0055,,
1.3420,409,195.0,21.1,0.0140,,
1.3505,410,196.3,21.1,0.0140,,
1.3585,410,197.3,21.1,0.0160,,
1.3665,412,198.5,21.1,0.0055,,
1.3750,412,199.4,21.1,0.0170,,
1.3830,414,200.4,21.1,0.0050,,
1.3915,415,201.4,21.1,0.0140,,
1.4000,416,202.5,21.1,0.0140,,
1.4085,416,203.2,21.1,0.0170,,
