Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,junk1,12/21/2024 5:29:45 PM,OK,Unchecked,0,,25.0,°C,,2.018,mL,,59.952,g,,59.9520,g,,1.0,g/mL
2,junk2,12/21/2024 5:39:40 PM,OK,Unchecked,0,,25.0,°C,,1.986,mL,,60.298,g,,60.2980,g,,1.0,g/mL
3,junk3,12/21/2024 5:49:22 PM,OK,Unchecked,0,,25.0,°C,,2.004,mL,,59.728,g,,59.7282,g,,1.0,g/mL
4,T13_initial_S1,12/21/2024 5:59:08 PM,OK,Unchecked,0,,25.0,°C,,1.992,mL,,59.996,g,,59.9964,g,,1.0,g/mL
5,T13_initial_S2,12/21/2024 6:08:55 PM,OK,Unchecked,0,,25.0,°C,,1.949,mL,,60.417,g,,60.4167,g,,1.0,g/mL
6,T13_initial_S3,12/21/2024 6:18:39 PM,OK,Unchecked,0,,25.0,°C,,1.997,mL,,60.190,g,,60.1903,g,,1.0,g/mL
7,T13_Teg,12/21/2024 6:28:27 PM,OK,Unchecked,0,,25.0,°C,,2.000,mL,,59.920,g,,59.9199,g,,1.0,g/mL
8,T13_SBlank,12/21/2024 6:38:13 PM,OK,Unchecked,0,,25.0,°C,,1.948,mL,,60.471,g,,60.4711,g,,1.0,g/mL
9,T7_initial_S1,12/21/2024 6:47:55 PM,OK,Unchecked,0,,25.0,°C,,1.984,mL,,59.795,g,,59.7948,g,,1.0,g/mL
10,T7_initial_S2,12/21/2024 6:57:46 PM,OK,Unchecked,0,,25.0,°C,,1.984,mL,,59.915,g,,59.9154,g,,1.0,g/mL
11,T7_initial_S3,12/21/2024 7:07:31 PM,OK,Unchecked,0,,25.0,°C,,2.005,mL,,60.269,g,,60.2693,g,,1.0,g/mL
12,T7_Teg,12/21/2024 7:17:21 PM,OK,Unchecked,0,,25.0,°C,,2.012,mL,,59.754,g,,59.7537,g,,1.0,g/mL
13,T7_SBlank,12/21/2024 7:27:07 PM,OK,Unchecked,0,,25.0,°C,,1.950,mL,,60.288,g,,60.2885,g,,1.0,g/mL
14,T14_initial_S1,12/21/2024 7:36:58 PM,OK,Unchecked,0,,25.0,°C,,1.980,mL,,59.735,g,,59.7346,g,,1.0,g/mL
15,T14_initial_S2,12/21/2024 7:46:43 PM,OK,Unchecked,0,,25.0,°C,,1.974,mL,,59.623,g,,59.6227,g,,1.0,g/mL
16,T14_initial_S3,12/21/2024 7:56:28 PM,OK,Unchecked,0,,25.0,°C,,1.976,mL,,59.712,g,,59.7120,g,,1.0,g/mL
17,T14_Teg,12/21/2024 8:06:13 PM,OK,Unchecked,0,,25.0,°C,,2.016,mL,,60.231,g,,60.2312,g,,1.0,g/mL
18,T14_SBlank,12/21/2024 8:16:04 PM,OK,Unchecked,0,,25.0,°C,,1.930,mL,,59.594,g,,59.5936,g,,1.0,g/mL
19,T1_initial_S1,12/21/2024 8:25:46 PM,OK,Unchecked,0,,25.0,°C,,1.928,mL,,59.708,g,,59.7079,g,,1.0,g/mL
20,T1_initial_S2,12/21/2024 8:35:23 PM,OK,Unchecked,0,,25.0,°C,,1.956,mL,,59.622,g,,59.6221,g,,1.0,g/mL
21,T1_initial_S3,12/21/2024 8:45:02 PM,OK,Unchecked,0,,25.0,°C,,1.940,mL,,59.939,g,,59.9391,g,,1.0,g/mL
22,T1_Teg,12/21/2024 8:54:41 PM,OK,Unchecked,0,,25.0,°C,,1.984,mL,,59.673,g,,59.6729,g,,1.0,g/mL
23,T1_SBlank,12/21/2024 9:04:26 PM,OK,Unchecked,0,,25.0,°C,,1.926,mL,,60.393,g,,60.3929,g,,1.0,g/mL
24,CRM,12/21/2024 9:14:04 PM,OK,Unchecked,0,,25.0,°C,,2.132,mL,,60.366,g,,60.3660,g,,1.0,g/mL
SystemInternal12/21/2024 9:34:51 PM,,,,,,,,,,,,,,,,,,1/1,,
