Task,T7500
Scope 1/1, Sample 1/3 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-38.9,20.1,NaN,,
0.0010,1,-39.3,20.1,0.0010,,
0.0025,2,-39.1,20.1,0.0015,,
0.0050,3,-39.1,20.1,0.0025,,
0.0090,4,-39.0,20.1,0.0035,,
0.0155,5,-38.9,20.1,0.0060,,
0.0235,6,-38.7,20.1,0.0075,,
0.0315,7,-38.2,20.1,0.0080,,
0.0395,8,-37.3,20.1,0.0080,,
0.0480,9,-36.1,20.1,0.0075,,
0.0565,10,-34.7,20.1,0.0075,,
0.0650,11,-32.9,20.1,0.0075,,
0.0735,12,-30.9,20.1,0.0075,,
0.0820,13,-28.9,20.1,0.0085,,
0.0895,14,-26.6,20.1,0.0075,,
0.0980,15,-24.1,20.1,0.0075,,
0.1060,16,-21.5,20.1,0.0075,,
0.1145,17,-19.2,20.1,0.0075,,
0.1230,18,-16.9,20.1,0.0075,,
0.1315,19,-14.9,20.1,0.0085,,
0.1390,20,-12.7,20.1,0.0075,,
0.1475,21,-10.5,20.1,0.0075,,
0.1560,22,-8.7,20.1,0.0075,,
0.1645,23,-7.1,20.1,0.0075,,
0.1730,24,-5.4,20.1,0.0075,,
0.1810,25,-3.8,20.1,0.0080,,
0.1890,26,-2.1,20.1,0.0080,,
0.1970,27,-0.6,20.1,0.0075,,
0.2055,28,0.1,20.1,0.0075,,
0.2140,29,1.4,20.1,0.0075,,
0.2225,30,3.0,20.1,0.0075,,
0.2300,31,4.0,20.1,0.0075,,
0.2385,32,5.0,20.1,0.0085,,
0.2470,33,5.8,20.1,0.0085,,
0.2555,34,6.7,20.1,0.0075,,
0.2640,35,7.8,20.1,0.0075,,
0.2720,36,9.2,20.1,0.0075,,
0.2805,37,10.2,20.1,0.0085,,
0.2880,38,11.4,20.1,0.0075,,
0.2965,39,12.4,20.1,0.0085,,
0.3050,40,13.4,20.1,0.0075,,
0.3135,41,14.3,20.1,0.0075,,
0.3220,42,15.1,20.1,0.0075,,
0.3305,43,16.1,20.1,0.0075,,
0.3380,44,17.0,20.1,0.0075,,
0.3465,45,18.1,20.1,0.0085,,
0.3545,46,18.9,20.1,0.0075,,
0.3630,47,19.9,20.1,0.0075,,
0.3715,48,20.8,20.1,0.0075,,
0.3800,49,21.8,20.1,0.0075,,
0.3875,50,22.7,20.1,0.0075,,
0.3960,51,23.7,20.1,0.0085,,
0.4045,52,24.7,20.1,0.0075,,
0.4130,53,25.4,20.1,0.0075,,
0.4215,54,26.4,20.1,0.0075,,
0.4295,55,27.3,20.1,0.0075,,
0.4375,56,28.2,20.1,0.0080,,
0.4455,57,29.1,20.1,0.0080,,
0.4540,58,30.0,20.1,0.0075,,
0.4625,59,30.9,20.1,0.0075,,
0.4710,60,31.8,20.1,0.0075,,
0.4795,61,32.7,20.1,0.0075,,
0.4870,62,33.8,20.1,0.0075,,
0.4955,63,34.8,20.1,0.0085,,
0.5040,64,35.8,20.1,0.0075,,
0.5125,65,36.5,20.1,0.0075,,
0.5205,66,37.4,20.1,0.0075,,
0.5290,67,38.2,20.1,0.0075,,
0.5365,68,39.3,20.1,0.0075,,
0.5450,69,40.1,20.1,0.0085,,
0.5535,70,40.9,20.1,0.0075,,
