Task,T2901
Scope 1/1, Sample 1/4 (Junk_1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-48.6,22.7,NaN,,
0.0005,1,-48.8,22.7,0.0005,,
0.0025,2,-48.8,22.7,0.0020,,
0.0050,3,-48.9,22.7,0.0025,,
0.0090,4,-48.9,22.7,0.0035,,
0.0150,5,-48.9,22.7,0.0055,,
0.0235,6,-48.7,22.7,0.0075,,
0.0310,7,-48.3,22.7,0.0075,,
0.0395,8,-47.6,22.7,0.0085,,
0.0480,9,-46.7,22.7,0.0085,,
0.0565,10,-45.8,22.7,0.0075,,
0.0650,11,-44.7,22.7,0.0075,,
0.0735,12,-43.5,22.7,0.0075,,
0.0810,13,-42.3,22.7,0.0075,,
0.0895,14,-41.0,22.7,0.0085,,
0.0980,15,-39.4,22.7,0.0075,,
0.1060,16,-37.9,22.7,0.0075,,
0.1145,17,-36.3,22.7,0.0075,,
0.1230,18,-34.3,22.7,0.0075,,
0.1305,19,-32.8,22.8,0.0075,,
0.1390,20,-30.9,22.7,0.0085,,
0.1475,21,-29.0,22.7,0.0085,,
0.1560,22,-26.8,22.7,0.0075,,
0.1645,23,-24.6,22.8,0.0075,,
0.1725,24,-22.3,22.8,0.0075,,
0.1805,25,-20.3,22.8,0.0080,,
0.1890,26,-17.8,22.8,0.0085,,
0.1970,27,-15.4,22.8,0.0075,,
0.2055,28,-12.8,22.8,0.0075,,
0.2140,29,-10.5,22.8,0.0075,,
0.2225,30,-8.4,22.8,0.0075,,
0.2300,31,-6.7,22.8,0.0070,,
0.2385,32,-4.6,22.8,0.0085,,
0.2470,33,-2.3,22.8,0.0075,,
0.2555,34,-0.4,22.8,0.0075,,
0.2640,35,0.5,22.8,0.0075,,
0.2720,36,2.1,22.8,0.0075,,
0.2800,37,3.5,22.8,0.0080,,
0.2880,38,4.8,22.8,0.0080,,
0.2965,39,5.9,22.8,0.0085,,
0.3050,40,7.0,22.8,0.0075,,
0.3135,41,8.2,22.8,0.0075,,
0.3220,42,9.6,22.8,0.0075,,
0.3295,43,10.8,22.8,0.0075,,
0.3380,44,11.9,22.8,0.0085,,
0.3465,45,13.1,22.8,0.0085,,
0.3550,46,14.1,22.8,0.0075,,
0.3630,47,15.3,22.8,0.0075,,
0.3715,48,16.4,22.8,0.0075,,
0.3790,49,17.3,22.8,0.0075,,
0.3875,50,18.3,22.8,0.0085,,
0.3960,51,19.3,22.8,0.0075,,
0.4045,52,20.3,22.8,0.0075,,
0.4130,53,21.3,22.8,0.0075,,
0.4215,54,22.3,22.8,0.0075,,
0.4290,55,23.2,22.8,0.0075,,
0.4375,56,24.1,22.8,0.0085,,
0.4455,57,25.0,22.8,0.0080,,
0.4540,58,25.9,22.8,0.0075,,
0.4625,59,26.8,22.8,0.0075,,
0.4710,60,27.7,22.8,0.0075,,
0.4785,61,28.6,22.8,0.0075,,
0.4870,62,29.5,22.8,0.0085,,
0.4955,63,30.4,22.8,0.0085,,
0.5040,64,31.2,22.8,0.0075,,
0.5125,65,32.1,22.8,0.0075,,
0.5210,66,33.0,22.8,0.0075,,
0.5285,67,33.8,22.8,0.0075,,
0.5370,68,34.7,22.8,0.0085,,
0.5450,69,35.5,22.8,0.0080,,
0.5535,70,36.4,22.8,0.0075,,
0.5620,71,37.3,22.8,0.0075,,
0.5705,72,38.1,22.8,0.0075,,
0.5780,73,38.9,22.8,0.0075,,
0.5865,74,39.8,22.8,0.0085,,
0.5950,75,40.7,22.8,0.0085,,
0.6035,76,41.5,22.8,0.0075,,
0.6120,77,42.4,22.8,0.0075,,
0.6205,78,43.2,22.8,0.0075,,
0.6280,79,44.0,22.8,0.0075,,
0.6365,80,44.8,22.8,0.0085,,
0.6445,81,45.7,22.8,0.0075,,
0.6530,82,46.5,22.8,0.0075,,
0.6615,83,47.4,22.8,0.0075,,
0.6700,84,48.2,22.8,0.0085,,
0.6775,85,49.0,22.8,0.0075,,
0.6860,86,49.8,22.8,0.0085,,
0.6945,87,50.7,22.8,0.0075,,
0.7030,88,51.5,22.8,0.0075,,
0.7115,89,52.3,22.8,0.0075,,
0.7200,90,53.2,22.8,0.0085,,
0.7275,91,54.0,22.8,0.0075,,
0.7360,92,54.9,22.8,0.0085,,
0.7440,93,55.8,22.8,0.0075,,
0.7525,94,56.6,22.8,0.0075,,
0.7610,95,57.5,22.8,0.0075,,
0.7695,96,58.2,22.8,0.0085,,
0.7770,97,59.1,22.8,0.0075,,
0.7855,98,60.0,22.8,0.0085,,
0.7940,99,60.8,22.8,0.0075,,
0.8025,100,61.7,22.8,0.0075,,
0.8110,101,62.6,22.8,0.0075,,
0.8185,102,63.4,22.8,0.0075,,
0.8270,103,64.2,22.8,0.0085,,
0.8350,104,65.2,22.8,0.0080,,
0.8435,105,66.2,22.8,0.0075,,
0.8520,106,67.1,22.8,0.0075,,
0.8605,107,68.0,22.8,0.0075,,
0.8690,108,69.0,22.8,0.0075,,
0.8765,109,69.7,22.8,0.0075,,
0.8850,110,70.6,22.8,0.0085,,
0.8935,111,71.6,22.8,0.0075,,
0.9015,112,72.6,22.8,0.0075,,
0.9100,113,73.5,22.8,0.0075,,
0.9185,114,74.5,22.8,0.0075,,
0.9260,115,75.4,22.8,0.0075,,
0.9345,116,76.2,22.8,0.0085,,
0.9430,117,77.1,22.8,0.0085,,
0.9515,118,78.1,22.8,0.0075,,
0.9600,119,79.0,22.8,0.0075,,
0.9685,120,80.0,22.8,0.0075,,
0.9760,121,80.9,22.8,0.0075,,
0.9840,122,82.0,22.8,0.0080,,
0.9925,123,83.1,22.8,0.0085,,
1.0010,124,84.1,22.8,0.0075,,
1.0095,125,85.1,22.8,0.0075,,
1.0180,126,86.1,22.8,0.0075,,
1.0255,127,87.2,22.8,0.0075,,
1.0340,128,88.3,22.8,0.0085,,
1.0425,129,89.5,22.8,0.0085,,
1.0510,130,90.7,22.8,0.0075,,
1.0595,131,92.0,22.8,0.0075,,
1.0675,132,93.3,22.8,0.0075,,
1.0760,133,94.3,22.8,0.0085,,
1.0835,134,95.5,22.8,0.0075,,
1.0920,135,96.8,22.8,0.0085,,
1.1005,136,98.2,22.8,0.0075,,
1.1090,137,99.6,22.8,0.0075,,
1.1175,138,101.0,22.8,0.0075,,
