SampleID,TA,Mass,Sample.Index
T1,2454.660216,69.7773,1
T2,2371.151875,69.6153,2
T3,2321.051655,70.2288,3
T4,2308.490851,70.2419,4
T5,2308.647064,69.9222,5
T6,2292.648585,70.2779,6
T7,2292.538138,70.1557,7
T8,2285.629545,70.314,8
T9,2289.147977,70.1285,9
T10,2281.983369,70.3027,10
T11,2283.797364,70.2168,11
T12,2281.625621,70.2751,12
T13,2279.043889,70.3653,13
T14,2293.703602,69.8996,14
T15,2288.419111,70.1018,15
T16,2294.930341,69.9311,16
T17,2290.028127,70.0536,17
T18,2290.297859,70.0252,18
T19,2290.956979,69.9859,19
T20,2291.189035,69.9535,20
