Task,T4612
Scope 1/1, Sample 1/40 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-65.8,21.3,NaN,,
0.0010,1,-66.1,21.3,0.0010,,
0.0025,2,-66.0,21.3,0.0015,,
0.0050,3,-66.1,21.3,0.0020,,
0.0090,4,-66.2,21.3,0.0035,,
0.0150,5,-66.2,21.3,0.0055,,
0.0230,6,-66.2,21.3,0.0075,,
0.0315,7,-66.2,21.3,0.0075,,
0.0400,8,-66.1,21.3,0.0075,,
0.0485,9,-65.9,21.3,0.0075,,
0.0570,10,-65.7,21.3,0.0070,,
0.0645,11,-65.5,21.3,0.0070,,
0.0730,12,-65.2,21.3,0.0075,,
0.0810,13,-64.6,21.3,0.0075,,
0.0895,14,-64.1,21.3,0.0075,,
0.0980,15,-63.5,21.3,0.0075,,
0.1065,16,-62.8,21.3,0.0070,,
0.1140,17,-62.3,21.3,0.0070,,
0.1225,18,-61.7,21.3,0.0075,,
0.1310,19,-61.0,21.3,0.0075,,
0.1395,20,-60.3,21.3,0.0075,,
0.1480,21,-59.5,21.3,0.0075,,
0.1565,22,-58.8,21.3,0.0070,,
0.1640,23,-57.9,21.3,0.0070,,
0.1725,24,-57.0,21.3,0.0075,,
0.1805,25,-56.2,21.3,0.0075,,
0.1890,26,-55.1,21.3,0.0075,,
0.1975,27,-54.0,21.3,0.0075,,
0.2060,28,-53.1,21.3,0.0070,,
0.2135,29,-52.1,21.3,0.0070,,
0.2220,30,-51.1,21.3,0.0075,,
0.2305,31,-50.1,21.3,0.0075,,
0.2390,32,-49.1,21.3,0.0075,,
0.2475,33,-47.9,21.3,0.0075,,
0.2555,34,-46.8,21.3,0.0065,,
0.2635,35,-45.9,21.3,0.0075,,
0.2715,36,-44.9,21.3,0.0075,,
0.2800,37,-43.9,21.3,0.0075,,
0.2885,38,-42.9,21.3,0.0075,,
0.2970,39,-41.9,21.3,0.0075,,
0.3055,40,-40.9,21.3,0.0070,,
0.3130,41,-40.0,21.3,0.0070,,
0.3215,42,-39.1,21.3,0.0075,,
0.3300,43,-38.3,21.3,0.0075,,
0.3385,44,-37.4,21.3,0.0075,,
0.3465,45,-36.6,21.3,0.0075,,
0.3550,46,-35.8,21.3,0.0070,,
