Task,T2925
Scope 1/1, Sample 1/8 (CRM)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,227.5,22.7,NaN,,
0.0000,0,227.5,22.7,0.0000,,
0.0000,240,228.6,22.8,0.0000,,
0.0005,241,228.6,22.8,0.0005,,
0.0020,242,228.6,22.8,0.0010,,
0.0050,243,228.7,22.8,0.0020,,
0.0085,244,228.6,22.8,0.0025,,
0.0150,245,228.7,22.8,0.0045,,
0.0230,246,228.7,22.8,0.0060,,
0.0305,247,228.6,22.8,0.0060,,
0.0390,248,228.6,22.8,0.0065,,
0.0475,249,228.6,22.8,0.0060,,
0.0560,250,228.7,22.8,0.0060,,
0.0645,251,228.7,22.8,0.0060,,
0.0720,252,228.7,22.8,0.0060,,
0.0805,253,228.6,22.8,0.0065,,
0.0890,254,228.7,22.8,0.0065,,
0.0975,255,228.7,22.8,0.0060,,
0.1055,256,228.7,22.8,0.0055,,
0.1140,257,228.7,22.8,0.0060,,
0.1215,258,228.7,22.8,0.0060,,
0.1300,259,228.7,22.8,0.0065,,
0.1385,260,228.7,22.8,0.0060,,
0.1470,261,228.6,22.8,0.0060,,
0.1555,262,228.7,22.8,0.0060,,
0.1640,263,228.8,22.8,0.0065,,
0.1715,264,228.7,22.8,0.0060,,
0.1800,265,228.7,22.8,0.0065,,
0.1885,266,228.7,22.8,0.0060,,
0.1970,267,228.8,22.8,0.0060,,
0.2050,268,228.7,22.8,0.0055,,
0.2135,269,228.7,22.8,0.0065,,
0.2210,270,228.7,22.8,0.0060,,
0.2295,271,228.7,22.8,0.0065,,
0.2380,272,228.7,22.8,0.0060,,
0.2465,273,228.7,22.8,0.0060,,
0.2550,274,228.7,22.8,0.0060,,
0.2635,275,228.7,22.8,0.0065,,
0.2710,276,228.8,22.8,0.0060,,
0.2795,277,228.8,22.8,0.0065,,
0.2880,278,228.8,22.8,0.0060,,
0.2960,279,228.8,22.8,0.0055,,
0.3045,280,228.7,22.8,0.0060,,
0.3130,281,228.7,22.8,0.0065,,
0.3205,282,228.8,22.8,0.0060,,
0.3290,283,228.8,22.8,0.0065,,
0.3375,284,228.8,22.8,0.0060,,
0.3460,285,228.8,22.8,0.0060,,
0.3545,286,228.7,22.8,0.0060,,
0.3620,287,228.7,22.8,0.0060,,
0.3705,288,228.7,22.8,0.0065,,
0.3790,289,228.8,22.8,0.0065,,
0.3875,290,228.8,22.8,0.0060,,
0.3955,291,228.8,22.8,0.0055,,
0.4040,292,228.8,22.8,0.0060,,
0.4120,293,228.7,22.8,0.0060,,
0.4200,294,228.8,22.8,0.0060,,
0.4285,295,228.7,22.8,0.0060,,
0.4370,296,228.8,22.8,0.0060,,
0.4455,297,228.8,22.8,0.0060,,
0.4540,298,228.8,22.8,0.0065,,
0.4615,299,228.8,22.8,0.0060,,
0.4700,300,228.8,22.8,0.0065,,
0.4785,301,228.8,22.8,0.0060,,
0.4870,302,228.8,22.8,0.0060,,
0.4955,303,228.8,22.8,0.0060,,
0.5030,304,228.8,22.8,0.0060,,
0.5115,305,228.8,22.8,0.0065,,
0.5200,306,228.9,22.8,0.0065,,
0.5280,307,228.8,22.8,0.0055,,
0.5365,308,228.8,22.8,0.0060,,
0.5450,309,228.8,22.8,0.0060,,
0.5525,310,228.8,22.8,0.0060,,
0.5610,311,228.9,22.8,0.0065,,
0.5695,312,228.9,22.8,0.0065,,
0.5780,313,228.9,22.8,0.0060,,
0.5865,314,228.8,22.8,0.0060,,
0.5950,315,228.8,22.8,0.0060,,
0.6025,316,228.8,22.8,0.0060,,
0.6110,317,228.9,22.8,0.0065,,
0.6190,318,228.8,22.8,0.0055,,
0.6275,319,228.8,22.8,0.0060,,
0.6360,320,228.8,22.8,0.0060,,
0.6445,321,228.8,22.8,0.0065,,
0.6520,322,228.8,22.8,0.0060,,
0.6605,323,228.9,22.8,0.0065,,
0.6690,324,228.8,22.8,0.0060,,
0.6775,325,228.8,22.8,0.0060,,
0.6860,326,228.9,22.8,0.0060,,
0.6935,327,228.9,22.8,0.0060,,
0.7020,328,228.9,22.8,0.0065,,
0.7105,329,228.9,22.8,0.0065,,
0.7190,330,228.8,22.8,0.0060,,
0.7270,331,228.9,22.8,0.0055,,
0.7355,332,228.8,22.8,0.0060,,
0.7430,333,228.9,22.8,0.0060,,
0.7515,334,228.9,22.8,0.0065,,
0.7600,335,228.9,22.8,0.0065,,
0.7685,336,228.9,22.8,0.0060,,
0.7770,337,228.9,22.8,0.0060,,
0.7855,338,228.9,22.8,0.0065,,
0.7930,339,228.9,22.8,0.0060,,
0.8015,340,228.9,22.8,0.0065,,
0.8100,341,228.9,22.8,0.0060,,
0.8185,342,228.9,22.8,0.0060,,
0.8265,343,228.9,22.8,0.0055,,
0.8350,344,228.9,22.8,0.0065,,
0.8425,345,228.8,22.8,0.0060,,
0.8510,346,228.9,22.8,0.0065,,
0.8595,347,228.9,22.8,0.0060,,
0.8680,348,228.9,22.8,0.0060,,
0.8765,349,228.9,22.8,0.0060,,
0.8850,350,228.8,22.8,0.0065,,
0.8925,351,228.8,22.8,0.0060,,
0.9010,352,228.9,22.8,0.0065,,
0.9095,353,228.9,22.8,0.0060,,
0.9180,354,228.9,22.8,0.0060,,
0.9260,355,229.0,22.8,0.0055,,
0.9340,356,228.9,22.8,0.0060,,
0.9420,357,228.9,22.8,0.0060,,
0.9505,358,228.9,22.8,0.0065,,
0.9590,359,228.9,22.8,0.0060,,
0.9675,360,228.9,22.8,0.0060,,
0.9760,361,228.9,22.8,0.0060,,
0.9835,362,228.9,22.8,0.0060,,
0.9920,363,229.0,22.8,0.0065,,
1.0005,364,229.0,22.8,0.0060,,
1.0090,365,228.9,22.8,0.0060,,
1.0175,366,228.9,22.8,0.0060,,
1.0260,367,228.9,22.8,0.0065,,
1.0335,368,228.9,22.8,0.0060,,
1.0420,369,229.0,22.8,0.0065,,
1.0500,370,229.0,22.8,0.0055,,
1.0585,371,229.0,22.8,0.0060,,
1.0670,372,229.0,22.8,0.0060,,
1.0745,373,228.9,22.8,0.0060,,
1.0830,374,228.9,22.8,0.0065,,
1.0915,375,228.9,22.8,0.0065,,
1.1000,376,228.9,22.8,0.0060,,
1.1085,377,229.0,22.8,0.0060,,
1.1170,378,229.0,22.8,0.0060,,
1.1245,379,228.9,22.8,0.0060,,
1.1330,380,228.9,22.8,0.0065,,
1.1415,381,229.0,22.8,0.0060,,
1.1495,382,228.9,22.8,0.0055,,
1.1580,383,229.0,22.8,0.0060,,
1.1665,384,229.0,22.8,0.0060,,
1.1740,385,229.0,22.8,0.0060,,
1.1825,386,229.0,22.8,0.0065,,
1.1910,387,229.0,22.8,0.0060,,
1.1995,388,229.0,22.8,0.0060,,
1.2080,389,229.0,22.8,0.0060,,
1.2165,390,229.0,22.8,0.0065,,
1.2240,391,229.0,22.8,0.0060,,
1.2325,392,229.0,22.8,0.0065,,
1.2410,393,229.0,22.8,0.0060,,
1.2495,394,229.0,22.8,0.0060,,
1.2575,395,229.0,22.8,0.0055,,
1.2655,396,229.0,22.8,0.0060,,
1.2735,397,229.0,22.8,0.0060,,
1.2820,398,229.0,22.8,0.0065,,
1.2905,399,229.0,22.8,0.0060,,
1.2990,400,229.0,22.8,0.0060,,
1.3075,401,229.0,22.8,0.0060,,
1.3150,402,229.0,22.8,0.0060,,
1.3235,403,229.0,22.8,0.0065,,
1.3320,404,229.0,22.8,0.0065,,
1.3405,405,229.0,22.8,0.0060,,
1.3490,406,229.0,22.8,0.0060,,
1.3570,407,229.0,22.8,0.0055,,
1.3650,408,229.0,22.8,0.0060,,
1.3730,409,229.0,22.8,0.0060,,
1.3815,410,229.0,22.8,0.0060,,
1.3900,411,229.1,22.8,0.0060,,
1.3985,412,229.0,22.8,0.0060,,
1.4070,413,229.1,22.8,0.0065,,
1.4145,414,229.0,22.8,0.0060,,
1.4230,415,229.0,22.8,0.0065,,
1.4315,416,229.0,22.8,0.0060,,
1.4400,417,229.0,22.8,0.0060,,
1.4485,418,229.0,22.8,0.0060,,
1.4560,419,229.0,22.8,0.0060,,
1.4645,420,229.1,22.8,0.0065,,
1.4725,421,229.1,22.8,0.0060,,
1.4810,422,229.1,22.8,0.0060,,
1.4895,423,229.0,22.8,0.0060,,
1.4980,424,229.0,22.8,0.0060,,
1.5055,425,229.0,22.8,0.0060,,
1.5140,426,229.1,22.8,0.0065,,
1.5225,427,229.1,22.8,0.0065,,
1.5310,428,229.1,22.8,0.0060,,
1.5395,429,229.0,22.8,0.0060,,
1.5480,430,229.0,22.8,0.0060,,
1.5555,431,229.0,22.8,0.0060,,
1.5640,432,229.0,22.8,0.0065,,
1.5725,433,229.0,22.8,0.0060,,
1.5805,434,229.1,22.8,0.0055,,
1.5890,435,229.1,22.8,0.0060,,
1.5975,436,229.0,22.8,0.0065,,
1.6050,437,229.0,22.8,0.0060,,
1.6135,438,229.1,22.8,0.0065,,
1.6220,439,229.1,22.8,0.0060,,
1.6305,440,229.0,22.8,0.0060,,
1.6390,441,229.1,22.8,0.0060,,
1.6465,442,229.1,22.8,0.0060,,
1.6550,443,229.0,22.8,0.0065,,
1.6635,444,229.1,22.8,0.0065,,
1.6720,445,229.0,22.8,0.0060,,
1.6800,446,229.1,22.8,0.0055,,
1.6885,447,229.1,22.8,0.0060,,
1.6960,448,229.1,22.8,0.0060,,
1.7045,449,229.1,22.8,0.0065,,
1.7130,450,229.1,22.8,0.0065,,
1.7215,451,229.1,22.8,0.0060,,
1.7300,452,229.1,22.8,0.0060,,
1.7385,453,229.1,22.8,0.0060,,
1.7460,454,229.0,22.8,0.0060,,
1.7545,455,229.1,22.8,0.0065,,
1.7630,456,229.1,22.8,0.0060,,
1.7715,457,229.1,22.8,0.0060,,
1.7795,458,229.0,22.8,0.0055,,
1.7880,459,229.1,22.8,0.0060,,
1.7955,460,229.1,22.8,0.0060,,
1.8040,461,229.1,22.8,0.0065,,
1.8125,462,229.1,22.8,0.0060,,
1.8210,463,229.1,22.8,0.0060,,
1.8295,464,229.1,22.8,0.0060,,
1.8380,465,229.2,22.8,0.0065,,
1.8455,466,229.1,22.8,0.0060,,
1.8540,467,229.1,22.8,0.0065,,
1.8625,468,229.1,22.8,0.0060,,
1.8710,469,229.1,22.8,0.0060,,
1.8790,470,229.1,22.8,0.0055,,
1.8875,471,229.1,22.8,0.0065,,
1.8950,472,229.1,22.8,0.0060,,
1.9035,473,229.1,22.8,0.0065,,
1.9120,474,229.1,22.8,0.0060,,
1.9205,475,229.1,22.8,0.0060,,
1.9290,476,229.1,22.8,0.0060,,
1.9365,477,229.2,22.8,0.0060,,
1.9450,478,229.1,22.8,0.0065,,
1.9535,479,229.1,22.8,0.0060,,
1.9620,480,229.1,22.8,0.0060,,
1.9705,481,229.1,22.8,0.0060,,
1.9785,482,229.1,22.8,0.0060,,
1.9865,483,229.1,22.8,0.0060,,
1.9950,484,229.1,22.8,0.0065,,
2.0030,485,229.1,22.8,0.0055,,
2.0115,486,229.2,22.8,0.0060,,
2.0200,487,229.1,22.8,0.0060,,
2.0275,488,229.1,22.8,0.0060,,
2.0360,489,229.1,22.8,0.0065,,
2.0445,490,229.1,22.8,0.0065,,
2.0530,491,229.1,22.8,0.0060,,
2.0615,492,229.2,22.8,0.0060,,
