Table of Measured Values
Task,T1639
Scope 1/1, Sample 1/3 (j6)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-54.8,21.8,NaN,,
0.0010,1,-54.8,21.8,0.0010,,
0.0025,2,-54.9,21.8,0.0015,,
0.0050,3,-54.9,21.8,0.0025,,
0.0090,4,-54.8,21.8,0.0035,,
0.0155,5,-54.5,21.8,0.0060,,
0.0235,6,-54.0,21.8,0.0075,,
0.0320,7,-53.2,21.8,0.0075,,
0.0405,8,-52.0,21.8,0.0075,,
0.0480,9,-50.9,21.8,0.0070,,
0.0565,10,-49.6,21.8,0.0075,,
0.0650,11,-48.1,21.8,0.0075,,
0.0735,12,-46.6,21.8,0.0075,,
0.0820,13,-44.9,21.8,0.0075,,
0.0905,14,-42.9,21.8,0.0075,,
0.0980,15,-41.4,21.8,0.0070,,
0.1065,16,-39.4,21.8,0.0075,,
0.1145,17,-37.3,21.8,0.0075,,
0.1230,18,-35.0,21.8,0.0075,,
0.1315,19,-32.4,21.8,0.0075,,
0.1400,20,-29.7,21.8,0.0075,,
0.1475,21,-27.2,21.8,0.0070,,
0.1560,22,-24.1,21.8,0.0075,,
0.1645,23,-20.9,21.8,0.0075,,
0.1730,24,-17.9,21.8,0.0075,,
0.1815,25,-14.7,21.8,0.0075,,
0.1895,26,-11.4,21.8,0.0075,,
0.1975,27,-8.7,21.8,0.0075,,
0.2055,28,-6.0,21.8,0.0075,,
0.2140,29,-3.1,21.8,0.0075,,
0.2225,30,-0.2,21.8,0.0075,,
0.2310,31,1.1,21.8,0.0075,,
0.2395,32,4.0,21.8,0.0075,,
0.2470,33,5.0,21.8,0.0070,,
0.2555,34,6.3,21.8,0.0075,,
0.2640,35,7.5,21.8,0.0075,,
0.2720,36,9.0,21.8,0.0075,,
0.2805,37,10.3,21.8,0.0075,,
0.2890,38,11.9,21.8,0.0075,,
0.2965,39,13.0,21.8,0.0075,,
0.3050,40,14.1,21.8,0.0075,,
0.3135,41,15.1,21.8,0.0075,,
0.3220,42,16.1,21.8,0.0075,,
0.3305,43,17.1,21.8,0.0075,,
0.3390,44,18.0,21.8,0.0075,,
0.3465,45,18.8,21.8,0.0070,,
0.3550,46,19.8,21.8,0.0075,,
0.3630,47,20.8,21.8,0.0075,,
0.3715,48,21.8,21.8,0.0075,,
0.3800,49,22.7,21.8,0.0075,,
0.3885,50,23.5,21.8,0.0075,,
0.3970,51,24.3,21.8,0.0085,,
0.4045,52,25.3,21.8,0.0070,,
0.4130,53,26.3,21.8,0.0075,,
0.4215,54,27.1,21.8,0.0075,,
0.4300,55,27.9,21.8,0.0075,,
0.4380,56,28.7,21.8,0.0075,,
0.4465,57,29.5,21.8,0.0085,,
0.4545,58,30.4,21.8,0.0075,,
0.4625,59,31.2,21.8,0.0075,,
0.4710,60,31.9,21.8,0.0075,,
0.4795,61,32.8,21.8,0.0075,,
0.4880,62,33.6,21.8,0.0075,,
0.4965,63,34.4,21.9,0.0085,,
0.5040,64,35.2,21.8,0.0070,,
0.5125,65,36.0,21.9,0.0075,,
0.5210,66,36.7,21.9,0.0075,,
0.5290,67,37.6,21.9,0.0075,,
0.5375,68,38.3,21.9,0.0075,,
0.5460,69,39.0,21.9,0.0085,,
0.5535,70,39.7,21.8,0.0070,,
0.5620,71,40.5,21.9,0.0075,,
0.5705,72,41.2,21.9,0.0075,,
0.5790,73,41.9,21.9,0.0075,,
0.5875,74,42.7,21.9,0.0075,,
