Task,T3519
Scope 1/1, Sample 1/13 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-39.5,16.0,NaN,,
0.0010,1,-40.5,16.0,0.0010,,
0.0025,2,-40.8,16.0,0.0015,,
0.0050,3,-41.1,16.0,0.0020,,
0.0085,4,-41.3,16.0,0.0030,,
0.0150,5,-41.5,16.0,0.0060,,
0.0230,6,-41.8,16.0,0.0075,,
0.0315,7,-41.9,16.0,0.0075,,
0.0400,8,-42.0,16.0,0.0075,,
0.0485,9,-42.0,16.0,0.0075,,
0.0560,10,-42.0,16.0,0.0070,,
0.0645,11,-41.8,16.0,0.0075,,
0.0730,12,-41.7,16.0,0.0075,,
0.0810,13,-41.4,16.0,0.0075,,
0.0895,14,-41.1,16.0,0.0075,,
0.0980,15,-40.8,16.0,0.0075,,
0.1065,16,-40.4,16.0,0.0075,,
0.1140,17,-39.9,16.0,0.0070,,
0.1225,18,-39.3,16.0,0.0075,,
0.1310,19,-38.8,16.0,0.0075,,
0.1395,20,-38.2,16.0,0.0075,,
0.1480,21,-37.5,16.0,0.0075,,
0.1555,22,-36.9,16.0,0.0070,,
0.1640,23,-36.2,16.0,0.0075,,
0.1720,24,-35.5,16.0,0.0075,,
0.1805,25,-34.8,16.0,0.0075,,
0.1890,26,-34.1,16.0,0.0075,,
0.1975,27,-33.4,16.0,0.0075,,
0.2050,28,-32.7,16.0,0.0070,,
0.2135,29,-32.0,16.0,0.0075,,
0.2220,30,-31.3,16.0,0.0075,,
0.2305,31,-30.7,16.0,0.0075,,
0.2385,32,-30.0,16.0,0.0075,,
0.2470,33,-29.4,16.0,0.0075,,
0.2555,34,-28.8,16.0,0.0075,,
0.2630,35,-28.2,16.0,0.0070,,
0.2715,36,-27.6,16.0,0.0075,,
0.2800,37,-27.1,16.0,0.0075,,
0.2885,38,-26.4,16.0,0.0075,,
0.2970,39,-25.8,16.0,0.0075,,
0.3055,40,-25.3,16.0,0.0075,,
0.3130,41,-24.8,16.0,0.0070,,
0.3215,42,-24.2,16.0,0.0075,,
