"SampleID","TA","Mass","Sample.Index"
"Junk",2295.26130463541,59.8674,1
"OF3-11-Dark",2486.71767699181,60.2944,2
"OF2-11-Dark",2484.20836959976,60.0521,3
"OF1-11-Dark",2528.68700581122,60.0155,4
"BK2-11-Dark",2480.59908812059,60.1653,5
"BK1-11-Dark",2480.79001150653,60.1659,6
"Start 11c-Dark",2474.04140762589,60.0506,7
"Start 11a-Dark",2458.874583404,60.21,8
"BK2-11-Light",2463.95189895513,59.8417,9
"BK1-11-Light",2460.9345359992,60.1427,10
"RB4-11-Light",2446.78312693092,60.0956,11
"RB3-11-Light",2448.1027362733,59.9092,12
"RB2-11-Light",2456.73661695575,59.8775,13
"RB1-11-Light",2456.96503851259,59.9871,14
"OF4-11-Light",2444.70788573514,60.1826,15
"OF3-11-Light",2447.01409915668,60.1065,16
"OF1-11-Light",2443.74243407552,60.2401,17
"Start 11c-Light",2453.17871417634,59.8939,18
"Start 11b-Light",2442.89249233668,60.0849,19
"Start 11a-Light",2453.89657421755,60.1769,20
